"°í°´¹øÈ£","¼ºº°","2014³â ÃÑ±¸¸Å¾×","2015³â ÃÑ±¸¸Å¾×","Áõ°¨·ü"
"00001","M",54041667,31000883,-42.64
"00002","M",46245330,53635430,15.98
"00003","M",1893769,1271398,-32.86
"00004","F",9299616,7394194,-20.49
"00005","M",7685880,5551190,-27.77
"00006","F",11395379,13111038,15.06
"00007","F",34411487,39314789,14.25
"00008","M",29846562,32509390,8.92
"00009","F",78129670,125803070,61.02
"00010","F",9355850,9195077,-1.72
"00011","M",72075159,56944050,-20.99
"00012","M",2027226,4382741,116.19
"00013","F",8162639,9547207,16.96
"00014","F",17545687,17022049,-2.98
"00015","F",13747189,11368055,-17.31
"00016","F",4212580,6717525,59.46
"00017","M",70088231,72730874,3.77
"00018","F",75379934,5229125,-93.06
"00019","F",20102240,22846130,13.65
"00020","M",10674980,12047530,12.86
"00021","M",9985365,12734199,27.53
"00022","F",83768930,61921640,-26.08
"00023","M",46639001,31985430,-31.42
"00024","M",6531733,5548625,-15.05
"00025","F",8985402,37863041,321.38
"00026","F",82314327,44917537,-45.43
"00027","M",28502676,31558340,10.72
"00028","F",3881644,4795556,23.54
"00029","M",43822250,42140121,-3.84
"00030","F",50453155,55662911,10.33
"00031","F",6781540,6767080,-0.21
"00032","F",9140299,10404088,13.83
"00033","M",5121794,5421291,5.85
"00034","F",9120580,6002640,-34.19
"00035","F",19796582,24904424,25.8
"00036","M",24714323,18795020,-23.95
"00037","F",30477620,30300650,-0.58
"00038","F",10727933,12907522,20.32
"00039","F",139147620,68565722,-50.72
"00040","M",10602733,15659337,47.69
"00041","M",9112460,9550750,4.81
"00042","M",6548273,9400179,43.55
"00043","F",4435180,3097947,-30.15
"00044","F",62647296,47841594,-23.63
"00045","F",89309139,140728272,57.57
"00046","F",48446610,85734340,76.97
"00047","F",14197970,6589346,-53.59
"00048","F",38947890,44225750,13.55
"00049","F",35445164,55989690,57.96
"00050","F",14035270,11174251,-20.38
"00051","F",14251814,7948265,-44.23
"00052","F",19831950,17145720,-13.54
"00053","M",37826447,14722195,-61.08
"00054","F",5952120,4704110,-20.97
"00055","F",4149494,3453635,-16.77
"00056","F",40411800,52170213,29.1
"00057","F",4820991,5508999,14.27
"00058","F",13572410,12952250,-4.57
"00059","F",14549048,12717704,-12.59
"00060","F",12880086,17616283,36.77
"00061","F",15745401,11112702,-29.42
"00062","F",11939024,9246298,-22.55
"00063","F",2778380,3393000,22.12
"00064","M",2691100,1161019,-56.86
"00065","F",8833656,10519918,19.09
"00066","F",9285479,9055047,-2.48
"00067","F",4740397,5997750,26.52
"00068","M",197006340,106284505,-46.05
"00069","F",7542134,8190494,8.6
"00070","M",19674400,12601910,-35.95
"00071","F",2336156,2436478,4.29
"00072","F",4616377,5198838,12.62
"00073","F",123035540,109172570,-11.27
"00074","F",23478700,8509200,-63.76
"00075","M",2780846,2381516,-14.36
"00076","F",6094934,6171710,1.26
"00077","F",17680036,18667600,5.59
"00078","F",35658052,56707851,59.03
"00079","F",8405941,7522416,-10.51
"00080","F",4506252,6376978,41.51
"00081","F",29088688,45236190,55.51
"00082","F",68227736,86093354,26.19
"00083","F",52331989,70064960,33.89
"00084","F",17061500,46183400,170.69
"00085","F",4560880,9640150,111.37
"00086","F",17605867,23236649,31.98
"00087","M",34593840,17011302,-50.83
"00088","F",27044380,36644112,35.5
"00089","F",8084647,7913359,-2.12
"00090","F",35191802,22650280,-35.64
"00091","F",9446408,9617129,1.81
"00092","F",26204608,30144177,15.03
"00093","F",49276850,66879387,35.72
"00094","F",17887921,54693726,205.76
"00095","M",4000957,3962784,-0.95
"00096","F",21951480,10096450,-54.01
"00097","M",505807132,473746774,-6.34
"00098","F",11206141,10983946,-1.98
"00099","F",123050771,134948995,9.67
"00100","F",22676838,4958469,-78.13
"00101","F",3314303,3725948,12.42
"00102","F",78296924,35291710,-54.93
"00103","F",2392425,2348393,-1.84
"00104","F",8609760,7148270,-16.97
"00105","M",11999796,10619254,-11.5
"00106","F",33622840,36258779,7.84
"00107","F",56579691,78500174,38.74
"00108","F",6643520,8228280,23.85
"00109","F",5723956,3116213,-45.56
"00110","M",15538723,11459172,-26.25
"00111","F",2485353,2716678,9.31
"00112","F",33307604,67573652,102.88
"00113","F",53740521,41582453,-22.62
"00114","F",13900840,10038207,-27.79
"00115","F",29310767,39465591,34.65
"00116","F",4102563,4064034,-0.94
"00117","F",27264372,17552793,-35.62
"00118","F",54041930,51240980,-5.18
"00119","M",34821972,32162238,-7.64
"00120","F",131336010,113446408,-13.62
"00121","F",7730337,12386379,60.23
"00122","F",14059590,26486290,88.39
"00123","F",5305568,5377470,1.36
"00124","F",18331020,21111080,15.17
"00125","F",8248310,7411621,-10.14
"00126","F",17111098,23586311,37.84
"00127","F",3561364,3552710,-0.24
"00128","F",5728825,3065605,-46.49
"00129","F",3345742,3874467,15.8
"00130","F",30214686,15673564,-48.13
"00131","F",16726431,16099204,-3.75
"00132","F",6539849,5601260,-14.35
"00133","M",9536846,15109201,58.43
"00134","F",40164011,65051453,61.96
"00135","F",8469338,4538680,-46.41
"00136","F",12426880,18496300,48.84
"00137","F",37975211,75355538,98.43
"00138","M",25003940,23548962,-5.82
"00139","M",32102160,16843102,-47.53
"00140","F",139989136,109071020,-22.09
"00141","F",2430354,3334269,37.19
"00142","F",439040,428750,-2.34
"00143","F",3133522,4228550,34.95
"00144","F",49551144,20726684,-58.17
"00145","F",75806477,64454306,-14.98
"00146","F",50942880,50226350,-1.41
"00147","M",49950923,47453079,-5
"00148","F",2537972,3128125,23.25
"00149","F",14259255,13318768,-6.6
"00150","F",16144505,8167215,-49.41
"00151","M",48456110,34533841,-28.73
"00152","F",14549490,18339690,26.05
"00153","F",6880118,4085120,-40.62
"00154","M",38099884,33624265,-11.75
"00155","M",27897430,27799381,-0.35
"00156","F",54779430,95670100,74.65
"00157","F",6364602,7723514,21.35
"00158","M",5069444,6726198,32.68
"00159","F",50602045,93277565,84.34
"00160","F",9300693,11228354,20.73
"00161","F",109699551,61938907,-43.54
"00162","F",34431376,35769454,3.89
"00163","F",5699954,5771330,1.25
"00164","M",58273990,51408876,-11.78
"00165","M",21017306,19801974,-5.78
"00166","M",18075703,16347827,-9.56
"00167","F",25939640,18327970,-29.34
"00168","F",39857612,45375858,13.84
"00169","F",3349485,5046656,50.67
"00170","F",6498644,7911599,21.74
"00171","F",15081295,13317095,-11.7
"00172","F",11337078,11233962,-0.91
"00173","F",5697063,6361153,11.66
"00174","F",386500,38700,-89.99
"00175","F",14206372,20800343,46.42
"00176","F",4304919,3811008,-11.47
"00177","F",48859109,45154121,-7.58
"00178","F",10377046,9913889,-4.46
"00179","F",23138043,26455655,14.34
"00180","F",19871150,33521460,68.69
"00181","F",27335100,40525514,48.25
"00182","F",37481191,44846423,19.65
"00183","F",7082775,6375793,-9.98
"00184","F",28710481,9098676,-68.31
"00185","F",4897692,6028175,23.08
"00186","F",48259775,29538728,-38.79
"00187","F",11841524,8474354,-28.44
"00188","F",7001713,8368586,19.52
"00189","F",60421910,38899270,-35.62
"00190","M",19777550,29734373,50.34
"00191","F",43417520,44986710,3.61
"00192","F",21070768,21171470,0.48
"00193","F",5021644,5347693,6.49
"00194","F",7573397,7539040,-0.45
"00195","M",2870662,4204218,46.45
"00196","F",16523985,14756276,-10.7
"00197","F",25359469,71974613,183.82
"00198","F",6762427,7555878,11.73
"00199","F",9238408,9476016,2.57
"00200","F",7463784,5171015,-30.72
"00201","F",75223624,47993280,-36.2
"00202","F",42352472,59930897,41.51
"00203","F",3526370,3240373,-8.11
"00204","F",12711782,11561107,-9.05
"00205","F",15482236,9603185,-37.97
"00206","M",7694034,8798336,14.35
"00207","F",3979161,4070921,2.31
"00208","F",58734560,11395280,-80.6
"00209","F",10718668,7200014,-32.83
"00210","F",2892144,3310623,14.47
"00211","F",6463684,15125430,134.01
"00212","F",10965241,9573091,-12.7
"00213","F",18726251,29156502,55.7
"00214","F",8501474,12453132,46.48
"00215","F",6039035,8250494,36.62
"00216","F",6161387,5514345,-10.5
"00217","F",5412590,8999380,66.27
"00218","F",104715341,108133859,3.26
"00219","F",26882521,23957569,-10.88
"00220","M",8796314,10531977,19.73
"00221","F",5424509,5287909,-2.52
"00222","F",33011067,43077291,30.49
"00223","M",40277070,96315140,139.13
"00224","M",86691597,90427354,4.31
"00225","F",71741187,96739420,34.85
"00226","M",5460676,5661694,3.68
"00227","F",3626633,2332107,-35.69
"00228","F",4721718,8027416,70.01
"00229","F",33581450,39790470,18.49
"00230","F",6337880,7919850,24.96
"00231","F",6517542,4042882,-37.97
"00232","F",5204136,4692680,-9.83
"00233","F",9324055,11400765,22.27
"00234","M",10200192,22818856,123.71
"00235","F",20725667,20854637,0.62
"00236","F",3761380,5092652,35.39
"00237","F",26921170,39799772,47.84
"00238","F",10579760,6069680,-42.63
"00239","F",78883214,79620090,0.93
"00240","M",13925840,6738660,-51.61
"00241","M",28708760,41416640,44.26
"00242","M",4103742,5754151,40.22
"00243","M",3030572,4720654,55.77
"00244","F",6851410,32146700,369.2
"00245","F",14848661,12275792,-17.33
"00246","M",34996799,37391168,6.84
"00247","F",14011052,10105602,-27.87
"00248","M",13405951,21348942,59.25
"00249","F",70751452,71967560,1.72
"00250","F",64123537,59568309,-7.1
"00251","F",25842309,27960226,8.2
"00252","F",5104870,6672296,30.7
"00253","M",43563310,33964761,-22.03
"00254","F",56903812,73078350,28.42
