,고객번호,14_1이용금액,14_2이용금액,14_3이용금액,14_4이용금액,15_1이용금액,15_2이용금액,15_3이용금액,15_4이용금액,14_1,14_2,14_3,14_4,15_1,15_2,15_3,15_4
0,00001,9141590,10783765,10781550,23334762,9302985,8595380,7806580,5295938,1,1,1,1,1,1,1,1
1,00002,14123470,10199760,14841180,7080920,18481480,9310130,13842600,12001220,1,1,1,1,1,1,1,1
2,00003,302782,548433,648188,394366,279310,312970,421017,258101,1,1,1,1,1,1,1,1
3,00004,1309643,3732463,2434410,1823100,1737292,1919645,2127112,1610145,1,1,1,1,1,1,1,1
4,00006,2166006,3115284,3163273,2950816,3619234,2769821,3518094,3203889,1,1,1,1,1,1,1,1
5,00007,10635873,2842322,4711569,16221723,9134885,11888419,3319835,14971650,1,1,1,1,1,1,1,1
6,00008,6431112,5264270,6999500,11151680,7093910,7412510,7813340,10189630,1,1,1,1,1,1,1,1
7,00009,14363590,23903830,16911080,22951170,54368620,29620190,22095770,19718490,1,1,1,1,1,1,1,1
8,00010,2545073,2585853,2252934,1971990,2874593,2393834,2173925,1752725,1,1,1,1,1,1,1,1
9,00011,12578805,14845270,31901274,12749810,2922370,30433830,3634060,19953790,1,1,1,1,1,1,1,1
10,00012,999514,195980,481510,350222,285114,948230,2199766,949631,1,1,1,1,1,1,1,1
11,00013,1783676,2130848,1678418,2569697,2431089,2628902,2595389,1891827,1,1,1,1,1,1,1,1
12,00014,4150262,5353851,4759656,3281918,6084070,5337494,3078767,2521718,1,1,1,1,1,1,1,1
13,00015,4040641,5575937,2812584,1318027,3121496,5265642,1741891,1239026,1,1,1,1,1,1,1,1
14,00016,704160,564300,1146620,1797500,2351615,1303080,1289080,1773750,1,1,1,1,1,1,1,1
15,00017,25367641,24631060,5431210,14658320,4307450,20675778,19894529,27853117,1,1,1,1,1,1,1,1
16,00018,41076760,21355512,12067162,880500,1741090,1053230,1466025,968780,1,1,1,1,1,1,1,1
17,00019,6008260,4799320,2419340,6875320,3136780,7922630,6350470,5436250,1,1,1,1,1,1,1,1
18,00020,3318350,3087640,2442550,1826440,3752950,2872000,2402700,3019880,1,1,1,1,1,1,1,1
19,00021,2339587,2231444,3035542,2378792,3162941,4023363,2866139,2681756,1,1,1,1,1,1,1,1
20,00022,11679660,31765890,11134270,29189110,29939700,7559500,2574750,21847690,1,1,1,1,1,1,1,1
21,00023,6292554,8010770,7185650,25150027,8443070,7021480,8559020,7961860,1,1,1,1,1,1,1,1
22,00024,1104633,1783763,1932490,1710847,1279580,1010933,1601830,1656282,1,1,1,1,1,1,1,1
23,00025,1173292,2962030,2768550,2081530,11617551,7631830,2508010,16105650,1,1,1,1,1,1,1,1
24,00026,13963527,17219220,8233090,42898490,17127590,7677926,7652230,12459791,1,1,1,1,1,1,1,1
25,00027,14142790,6453126,4495610,3411150,7889490,5760890,14668500,3239460,1,1,1,1,1,1,1,1
26,00028,737627,1320569,644116,1179332,711293,1327701,1905499,851063,1,1,1,1,1,1,1,1
27,00029,10064040,15525420,8707914,9524876,9975735,10375159,8613456,13175771,1,1,1,1,1,1,1,1
28,00030,8211881,12305855,12137638,17797781,10337927,16834619,12279817,16210548,1,1,1,1,1,1,1,1
29,00031,1223260,1286600,1798110,2473570,1775430,1450430,1752000,1789220,1,1,1,1,1,1,1,1
30,00032,1319523,2467029,2969742,2384005,2209182,2323533,2585678,3285695,1,1,1,1,1,1,1,1
31,00033,1447541,1466687,1163354,1044212,1267104,1246006,1583389,1324792,1,1,1,1,1,1,1,1
32,00034,1646370,3318660,1482830,2672720,1555600,2059370,1406310,981360,1,1,1,1,1,1,1,1
33,00035,3885582,5162316,7574702,3173982,5698318,6544283,5485159,7176664,1,1,1,1,1,1,1,1
34,00036,4557674,8979670,4983214,6193765,1777330,8395980,5563410,3058300,1,1,1,1,1,1,1,1
35,00037,1939760,3299760,7857000,17381100,6778700,9978120,5986010,7557820,1,1,1,1,1,1,1,1
36,00038,2401493,2321026,3129021,2876393,2871803,2622836,3484012,3928871,1,1,1,1,1,1,1,1
37,00039,70381190,44015980,6750910,17999540,5752510,29878828,14685210,18249174,1,1,1,1,1,1,1,1
38,00040,2319369,4229500,1934555,2119309,4375310,2740723,5529757,3013547,1,1,1,1,1,1,1,1
39,00041,1943310,3019310,1288300,2861540,3065050,1873500,1843410,2768790,1,1,1,1,1,1,1,1
40,00042,1478775,2025300,1685746,1358452,2325132,2059015,2046521,2969511,1,1,1,1,1,1,1,1
41,00043,1022594,765960,376723,2269903,564128,878222,896566,759031,1,1,1,1,1,1,1,1
42,00044,4951660,2881350,4139926,50674360,6885140,2947774,8215580,29793100,1,1,1,1,1,1,1,1
43,00045,26163580,1680743,14488990,46975826,27815472,49528060,18865340,44519400,1,1,1,1,1,1,1,1
44,00046,22752150,14327290,2812430,8554740,39845130,8849270,10080860,26959080,1,1,1,1,1,1,1,1
45,00047,3379917,3721529,5208876,1887648,2155692,1671663,1135156,1626835,1,1,1,1,1,1,1,1
46,00048,6656870,9060110,15644210,7586700,14094990,11080190,8349400,10701170,1,1,1,1,1,1,1,1
47,00049,8902324,11717430,9992860,4832550,13655280,8537120,23264950,10532340,1,1,1,1,1,1,1,1
48,00050,3255880,4183380,3225890,3370120,2760020,2654940,2693445,3065846,1,1,1,1,1,1,1,1
49,00051,4272033,3001462,2217171,4761148,2272448,1788288,1385335,2502194,1,1,1,1,1,1,1,1
50,00052,7025570,4767930,3359340,4679110,4536500,6226250,3591840,2791130,1,1,1,1,1,1,1,1
51,00053,3181121,15027410,2392626,17225290,4251440,4890400,2186455,3393900,1,1,1,1,1,1,1,1
52,00054,1394770,1749900,1280510,1526940,1042540,1149110,944030,1568430,1,1,1,1,1,1,1,1
53,00055,958319,707018,1316262,1167895,1037934,770846,1088412,556443,1,1,1,1,1,1,1,1
54,00056,15236800,13074040,2681680,9419280,22314590,13869773,3945440,12040410,1,1,1,1,1,1,1,1
55,00057,1222187,1392161,1005413,1201230,2272419,710210,1219590,1306780,1,1,1,1,1,1,1,1
56,00058,3238860,2873780,2558800,4900970,2908730,2569830,2344750,5128940,1,1,1,1,1,1,1,1
57,00059,3533180,4896510,2935829,3183529,2282390,3624610,3115630,3695074,1,1,1,1,1,1,1,1
58,00060,2221767,3873080,2530825,4254414,2558641,4095347,4596957,6365338,1,1,1,1,1,1,1,1
59,00061,6020551,4424332,2531584,2768934,2152788,2317706,3356328,3285880,1,1,1,1,1,1,1,1
60,00062,1481480,4242354,3309781,2905409,2320817,2209153,2282436,2433892,1,1,1,1,1,1,1,1
61,00063,446640,865810,651800,814130,877960,871770,1039100,604170,1,1,1,1,1,1,1,1
62,00064,656455,654102,641827,738716,472020,298225,57864,332910,1,1,1,1,1,1,1,1
63,00065,1882381,1922410,3981756,1047109,4199186,2698764,1310998,2310970,1,1,1,1,1,1,1,1
64,00066,2982170,2017641,1837812,2447856,2243914,2382868,2176310,2251955,1,1,1,1,1,1,1,1
65,00067,920096,1016895,1269058,1534348,1458587,1419065,1586810,1533288,1,1,1,1,1,1,1,1
66,00068,78603595,55851379,31037416,31513950,42485202,15391593,19596078,28811632,1,1,1,1,1,1,1,1
67,00069,1535783,1835016,2217853,1953482,1753836,1968463,2321452,2146743,1,1,1,1,1,1,1,1
68,00070,4694870,1988570,8527020,4463940,2777540,2284000,2264770,5275600,1,1,1,1,1,1,1,1
69,00071,561515,598066,614773,561802,797832,511519,721969,405158,1,1,1,1,1,1,1,1
70,00072,1020789,681581,1705597,1208410,1245738,1140730,1241852,1570518,1,1,1,1,1,1,1,1
71,00073,28485950,30636870,38019620,25893100,39186010,20294480,25824620,23867460,1,1,1,1,1,1,1,1
72,00074,4431380,9246320,6472790,3328210,3259710,1903400,944750,2401340,1,1,1,1,1,1,1,1
73,00075,544721,729601,732050,774474,584426,523780,602800,670510,1,1,1,1,1,1,1,1
74,00076,1329355,1553511,1096008,2116060,969728,2048582,1304710,1848690,1,1,1,1,1,1,1,1
75,00077,4160660,5207551,4014420,4297405,3833980,4059738,3387702,7386180,1,1,1,1,1,1,1,1
76,00078,9661046,6476746,9442940,10077320,11834320,21860531,11556880,11456120,1,1,1,1,1,1,1,1
77,00079,1929173,1926940,2251060,2298768,1383812,2223819,2353206,1561579,1,1,1,1,1,1,1,1
78,00080,1018370,803539,1184877,1499466,1274220,1705319,1134254,2263185,1,1,1,1,1,1,1,1
79,00081,9648280,5345640,8569870,5524898,7236120,12309970,16627000,9063100,1,1,1,1,1,1,1,1
80,00082,14685000,9344720,34529760,9668256,13427744,16844182,29510798,26310630,1,1,1,1,1,1,1,1
81,00083,5450290,10701470,26653649,9526580,14593470,15034580,28313810,12123100,1,1,1,1,1,1,1,1
82,00084,8664270,2829950,3601820,1965460,27610820,10781550,1703480,6087550,1,1,1,1,1,1,1,1
83,00085,871670,826810,781780,2080620,1886820,2587970,2549160,2616200,1,1,1,1,1,1,1,1
84,00086,2342841,5234111,3982695,6046220,5265728,4279730,5234417,8456774,1,1,1,1,1,1,1,1
85,00087,18394690,10127120,616330,5455700,6006830,1745222,5453640,3805610,1,1,1,1,1,1,1,1
86,00088,4478997,8576720,5783003,8205660,7893672,4426446,4560837,19763157,1,1,1,1,1,1,1,1
87,00089,1092037,3215351,2016455,1760804,2452591,1936404,1483152,2041212,1,1,1,1,1,1,1,1
88,00090,2815070,3344920,3469882,25561930,3394800,4402130,7830360,7022990,1,1,1,1,1,1,1,1
89,00091,2267560,2440318,2482070,2256460,2808790,2177960,2605102,2025277,1,1,1,1,1,1,1,1
90,00092,5716969,5188509,5877039,9422091,5100993,7204233,8570881,9268070,1,1,1,1,1,1,1,1
91,00093,11440860,9534660,17703630,10597700,16664310,21310980,13534250,15369847,1,1,1,1,1,1,1,1
92,00094,104730,365921,6387770,11029500,4685690,4079446,13398870,32529720,1,1,1,1,1,1,1,1
93,00095,946216,1025296,624975,1404470,1021532,791132,1153227,996893,1,1,1,1,1,1,1,1
94,00096,4026400,9718200,5363810,2843070,3085770,1599980,3105100,2305600,1,1,1,1,1,1,1,1
95,00097,149972666,107454112,152340434,96039920,157527159,149845103,97839596,68534916,1,1,1,1,1,1,1,1
96,00098,2231922,2149150,3209642,3615427,3795300,2353240,2347034,2488372,1,1,1,1,1,1,1,1
97,00099,19505743,19756380,45561104,38227544,22306641,44351451,25004631,43286272,1,1,1,1,1,1,1,1
98,00100,1087754,6034120,5227284,10327680,1708190,1008735,2133904,107640,1,1,1,1,1,1,1,1
99,00101,1494284,455823,544997,819199,1030556,668501,997193,1029698,1,1,1,1,1,1,1,1
100,00102,37042615,13238643,9020276,18995390,6133723,11240664,6728760,11188563,1,1,1,1,1,1,1,1
101,00103,701465,458208,870994,361758,632396,507212,743116,465669,1,1,1,1,1,1,1,1
102,00104,1790814,1963938,2200595,2654413,1549021,1848447,2215491,1535311,1,1,1,1,1,1,1,1
103,00105,2264901,3064722,3812093,2858080,2706222,1843351,3448232,2621449,1,1,1,1,1,1,1,1
104,00106,9659700,10313940,3533650,10115550,3257180,9952770,8340769,14708060,1,1,1,1,1,1,1,1
105,00107,8131645,11922836,13607140,22918070,19596710,18011337,8339577,32552550,1,1,1,1,1,1,1,1
106,00108,2070080,1265440,1500740,1807260,1194830,2421120,2091920,2520410,1,1,1,1,1,1,1,1
107,00109,1928208,1234706,1363717,1197325,691190,758497,866118,800408,1,1,1,1,1,1,1,1
108,00110,2253010,3280626,5587689,4417398,3433772,2958419,3130398,1936583,1,1,1,1,1,1,1,1
109,00111,621676,440484,913215,509978,669429,769153,593062,685034,1,1,1,1,1,1,1,1
110,00112,13137840,5353110,7205770,7610884,9165610,9346217,17093888,31967937,1,1,1,1,1,1,1,1
111,00113,11297735,11953127,8744487,21745172,11343811,13605521,6721316,9911805,1,1,1,1,1,1,1,1
112,00114,1722331,4490474,4518848,3169187,2762385,4139938,1280752,1855132,1,1,1,1,1,1,1,1
113,00115,2170790,8838430,8391767,9909780,14764530,10132661,3038050,11530350,1,1,1,1,1,1,1,1
114,00116,975598,1250920,1027737,848308,932457,1264891,715491,1151195,1,1,1,1,1,1,1,1
115,00117,6377684,1473600,12502218,6910870,3652224,4790096,3396908,5713565,1,1,1,1,1,1,1,1
116,00118,8057500,8837720,9887850,27258860,12864230,11904930,11908160,14563660,1,1,1,1,1,1,1,1
117,00119,3612583,14804539,5382170,11022680,12658150,8648316,8231392,2624380,1,1,1,1,1,1,1,1
118,00120,33038370,43501270,24529100,30267270,27275196,25029370,28828272,32313570,1,1,1,1,1,1,1,1
119,00121,2800540,1621070,784169,2524558,4575158,1369014,2301977,4140230,1,1,1,1,1,1,1,1
120,00122,3184190,3901547,3531473,3442380,6793530,8074698,6187420,5430642,1,1,1,1,1,1,1,1
121,00123,1633146,909264,1425054,1338104,1551900,1378337,1228008,1219225,1,1,1,1,1,1,1,1
122,00124,7230460,3354840,3625060,4120660,1862190,8879160,1672970,8696760,1,1,1,1,1,1,1,1
