,고객번호,14_1이용금액,14_2이용금액,14_3이용금액,14_4이용금액,15_1이용금액,15_2이용금액,15_3이용금액,15_4이용금액,14_1,14_2,14_3,14_4,15_1,15_2,15_3,15_4
0,00005,3145330,2314820,1827290,398440,2124430,810500,0,2616260,1,1,1,1,1,1,0,1
1,00142,192000,50690,0,196350,52000,52000,132000,192750,1,1,0,1,1,1,1,1
2,00174,386500,0,0,0,0,38700,0,0,1,0,0,0,0,1,0,0
3,00244,0,1990300,2286170,2574940,4637500,8482620,11778810,7247770,0,1,1,1,1,1,1,1
4,00460,2619155,7517110,3356540,9215640,4531070,2069850,0,0,1,1,1,1,1,1,0,0
5,00905,6016120,7959539,5109965,6562750,5424630,6562458,195410,0,1,1,1,1,1,1,1,0
6,00985,1109600,9509140,3352740,17555490,3137570,246880,0,27420,1,1,1,1,1,1,0,1
7,01067,0,3860470,4838929,7744325,6048249,4208607,6645513,8972242,0,1,1,1,1,1,1,1
8,01093,0,244180,0,1433628,1152153,1252889,1157264,1154732,0,1,0,1,1,1,1,1
9,01121,0,7893500,2803580,12643860,9104960,9728630,12799900,10263320,0,1,1,1,1,1,1,1
10,01171,53596,0,0,0,50670,122000,115000,0,1,0,0,0,1,1,1,0
11,01208,0,0,7500,649000,0,0,0,0,0,0,1,1,0,0,0,0
12,01262,0,0,0,0,0,95200,0,0,0,0,0,0,0,1,0,0
13,01330,0,0,227700,0,918137,3403475,2267005,1307133,0,0,1,0,1,1,1,1
14,01379,0,0,0,0,0,33200,11000,0,0,0,0,0,0,1,1,0
15,01634,76288,0,0,186860,14700,25730,8900,8540,1,0,0,1,1,1,1,1
16,01643,0,804157,2496187,3587291,3124551,2871829,2911605,3920803,0,1,1,1,1,1,1,1
17,01686,306567,0,388980,0,770600,726020,21800,670800,1,0,1,0,1,1,1,1
18,01761,65082,411500,91650,0,97000,384620,156700,1019800,1,1,1,0,1,1,1,1
19,01875,0,0,695359,997289,1925383,2300460,1603833,4380190,0,0,1,1,1,1,1,1
20,01881,51516,24300,0,0,297000,0,0,0,1,1,0,0,1,0,0,0
21,01927,0,335240,2359510,2476702,2277303,2293480,4126550,2285740,0,1,1,1,1,1,1,1
22,02019,8500,438000,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23,02194,146347,6630,179799,239784,171341,0,10300,155437,1,1,1,1,1,0,1,1
24,02366,0,0,729149,2592084,1505522,1045643,1121183,1110124,0,0,1,1,1,1,1,1
25,02621,2694880,607500,662040,3721470,0,0,562200,1858840,1,1,1,1,0,0,1,1
26,02709,0,0,0,1924951,2279726,2304410,4044173,2085172,0,0,0,1,1,1,1,1
27,02773,285450,2920,0,7350,26920,7050,1700,10500,1,1,0,1,1,1,1,1
28,02900,0,0,688622,926560,1048774,939090,1279648,1086888,0,0,1,1,1,1,1,1
29,02915,0,0,0,1737390,4685873,5238073,9554300,5876278,0,0,0,1,1,1,1,1
30,02923,0,0,23168790,27294520,16267960,6999880,9004350,23555380,0,0,1,1,1,1,1,1
31,02945,0,0,511290,1302054,2678110,2107585,2814683,2769245,0,0,1,1,1,1,1,1
32,03257,28670,0,20680,1162880,0,60000,0,25200,1,0,1,1,0,1,0,1
33,03430,0,0,399510,98770,15658265,43921790,18069590,923180,0,0,1,1,1,1,1,1
34,03449,420124,59500,91500,46700,69000,45000,0,2731110,1,1,1,1,1,1,0,1
35,03542,1535114,584613,1357032,1126040,184820,0,921858,200600,1,1,1,1,1,0,1,1
36,03705,0,0,1726077,1707409,2092233,1809684,2290511,2416565,0,0,1,1,1,1,1,1
37,03753,638107,1030950,880310,0,812500,89000,207900,1108700,1,1,1,0,1,1,1,1
38,03986,0,0,463449,653955,687855,726021,1019066,1577038,0,0,1,1,1,1,1,1
39,04240,0,2255276,2564538,1858302,1610914,1193201,1921336,1580514,0,1,1,1,1,1,1,1
40,04290,0,0,0,2512071,2377291,1371314,2173771,1604224,0,0,0,1,1,1,1,1
41,04395,66540,38311,0,34040,135450,118368,114119,2495439,1,1,0,1,1,1,1,1
42,04419,545522,0,0,0,288000,0,0,0,1,0,0,0,1,0,0,0
43,04425,0,569400,3210930,15408020,2788254,5360720,4667150,6097526,0,1,1,1,1,1,1,1
44,04471,5696180,8503020,4943350,10796160,0,14400,94547,11913770,1,1,1,1,0,1,1,1
45,04534,0,0,0,616620,565774,963441,1252687,1314169,0,0,0,1,1,1,1,1
46,04822,0,0,1722840,2101122,1895520,2130800,1828151,1277230,0,0,1,1,1,1,1,1
47,04825,0,25000,0,0,0,0,49000,456200,0,1,0,0,0,0,1,1
48,04834,0,178270,1279180,3303428,1705046,1006250,1787750,2114946,0,1,1,1,1,1,1,1
49,04926,364173,0,0,0,175000,133200,0,156500,1,0,0,0,1,1,0,1
50,05077,0,957400,1158830,1455950,1041280,965760,709930,1412190,0,1,1,1,1,1,1,1
