,고객번호,성별,CAT연령대,지역,경쟁사이용횟수,채널이용횟수,멤버십가입개수,RECENCY6,RECENCY7,고객구분1_7,고객구분1_8,주말구매액비중,주말방문비중,선매품구매비중,편의품구매비중,전문품구매비중
0,1,M,노년층,서울,15,0,0,3,8,감소,감소,0.260030397,0.223273415,0.7490466831015768,0.2450327512521673,0.005920565646255904
1,2,M,노년층,경기,8,0,0,6,1,증가,감소,0.346116009,0.292114695,0.4958581612715001,0.4843376241830759,0.019804214545423963
2,3,M,노년층,서울,0,0,0,1,8,증가,감소,0.198451772,0.195633921,0.03623821428695548,0.9637617857130445,0.0
3,4,F,노년층,서울,3,0,0,0,0,증가,증가,0.238813189,0.230107527,0.5614590078597995,0.4385409921402005,0.0
4,6,F,노년층,강원,0,0,0,0,0,증가,증가,0.167567254,0.244821092,0.4056610968465933,0.5804282608918309,0.013910642261575816
5,7,F,노년층,서울,1,4,0,1,2,감소,증가,0.3782519,0.407170294,0.7636577222481711,0.13655763652025502,0.09978464123157393
6,8,M,노년층,서울,3,0,0,1,0,증가,증가,0.403353027,0.469168901,0.3104319536329106,0.6873052311028786,0.0022628152642108646
7,9,F,노년층,경기,0,0,0,2,5,증가,증가,0.433648467,0.340540541,0.9067892188375442,0.07888546978773492,0.0143253113747209
8,10,F,노년층,서울,0,0,0,3,1,감소,감소,0.488338885,0.434859155,0.11440183016191051,0.8663538485165728,0.01924432132151671
9,11,M,노년층,경기,2,0,1,0,0,감소,증가,0.274094263,0.373170732,0.7652817031299579,0.22088702310986885,0.013831273760173185
10,12,M,노년층,서울,0,0,0,5,0,증가,감소,0.30113868,0.253549696,0.5211571292020692,0.4788428707979308,0.0
11,13,F,노년층,인천,0,0,0,1,0,증가,감소,0.413915062,0.193134535,0.12369051656349807,0.876309483436502,0.0
12,14,F,노년층,서울,0,1,0,0,4,감소,감소,0.206111763,0.317835366,0.5440700542262877,0.3740761616554813,0.08185378411823094
13,15,F,노년층,서울,1,0,0,0,0,감소,감소,0.357230971,0.274509804,0.6858245135902323,0.3141754864097677,0.0
14,16,F,노년층,부산,7,0,0,0,0,증가,증가,0.160087209,0.18677686,0.12833362534028722,0.8689216617772656,0.0027447128824471495
15,17,M,노년층,서울,2,0,0,0,1,감소,감소,0.528123328,0.422247446,0.3683001654435518,0.5729776488936826,0.0587221856627655
16,18,F,노년층,인천,0,0,0,0,2,감소,감소,0.253937786,0.307387863,0.8627168070526664,0.13184025631660085,0.005442936630732782
17,19,F,노년층,경기,0,0,0,2,7,증가,감소,0.478556928,0.34767642,0.3612388549320964,0.6327068990045489,0.006054246063354674
18,20,M,노년층,서울,25,0,0,0,2,감소,감소,0.218966567,0.244508118,0.19616230777321694,0.803837692226783,0.0
19,21,M,노년층,서울,0,0,1,1,0,증가,감소,0.34732744,0.357338195,0.2694078988487631,0.7305921011512369,0.0
20,22,F,노년층,서울,0,0,0,1,0,감소,증가,0.323554091,0.371717172,0.009582775329933846,0.2542230427130596,0.7361941819570066
21,23,M,노년층,서울,0,0,0,5,14,증가,증가,0.447619405,0.524904215,0.38022596309790785,0.46741490567988975,0.15235913122220243
22,24,M,노년층,서울,0,0,0,0,1,증가,증가,0.243318948,0.226161369,0.43194911938868036,0.5365948591920868,0.031456021419232774
23,25,F,노년층,부산,10,0,0,0,7,증가,증가,0.145327391,0.204472843,0.822222843136964,0.12617288049466233,0.05160427636837365
24,26,F,노년층,부산,1,0,0,0,2,감소,감소,0.441453872,0.34122288,0.765443316935135,0.11522415485479329,0.11933252821007165
25,27,M,노년층,서울,11,0,0,1,1,증가,감소,0.453342914,0.487654321,0.35815244950235275,0.5686744626497827,0.07317308784786458
26,28,F,노년층,서울,0,0,0,0,4,증가,감소,0.189131287,0.195965418,0.04047388558521182,0.9595261144147882,0.0
27,29,M,노년층,인천,0,0,0,2,1,감소,증가,0.390633723,0.376889849,0.767404379760535,0.15274521685773418,0.07985040338173083
28,30,F,노년층,서울,0,0,0,2,1,증가,증가,0.3322747,0.175302245,0.5920521968841175,0.37167544450809176,0.03627235860779083
29,31,F,노년층,경기,0,0,0,2,1,증가,증가,0.707993877,0.732663317,0.43555358405505507,0.5644464159449449,0.0
30,32,F,노년층,경기,0,0,0,0,0,증가,증가,0.288580962,0.277815239,0.09027400040738039,0.9097259995926196,0.0
31,33,M,노년층,경기,0,0,0,1,2,증가,감소,0.489083793,0.420965058,0.046940719912625196,0.9530592800873748,0.0
32,34,F,노년층,서울,5,0,0,2,1,감소,감소,0.33146248,0.333333333,0.2835831258157985,0.7164168741842015,0.0
33,35,F,노년층,울산,10,0,0,2,10,증가,증가,0.658054989,0.460764588,0.564238084485168,0.409308372165047,0.026453543349785013
34,36,M,노년층,경기,0,0,0,1,1,증가,감소,0.354489839,0.227083333,0.4979939595962182,0.5020060404037818,0.0
35,37,F,노년층,서울,9,0,1,2,2,증가,증가,0.571071536,0.420916162,0.5739811284526526,0.42277758152708195,0.003241290020265467
36,38,F,노년층,서울,0,0,0,0,0,증가,증가,0.196246952,0.189179104,0.20799938059157314,0.7920006194084269,0.0
37,39,F,노년층,서울,0,0,0,3,7,감소,감소,0.40971061,0.242160279,0.8790417516848773,0.11421819018250642,0.006740058132616248
38,40,M,노년층,경기,0,0,0,0,0,증가,증가,0.305607403,0.0944055944,0.7482388098120216,0.2431937010296599,0.008567489158318441
39,41,M,노년층,서울,0,0,0,7,5,감소,증가,0.182531837,0.0573426573,0.31248643722060676,0.6658666971008739,0.021646865678519398
40,42,M,노년층,서울,0,23,0,0,2,증가,증가,0.350664942,0.248975876,0.20864658212596432,0.7913534178740357,0.0
41,43,F,노년층,경기,2,0,1,3,4,감소,감소,0.227568711,0.277727683,0.2633727003407748,0.7366272996592251,0.0
