고객번호,분기_count지수
00001,-0.7
00002,2.5
00003,-3.3
00004,6.3
00006,-2.6
00007,2.1999999999999997
00008,3.5999999999999996
00009,0.20000000000000007
00010,-1.2
00011,4.199999999999999
00012,2.8
00013,1.5
00014,-3.2
00015,3.2
00016,4.6
00017,2.8
00018,-0.5999999999999999
00019,7.4
00020,-4.300000000000001
00021,-0.2999999999999998
00022,3.2
00023,6.1
00024,3.5999999999999996
00025,-2.6
00026,-2.2
00027,-1.4999999999999998
00028,1.7999999999999998
00029,0.4999999999999999
00030,1.2
00031,3.8999999999999995
00032,-1.1
00033,4.9
00034,0.09999999999999987
00035,0.6
00036,2.4
00037,2.0
00038,2.5999999999999996
00039,1.7999999999999998
00040,-2.2
00041,1.7999999999999998
00042,-0.2999999999999998
00043,0.09999999999999987
00044,7.0
00045,0.40000000000000013
00046,1.7999999999999998
00047,-0.5999999999999999
00048,4.1
00049,-3.3
00050,6.5
00051,2.9
00052,3.3
00053,-2.3
00054,2.5
00055,-0.8
00056,0.7999999999999999
00057,0.6000000000000001
00058,4.3
00059,2.3
00060,2.5
00061,4.0
00062,-3.7
00063,3.7
00064,3.0
00065,5.6
00066,1.7999999999999998
00067,-2.5
00068,4.0
00069,5.5
00070,7.199999999999999
00071,-0.10000000000000009
00072,2.5
00073,5.4
00074,1.9
00075,0.4999999999999999
00076,2.4
00077,4.1
00078,2.9
00079,3.3
00080,0.9999999999999998
00081,5.4
00082,4.1
00083,-1.7999999999999998
00084,5.6
00085,2.8
00086,6.2
00087,2.8
00088,6.8
00089,2.4
00090,2.1
00091,6.1
00092,-1.0
00093,3.9
00094,8.0
00095,2.5999999999999996
00096,6.1
00097,-2.0
00098,5.9
00099,3.8999999999999995
00100,-0.8999999999999999
00101,1.5
00102,0.20000000000000007
00103,1.3
00104,1.7999999999999998
00105,3.0
00106,0.40000000000000013
00107,-1.4
00108,3.4
00109,2.1999999999999997
00110,-0.7000000000000002
00111,1.9
00112,4.199999999999999
00113,5.0
00114,0.7999999999999999
00115,2.1
00116,-4.300000000000001
00117,3.1
00118,2.6999999999999997
00119,1.4
00120,3.8
00121,1.7999999999999998
00122,3.5999999999999996
00123,-2.6
00124,-3.2
00125,4.5
00126,2.1
00127,0.09999999999999987
00128,2.9
00129,1.2
00130,1.4
00131,-3.2
00132,2.4
00133,2.9
00134,-3.8999999999999995
00135,0.7999999999999999
00136,0.20000000000000007
00137,3.5999999999999996
00138,7.0
00139,1.2
00140,-1.7000000000000002
00141,1.6999999999999997
00143,2.4
00144,2.4
00145,0.09999999999999987
00146,5.499999999999999
00147,6.699999999999999
00148,4.1
00149,4.3999999999999995
00150,1.7999999999999998
00151,5.8
00152,-1.2
00153,6.3
00154,4.8
00155,-0.5999999999999999
00156,7.199999999999999
00157,0.30000000000000027
00158,-2.2
00159,3.5
00160,3.5999999999999996
00161,-1.9
00162,5.8
00163,-1.2
00164,1.7999999999999998
00165,3.5
00166,-2.9000000000000004
00167,7.1
00168,2.9
00169,3.2
00170,0.40000000000000013
00171,3.4
00172,1.2
00173,2.1
00175,4.1
00176,0.09999999999999987
00177,1.4
00178,0.09999999999999987
00179,4.5
00180,2.1
00181,3.5999999999999996
00182,3.8999999999999995
00183,0.9999999999999998
00184,-0.8999999999999999
00185,7.799999999999999
00186,0.7999999999999999
00187,0.30000000000000027
00188,0.40000000000000013
00189,-0.19999999999999996
00190,1.7999999999999998
00191,1.1
00192,3.7
00193,3.2
00194,1.7999999999999998
00195,1.5
00196,0.0
00197,1.7999999999999998
00198,1.5
00199,-2.9000000000000004
00200,3.2
00201,7.4
00202,2.1999999999999997
00203,1.1
00204,3.0
00205,5.6
00206,0.30000000000000027
00207,0.40000000000000013
00208,4.5
00209,0.8999999999999999
00210,0.4999999999999999
00211,4.3999999999999995
00212,2.1999999999999997
00213,0.40000000000000013
00214,4.199999999999999
00215,2.5999999999999996
00216,0.7
00217,8.0
00218,-0.5999999999999999
00219,1.2
00220,4.0
00221,2.1
00222,-1.2999999999999998
