고객번호,A_sum지수,B_sum지수,C_sum지수,D_sum지수
00001,-0.7,2.5,6.6,0.0
00002,-0.4,2.5,0.0,8.0
00003,1.5,1.2,0.3,0.0
00004,0.3,7.3,1.2999999999999998,0.0
00006,1.2999999999999998,1.0,-2.4,0.0
00007,0.3,1.2999999999999998,0.0,0.0
00008,0.3,4.3,0.0,0.0
00009,0.0,1.2,0.0,0.0
00010,0.8999999999999999,4.199999999999999,0.0,7.0
00011,0.3,-4.199999999999999,-0.7,0.0
00012,0.6,1.2999999999999998,0.0,6.6
00013,0.0,2.0,5.3,0.0
00014,0.0,0.0,0.3,0.0
00015,0.3,1.0,-0.09999999999999998,0.0
00016,0.6,6.3,0.0,0.0
00017,0.3,3.4,6.0,0.0
00018,-1.1,3.5,5.8,0.0
00019,0.0,1.2,1.2,0.0
00020,0.3,5.0,5.0,0.0
00021,6.3,1.0,1.2,0.0
00022,-0.7,0.0,0.0,0.0
00023,0.3,-1.7000000000000002,-1.4,0.0
00024,6.6,1.0,0.0,0.0
00025,1.6,7.5,1.0,0.0
00026,-0.7,8.5,-3.5,2.1
00027,-0.4,3.0,4.199999999999999,0.0
00028,2.8,1.0,1.2,0.0
00029,-0.4,2.0,1.5,0.0
00030,1.2999999999999998,1.5,0.0,0.0
00031,-0.4,1.2,1.2,0.0
00032,0.3,2.0,0.0,0.0
00033,1.5,0.3,0.3,0.0
00034,0.0,5.0,-2.2,0.0
00035,0.3,1.2999999999999998,0.0,2.1
00036,0.3,-3.2,2.5,0.0
00037,0.3,1.5,0.0,0.0
00038,0.0,1.2999999999999998,0.3,0.0
00039,-0.4,0.0,6.5,0.0
00040,0.3,0.3,-1.4,0.0
00041,0.0,1.2999999999999998,6.3,0.0
00042,0.7999999999999999,2.0,4.199999999999999,0.0
00043,-2.4,1.0,-2.5,0.0
00044,0.3,2.0,0.3,0.0
00045,0.3,1.2999999999999998,0.0,0.0
00046,-0.4,-2.5,1.5,0.0
00047,0.3,1.0,-0.8999999999999999,0.0
00048,0.6,5.0,0.3,0.0
00049,-0.4,-1.6,0.0,0.0
00050,0.0,2.0,1.2999999999999998,0.0
00051,0.0,-0.4,0.0,7.799999999999999
00052,0.0,1.2,1.2999999999999998,0.0
00053,0.3,0.0,0.0,0.0
00054,-0.7,1.5,-3.5,1.7999999999999998
00055,0.0,-1.7000000000000002,-0.7,0.0
00056,0.3,1.5,6.8,0.0
00057,1.5,2.1,-0.7,0.0
00058,0.0,-2.8,0.0,0.0
00059,0.0,-2.9000000000000004,-3.5,0.0
00060,1.2999999999999998,2.0,4.3,0.0
00061,-0.7,1.0,0.3,0.0
00062,1.2999999999999998,0.3,1.5,0.0
00063,0.0,5.0,0.0,0.0
00064,5.0,1.2999999999999998,0.0,0.0
00065,0.3,1.2999999999999998,1.5,0.0
00066,-0.7,2.0,2.6999999999999997,0.0
00067,7.1,2.0,1.5,0.0
00068,-0.8,1.0,-3.5,0.0
00069,4.0,1.5,0.0,0.0
00070,0.3,1.2,-1.7000000000000002,0.0
00071,-3.5,1.0,-0.5,0.0
00072,0.7999999999999999,1.0,4.0,0.0
00073,0.0,-3.8999999999999995,-3.5,0.0
00074,0.3,2.0,3.5,0.0
00075,0.0,-2.8,-0.7,0.0
00076,1.2999999999999998,0.3,0.6,0.0
00077,0.0,3.0,0.0,0.0
00078,0.6,1.6,6.8,0.0
00079,0.0,1.2999999999999998,-3.5,0.0
00080,1.0,1.2999999999999998,-0.7,0.0
00081,0.6,0.3,5.5,0.0
00082,0.3,1.0,4.6,0.0
00083,1.2999999999999998,1.0,0.0,0.0
00084,-0.09999999999999998,3.4,1.5,0.0
00085,1.0,0.0,-3.5,2.1
00086,1.0,1.2999999999999998,1.2,0.0
00087,-0.4,-2.0,1.2999999999999998,0.0
00088,0.3,0.3,1.2,0.0
00089,0.6,2.0,1.0,1.5
00090,0.3,5.6,1.7999999999999998,0.0
00091,0.3,3.7,-0.7,0.0
00092,0.0,1.0,-0.7,0.0
00093,0.3,0.0,1.5,0.0
00094,2.5999999999999996,-2.9000000000000004,6.0,0.0
00095,-0.7,1.0,1.0,-3.5
