고객번호,분기_sum지수
00001,-0.7
00002,2.8
00003,-3.5999999999999996
00004,4.0
00006,0.20000000000000007
00007,-0.4
00008,2.5999999999999996
00009,0.8999999999999999
00010,0.20000000000000007
00011,1.6
00012,-0.8
00013,2.5999999999999996
00014,-0.8
00015,0.6
00016,0.20000000000000007
00017,2.5
00018,-1.0
00019,5.9
00020,-1.4999999999999998
00021,-1.4999999999999998
00022,1.2
00023,2.1999999999999997
00024,2.1999999999999997
00025,-1.2
00026,-1.7999999999999998
00027,1.9
00028,0.09999999999999987
00029,-0.8
00030,1.6
00031,0.20000000000000007
00032,-0.5
00033,3.3
00034,-0.09999999999999998
00035,-1.7999999999999998
00036,2.5
00037,-0.2999999999999998
00038,3.4
00039,0.4999999999999999
00040,-1.2
00041,2.5
00042,-0.8999999999999999
00043,-1.4999999999999998
00044,3.5
00045,-0.19999999999999996
00046,2.1999999999999997
00047,-0.5
00048,5.699999999999999
00049,-2.0
00050,4.199999999999999
00051,1.1
00052,4.3
00053,0.7999999999999999
00054,0.09999999999999987
00055,-0.19999999999999996
00056,1.1
00057,0.09999999999999987
00058,3.1
00059,1.6999999999999997
00060,3.2
00061,3.2
00062,-1.2999999999999998
00063,4.7
00064,0.7999999999999999
00065,5.9
00066,0.09999999999999987
00067,-1.1
00068,3.1
00069,1.2999999999999998
00070,3.8999999999999995
00071,-2.3
00072,3.2
00073,1.7999999999999998
00074,-0.09999999999999998
00075,0.20000000000000007
00076,-0.2999999999999998
00077,1.2
00078,1.7999999999999998
00079,2.9
00080,-0.2999999999999998
00081,3.5
00082,1.1
00083,-0.8999999999999999
00084,1.6
00085,2.1999999999999997
00086,3.8999999999999995
00087,1.9
00088,6.2
00089,1.5
00090,0.40000000000000013
00091,3.2
00092,-2.9999999999999996
00093,4.1
00094,2.1999999999999997
00095,2.0
00096,6.3
00097,-1.9
00098,5.5
00099,4.9
00100,-0.2999999999999998
00101,1.6
00102,1.2999999999999998
00103,0.40000000000000013
00104,2.8
00105,0.7999999999999999
00106,2.8
00107,-1.4999999999999998
00108,2.5
00109,2.5
00110,-1.0
00111,1.6
00112,3.5
00113,1.6
00114,0.3
00115,-0.19999999999999996
00116,-1.9
00117,0.8999999999999999
00118,0.09999999999999987
00119,0.7999999999999999
00120,1.9
00121,3.2
00122,0.6
00123,-0.5
00124,-1.1
00125,0.8999999999999999
00126,1.9
00127,0.09999999999999987
00128,0.6
00129,1.9
00130,1.9
00131,-1.4999999999999998
00132,3.5
00133,1.2
00134,-2.2
00135,1.6
00136,-1.4
00137,-0.2999999999999998
00138,4.6
00139,0.8999999999999999
00140,-0.5
00141,0.4999999999999999
00143,2.4
00144,-0.5
00145,1.2
00146,3.7
00147,0.8999999999999999
00148,1.5
00149,0.09999999999999987
00150,2.1999999999999997
00151,5.6
00152,-0.2999999999999998
00153,3.3
00154,5.199999999999999
00155,0.09999999999999987
00156,4.199999999999999
00157,-1.1
00158,0.40000000000000013
00159,1.6
00160,4.6
00161,-1.9
00162,4.199999999999999
00163,-1.9
00164,0.4999999999999999
00165,0.8999999999999999
00166,-1.1
00167,4.1
00168,0.8999999999999999
00169,2.9
00170,0.6
00171,2.1
00172,1.2
00173,-0.8
00175,0.3
00176,-1.2
00177,1.5
00178,-0.2999999999999998
00179,2.8
00180,3.8
00181,2.9
00182,2.9
00183,2.1
00184,-2.3
00185,5.5
00186,1.7999999999999998
00187,-1.2999999999999998
00188,1.2
00189,-1.9
00190,1.0
00191,0.7999999999999999
00192,0.8999999999999999
00193,1.7999999999999998
00194,-0.5
00195,2.3
00196,0.40000000000000013
00197,2.5
00198,0.8999999999999999
00199,-2.9000000000000004
00200,1.9
00201,3.8
00202,1.2
00203,4.1
00204,1.5
00205,5.6
00206,-0.8999999999999999
00207,-1.4
00208,3.5
00209,1.7999999999999998
00210,1.2
00211,2.9
00212,0.8999999999999999
00213,0.9999999999999998
00214,2.9
00215,1.5
00216,-0.5
00217,6.1
00218,0.7999999999999999
00219,3.3
00220,-0.2999999999999998
00221,2.5
00222,-0.5
00223,4.9
00224,2.1999999999999997
00225,2.1999999999999997
00226,2.1999999999999997
00227,-0.09999999999999998
00228,1.6999999999999997
00229,0.7999999999999999
00230,4.199999999999999
00231,-0.5
00232,0.3
00233,-2.0999999999999996
00234,3.2
00235,2.4
00236,1.5
00237,-2.0
00238,2.4
00239,3.5999999999999996
00240,4.3999999999999995
00241,1.5
00242,1.7999999999999998
00243,0.8999999999999999
00245,-0.5
00246,1.1
00247,-1.6
00248,-0.19999999999999996
00249,1.9
00250,0.8999999999999999
00251,1.5
00252,3.7
00253,-0.09999999999999998
00254,-0.5
00255,3.8999999999999995
00256,-0.5999999999999999
00257,-0.8999999999999999
00258,4.199999999999999
00259,3.1
00260,-1.4
00261,1.9
00262,-0.2999999999999998
00263,2.5
00264,-1.2999999999999998
00265,3.8
00266,-0.19999999999999996
00267,0.09999999999999987
00268,6.699999999999999
00269,0.40000000000000013
00270,1.2
00271,1.6
00272,2.9
00273,2.1999999999999997
00274,3.2
00275,-0.09999999999999998
00276,5.199999999999999
00277,0.8999999999999999
00278,3.2
00279,-0.19999999999999996
00280,1.2
00281,1.5
00282,0.8999999999999999
00283,1.5
00284,0.20000000000000007
00285,-0.19999999999999996
00286,1.4
00287,1.2999999999999998
00288,-0.19999999999999996
00289,0.8999999999999999
00290,0.6
00291,2.8
00292,3.1
00293,-1.6
00294,2.1999999999999997
00295,-0.19999999999999996
00296,2.5
00297,-0.5
00298,1.7999999999999998
00299,-0.7000000000000002
00300,2.1999999999999997
00301,2.1
00302,1.9
00303,2.5999999999999996
00304,3.8
00305,-1.4999999999999998
00306,1.5
00307,2.1999999999999997
00308,-3.2
00309,2.4
00310,0.4999999999999999
00311,3.1
00312,-0.09999999999999998
00313,4.5
00314,3.8999999999999995
00315,-0.19999999999999996
00316,5.4
00317,-4.300000000000001
00318,3.1
00319,0.20000000000000007
00320,2.8
00321,2.6999999999999997
00322,1.2
00323,6.6
00324,-1.6
00325,3.3
00326,4.6
00327,1.6999999999999997
00328,-0.19999999999999996
00329,2.4
00330,0.8999999999999999
00331,3.1
00332,0.20000000000000007
00333,3.2
