고객번호,분기_count지수
00001,-0.7
00002,1.5
00003,-0.5
00004,5.3
00006,-2.6
00007,-0.8
00008,4.3
00009,1.6
00010,-1.2
00011,3.2
00012,0.7999999999999999
00013,2.9
00014,-0.4
00015,3.2
00016,4.6
00017,0.7999999999999999
00018,2.9
00019,3.4
00020,-3.5999999999999996
00021,1.7999999999999998
00022,4.6
00023,-0.8999999999999999
00024,3.5999999999999996
00025,-1.2
00026,-1.4999999999999998
00027,-0.09999999999999998
00028,-1.2
00029,1.9
00030,3.3
00031,-0.09999999999999998
00032,0.3
00033,1.9
00034,1.5
00035,-0.4
00036,4.5
00037,-2.9999999999999996
00038,6.1
00039,-1.2
00040,-0.09999999999999998
00041,-0.19999999999999996
00042,1.7999999999999998
00043,0.7999999999999999
00044,2.0
00045,-0.5999999999999999
00046,1.7999999999999998
00047,2.1999999999999997
00048,-0.8999999999999999
00049,-2.6
00050,-0.5
00051,5.0
00052,4.0
00053,-0.19999999999999996
00054,-3.5
00055,-0.09999999999999998
00056,1.5
00057,2.0
00058,-0.7000000000000002
00059,2.3
00060,2.5
00061,6.8
00062,-0.19999999999999996
00063,1.6999999999999997
00064,-2.0
00065,6.3
00066,2.5
00067,-0.4
00068,4.0
00069,5.5
00070,7.199999999999999
00071,2.0
00072,3.8999999999999995
00073,-0.5999999999999999
00074,1.9
00075,1.2
00076,3.1
00077,-1.9
00078,4.3
00079,2.3
00080,3.1
00081,-0.5999999999999999
00082,6.2
00083,-1.1
00084,3.5999999999999996
00085,1.7999999999999998
00086,6.8999999999999995
00087,2.8
00088,2.8
00089,3.8
00090,-0.8999999999999999
00091,2.1
00092,1.1
00093,6.699999999999999
00094,3.0
00095,-3.4000000000000004
00096,8.2
00097,-2.0
00098,6.6
00099,3.8999999999999995
00100,-0.8999999999999999
00101,3.5999999999999996
00102,0.20000000000000007
00103,2.6999999999999997
00104,3.8999999999999995
00105,0.0
00106,1.1
00107,0.0
00108,2.4
00109,-0.8
00110,2.8
00111,1.9
00112,3.2
00113,5.0
00114,1.5
00115,0.09999999999999987
00116,-3.5999999999999996
00117,3.1
00118,2.6999999999999997
00119,2.1
00120,2.8
00121,5.3
00122,3.5999999999999996
00123,0.8999999999999999
00124,-2.5
00125,4.5
00126,2.1
00127,2.1999999999999997
00128,-0.09999999999999998
00129,1.9
00130,-2.6
00131,-0.4
00132,0.40000000000000013
00133,2.9
00134,-0.4
00135,-1.2
00136,1.6
00137,-2.4
00138,3.0
00139,1.9
00140,0.40000000000000013
00141,-0.2999999999999998
00143,4.5
00144,6.6
00145,-3.8999999999999995
00146,8.3
00147,4.7
00148,3.1
00149,-2.6
00150,0.7999999999999999
00151,7.199999999999999
00152,-1.2
00153,4.3
00154,1.7999999999999998
00155,-0.5999999999999999
00156,7.199999999999999
00157,-0.7000000000000002
00158,-0.09999999999999998
00159,1.5
00160,1.6
00161,0.20000000000000007
00162,5.8
00163,0.20000000000000007
00164,3.2
00165,-0.5
00166,-2.2
00167,6.1
00168,3.5999999999999996
00169,3.2
00170,-0.5999999999999999
00171,-1.6
00172,1.2
00173,4.199999999999999
00175,-0.8999999999999999
00176,0.7999999999999999
00177,4.199999999999999
00178,1.5
00179,0.4999999999999999
00180,-1.9
00181,5.0
00182,3.8999999999999995
00183,-2.9999999999999996
00184,1.9
00185,4.8
00186,3.5999999999999996
00187,1.6999999999999997
00188,1.7999999999999998
00189,2.5999999999999996
00190,2.5
00191,3.2
00192,1.6999999999999997
00193,1.2
00194,3.8999999999999995
00195,0.4999999999999999
00196,3.5
00197,1.7999999999999998
00198,1.5
00199,-2.9000000000000004
00200,4.6
00201,2.4
00202,-0.8
00203,1.1
00204,6.5
00205,4.6
00206,2.4
00207,2.5
00208,2.5
00209,-1.1
00210,1.9
00211,-0.5999999999999999
00212,0.20000000000000007
00213,2.5
00214,6.3
00215,1.6
00216,-0.2999999999999998
00217,3.0
00218,2.1999999999999997
00219,-0.8
00220,2.0
00221,-0.8999999999999999
00222,0.09999999999999987
00223,4.8
00224,0.7
00225,0.7999999999999999
00226,4.6
00227,1.4
00228,-2.8000000000000003
00229,2.6999999999999997
00230,1.3
00231,3.5
00232,-1.4999999999999998
00233,-1.6
00234,7.3
00235,6.2
00236,-2.0
00237,1.7999999999999998
00238,0.0
00239,3.8999999999999995
00240,-1.0
00241,1.2
00242,2.9
00243,0.8999999999999999
00245,-0.8
00246,-1.4
00247,-0.5999999999999999
00248,2.4
00249,2.5
00250,1.5
00251,4.199999999999999
00252,7.1
00253,1.1
00254,-1.0
00255,1.6
00256,-1.2999999999999998
00257,2.3
00258,5.6
00259,0.0
00260,-0.5999999999999999
00261,4.6
00262,2.8
00263,5.3
00264,2.5
00265,-0.8999999999999999
00266,-0.8
00267,1.5
00268,4.8
00269,1.7999999999999998
00270,2.5
00271,2.1999999999999997
00272,-0.5
00273,4.3
00274,1.1
00275,2.5999999999999996
00276,5.9
00277,0.3
00278,1.1
00279,0.09999999999999987
00280,4.5
00281,1.4
00282,-1.2
00283,6.5
00284,-2.9999999999999996
00285,3.2
00286,-2.0
00287,1.9
00288,0.4999999999999999
00289,6.2
00290,2.1
00291,2.5
00292,3.4
00293,-0.8999999999999999
00294,3.5
00295,0.09999999999999987
00296,0.8999999999999999
00297,-1.2
00298,-2.2
00299,2.0
00300,1.4
00301,3.1
00302,0.7999999999999999
00303,1.5
00304,1.1
00305,-2.2
00306,1.2
00307,1.7999999999999998
00308,0.20000000000000007
00309,1.4
00310,2.1
00311,-1.9
00312,-0.5999999999999999
00313,6.1
00314,2.8
00315,6.5
00316,-2.9999999999999996
00317,-3.3
00318,2.6999999999999997
00319,3.2
00320,1.2
00321,-0.5999999999999999
00322,1.9
00323,5.3
00324,2.8
00325,5.5
00326,5.8
00327,3.4999999999999996
00328,-3.3
00329,0.0
00330,3.5999999999999996
00331,6.6
00332,1.1
00333,3.8
00334,3.0
00335,0.09999999999999987
00336,3.3
00337,-0.09999999999999998
00338,0.4999999999999999
00339,0.7999999999999999
00340,6.4
00341,5.9
00342,-2.2
00343,0.4999999999999999
00344,3.2
00345,3.5999999999999996
00346,-0.5
00347,3.1
00348,2.9
00349,2.9
00350,3.0
00351,4.3999999999999995
00352,3.5
00353,0.4999999999999999
00354,0.7999999999999999
00355,-0.5
00356,3.4
00357,-2.0
00358,1.5
00359,-1.9
00360,4.9
00361,4.5
00362,-2.5
00363,1.9
00364,0.20000000000000007
00365,-2.9999999999999996
00366,4.199999999999999
00367,-2.3
00368,5.199999999999999
00369,7.199999999999999
00370,-0.8000000000000003
00371,-0.3999999999999999
00372,-0.5
00373,5.3
00374,0.7999999999999999
00375,-3.2
00376,2.8
00377,0.7999999999999999
00378,3.1
00379,5.4
00380,2.1
00381,1.1
00382,-3.4000000000000004
00383,0.7
00384,0.7999999999999999
00385,7.199999999999999
00386,-0.2999999999999998
00387,5.199999999999999
00388,-0.2999999999999998
00389,-0.2999999999999998
00390,1.1
00391,7.5
00392,3.5
00393,-1.6
00394,-1.2
00395,6.8
00396,-0.7000000000000002
00397,2.5999999999999996
00398,1.9
00399,0.09999999999999987
00400,4.5
00401,1.2
00402,3.5
00403,4.0
00404,-0.5999999999999999
00405,-2.6
00406,4.1
00407,0.09999999999999987
00408,2.4
00409,0.4999999999999999
00410,-2.3
00411,4.9
00412,0.20000000000000007
00413,7.5
00414,0.09999999999999987
00415,7.1
00416,2.1999999999999997
00417,2.8
00418,-0.19999999999999996
00419,2.1999999999999997
00420,5.0
00421,0.09999999999999987
00422,1.5
00423,0.7999999999999999
00424,2.1999999999999997
00425,0.20000000000000007
00426,0.7999999999999999
00427,2.1
00428,0.7
00429,2.5
00430,2.8
00431,2.8
00432,2.1
00433,0.7999999999999999
00434,0.8999999999999999
00435,4.5
00436,3.0
00437,5.9
00438,5.8
00439,6.8
00440,0.8999999999999999
00441,3.1
00442,1.2
00443,4.6
00444,1.5
00445,2.8
00446,0.4999999999999999
00447,3.8
00448,-0.7000000000000002
00449,1.2
00450,2.5
00451,1.9
00452,3.5
00453,3.3
00454,1.7999999999999998
00455,2.1
00456,-0.19999999999999996
00457,1.5
00458,3.8999999999999995
00459,1.5
00461,3.1
00462,-2.3
00463,2.6999999999999997
00464,1.6999999999999997
00465,-0.8
00466,0.40000000000000013
00467,-1.6
00468,5.5
00469,2.5
00470,4.6
00471,-2.3
00472,2.5
00473,7.799999999999999
00474,-0.19999999999999996
00475,6.5
00476,6.5
00477,1.3
00478,2.1999999999999997
00479,0.7
00480,2.9
00481,2.1
00482,-0.19999999999999996
00483,3.1
00484,-1.4
00485,5.0
00486,2.9
00487,0.40000000000000013
00488,3.8999999999999995
00489,2.8
00490,1.4
00491,5.0
00492,5.5
00493,6.6
00494,0.8999999999999999
00495,5.8
00496,1.7999999999999998
00497,0.40000000000000013
00498,2.9
00499,-0.8000000000000003
00500,2.8
00501,0.0
00502,2.3
00503,-1.2999999999999998
00504,5.9
00505,-1.2999999999999998
00506,1.6
00507,1.1
00508,2.3
00509,-0.7000000000000002
00510,2.5
00511,1.9
00512,2.8
00513,-2.4
00514,-1.2
00515,7.799999999999999
00516,2.5
00517,0.30000000000000027
00518,4.3999999999999995
00519,1.7999999999999998
00520,4.8
00521,0.7999999999999999
00522,3.8
00523,0.4999999999999999
00524,1.9
00525,5.6
00526,2.4
00527,1.9
00528,-2.2
00529,5.3
00530,1.9
00531,4.5
00532,1.1
00533,1.4
00534,1.2
00535,3.8
00536,5.1
00537,5.5
00538,4.199999999999999
00539,-0.19999999999999996
00540,2.6999999999999997
00541,4.1
00542,-2.0999999999999996
00543,6.5
00544,1.7999999999999998
00545,3.5999999999999996
00546,0.20000000000000007
00547,0.0
00548,6.8999999999999995
00549,-0.8999999999999999
00550,0.09999999999999987
00551,2.1
00552,-1.1
00553,4.3
00554,1.3
00555,3.4
00556,1.5
00557,-1.2999999999999998
00558,1.2
00559,-0.5
00560,-0.5999999999999999
00561,2.6999999999999997
00562,3.4
00563,4.1
00564,3.8
00565,0.30000000000000027
00566,1.6999999999999997
00567,3.2
00568,4.3999999999999995
00569,3.5999999999999996
00570,2.1999999999999997
00571,1.2
00572,-1.7999999999999998
00573,3.2
00574,-1.2
00575,7.1
00576,2.5999999999999996
00577,2.4
00578,-0.3999999999999999
00579,2.5999999999999996
00580,0.20000000000000007
00581,1.4
00582,-0.8999999999999999
00583,-1.7999999999999998
00584,2.8
00585,-2.6
00586,2.5
00587,-0.19999999999999996
00588,5.4
00589,-3.5999999999999996
00590,6.1
00591,-2.9999999999999996
00592,2.1999999999999997
00593,3.4
00594,0.40000000000000013
00595,7.799999999999999
00596,3.5999999999999996
00597,0.6
00598,-1.2999999999999998
00599,3.1
00600,6.6
00601,-2.2
00602,3.5
00603,1.7999999999999998
00604,4.6
00605,-2.5
00606,7.6
00607,2.8
00608,4.199999999999999
00609,-1.6
00610,4.6
00611,0.4999999999999999
00612,0.8999999999999999
00613,0.7999999999999999
00614,0.40000000000000013
00615,-1.6
00616,6.2
00617,0.8999999999999999
00618,2.0
00619,4.199999999999999
00620,1.1
00621,3.8999999999999995
00622,5.199999999999999
00623,8.6
00624,0.8999999999999999
00625,-0.5
00626,2.1
00627,2.0
00628,6.5
00629,1.2
00630,0.09999999999999987
00631,-0.19999999999999996
00632,3.2
00633,6.1
00634,0.7
00635,3.0
00636,2.8
00637,-2.0
00638,2.9
00639,2.5
00640,0.7999999999999999
00641,-1.7999999999999998
00642,-2.0
00643,1.5
00644,0.09999999999999987
00645,1.9
00646,4.6
00647,1.5
00648,0.8999999999999999
00649,0.4999999999999999
00650,-2.6
00651,0.8999999999999999
00652,1.5
00653,0.20000000000000007
00654,3.2
00655,5.6
00656,-2.0
00657,7.799999999999999
00658,2.1999999999999997
00659,1.5
00660,4.9
00661,-0.19999999999999996
00662,3.4
00663,-2.6
00664,2.3
00665,-0.2999999999999998
00666,3.5
00667,1.2
00668,0.7999999999999999
00669,2.1
00670,3.5999999999999996
