고객번호,가공식품_구매지수,신선식품_구매지수,일상용품_구매지수,의약품/의료기기_구매지수,교육/문화용품_구매지수,외식_구매지수,기타_구매지수,디지털/가전_구매지수,가구/인테리어_구매지수,의류_구매지수,전문스포츠/레저_구매지수,패션잡화_구매지수,유아동_구매지수,명품_구매지수
00001,0.3,0.3,-4.6000000000000005,1.7999999999999998,0.0,0.3,0.0,9.4,-2.2,0.3,0.0,0.6,-2.3,1.7999999999999998
00002,0.3,0.0,0.6,2.1,0.0,0.3,0.0,6.2,3.9,0.6,0.0,0.3,5.199999999999999,2.1
00003,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0
00004,0.0,0.0,0.3,3.3,0.0,1.2999999999999998,0.0,0.0,8.1,1.2999999999999998,4.0,1.1,3.3,0.0
00006,0.0,1.2999999999999998,0.3,0.0,4.0,0.6,0.0,0.0,8.899999999999999,0.3,1.5,8.8,-2.8,7.5
00007,0.0,0.0,1.6,6.6,5.3,0.0,0.0,6.8,8.1,-1.1,3.5999999999999996,-0.09999999999999998,3.0,8.399999999999999
00008,1.0,0.0,0.0,0.0,1.5,0.3,0.0,-4.0,1.7999999999999998,0.6,0.0,2.8,1.5,1.5
00009,1.2999999999999998,3.3,7.9,0.0,0.0,3.1,0.0,2.6999999999999997,7.6,-0.4,1.7999999999999998,2.8,0.0,9.1
00010,1.2999999999999998,0.0,0.3,0.6,-3.5,0.8999999999999999,0.0,0.0,3.3,1.1,5.0,3.0,0.0,1.7999999999999998
00011,1.2999999999999998,0.6,0.3,-4.199999999999999,3.3,1.2999999999999998,-2.4,-2.9000000000000004,-4.0,-2.8000000000000003,1.5,0.8999999999999999,-1.7999999999999998,-2.0999999999999996
00012,0.3,0.3,0.3,0.0,0.0,3.0,0.0,0.0,-3.5,4.6,0.0,-0.8999999999999995,0.0,0.0
00013,1.0,0.0,0.3,2.1,3.0,0.3,-2.0,0.0,3.5,1.1,-3.5,1.7999999999999998,5.199999999999999,0.0
00014,0.0,0.3,0.6,-2.4,0.0,2.5999999999999996,3.9,-2.0999999999999996,-3.1,-0.4,1.7999999999999998,0.3,-3.5,6.3
00015,0.0,0.6,1.0,2.6999999999999997,1.2,0.3,0.0,0.0,7.5,-4.300000000000001,-2.6999999999999997,3.1,0.0,0.0
