고객번호,분기_sum지수
00001,-0.8
00002,2.2
00003,-4.4
00004,4.0
00006,-0.19999999999999996
00007,-0.6
00008,2.4000000000000004
00009,0.6000000000000001
00010,-0.19999999999999996
00011,1.4
00012,-1.2
00013,2.4000000000000004
00014,-1.2
00015,0.4
00016,-0.19999999999999996
00017,2.0
00018,-2.0
00019,5.6
00020,-2.0
00021,-2.0
00022,0.8
00023,1.8
00024,1.8
00025,-1.8000000000000003
00026,-2.2
00027,1.6
00028,-0.5999999999999999
00029,-1.2
00030,1.4
00031,-0.19999999999999996
00032,-1.0
00033,3.2
00034,-0.4
00035,-2.2
00036,2.0
00037,-1.2000000000000002
00038,2.6
00039,0.0
00040,-1.8000000000000003
00041,2.0
00042,-1.6
00043,-2.0
00044,3.0
00045,-0.8
00046,1.8
00047,-1.0
00048,4.800000000000001
00049,-3.0
00050,3.8000000000000003
00051,0.4
00052,4.2
00053,0.20000000000000007
00054,-0.5999999999999999
00055,-0.8
00056,0.4
00057,-0.5999999999999999
00058,2.4
00059,0.8000000000000002
00060,2.8
00061,2.8
00062,-2.2
00063,3.8
00064,0.20000000000000007
00065,5.6
00066,-0.5999999999999999
00067,-1.4
00068,2.4
00069,1.2000000000000002
00070,3.6
00071,-3.2
00072,2.8
00073,1.2000000000000002
00074,-0.4
00075,-0.19999999999999996
00076,-1.2000000000000002
00077,0.8
00078,1.2000000000000002
00079,2.6
00080,-1.2000000000000002
00081,3.0
00082,0.4
00083,-1.6
00084,1.4
00085,1.8
00086,3.6
00087,1.6
00088,5.8
00089,1.0
00090,-0.3999999999999999
00091,2.8
00092,-4.0
00093,3.4000000000000004
00094,1.8
00095,1.0
00096,6.2
00097,-2.6
00098,5.0
00099,4.6
00100,-1.2000000000000002
00101,1.4
00102,1.2000000000000002
00103,-0.3999999999999999
00104,2.2
00105,0.20000000000000007
00106,2.2
00107,-2.0
00108,2.0
00109,2.0
00110,-2.0
00111,1.4
00112,3.0
00113,1.4
00114,0.2
00115,-0.8
00116,-2.6
00117,0.6000000000000001
00118,-0.5999999999999999
00119,0.20000000000000007
00120,1.6
00121,2.8
00122,0.4
00123,-1.0
00124,-1.4
00125,0.6000000000000001
00126,1.6
00127,-0.5999999999999999
00128,0.4
00129,1.6
00130,1.6
00131,-2.0
00132,3.0
00133,0.8
00134,-2.8
00135,1.4
00136,-1.6
00137,-1.2000000000000002
00138,4.4
00139,0.6000000000000001
00140,-1.0
00141,0.0
00143,1.6
00144,-1.0
00145,0.8
00146,2.8000000000000003
00147,0.6000000000000001
00148,1.0
00149,-0.5999999999999999
00150,1.8
00151,5.4
00152,-1.2000000000000002
00153,3.2
00154,4.800000000000001
00155,-0.5999999999999999
00156,3.8000000000000003
00157,-1.4
00158,-0.3999999999999999
00159,1.4
00160,4.4
00161,-2.6
00162,3.8000000000000003
00163,-2.6
00164,0.0
00165,0.6000000000000001
00166,-1.4
00167,3.4000000000000004
00168,0.6000000000000001
00169,2.6
00170,0.4
00171,1.4000000000000001
00172,0.8
00173,-1.2
00175,0.2
00176,-1.8000000000000003
00177,1.0
00178,-1.2000000000000002
00179,2.2
00180,3.2
00181,2.6
00182,2.6
00183,1.4000000000000001
00184,-3.2
00185,5.0
00186,1.2000000000000002
00187,-2.2
00188,0.8
00189,-2.6
00190,1.0
00191,0.20000000000000007
00192,0.6000000000000001
00193,1.2000000000000002
00194,-1.0
00195,2.2
00196,-0.3999999999999999
00197,2.0
00198,0.6000000000000001
00199,-3.6
00200,1.6
00201,3.2
00202,0.8
00203,3.4000000000000004
00204,1.0
00205,5.4
00206,-1.6
00207,-2.5999999999999996
00208,3.0
00209,1.2000000000000002
00210,0.8
00211,2.6
00212,0.6000000000000001
00213,0.0
00214,2.6
00215,1.0
00216,-1.0
00217,5.4
00218,0.20000000000000007
00219,3.2
00220,-1.2000000000000002
00221,2.0
00222,-1.0
00223,4.6
00224,1.8
00225,1.8
00226,1.8
00227,-0.4
00228,0.8000000000000002
00229,0.20000000000000007
00230,3.8000000000000003
00231,-1.0
00232,0.2
00233,-2.4000000000000004
00234,2.8
00235,1.6
00236,1.0
00237,-3.0
00238,1.6
00239,3.4000000000000004
00240,3.6
00241,1.0
00242,1.2000000000000002
00243,0.6000000000000001
00245,-1.0
00246,0.4
00247,-2.4
00248,-0.8
00249,1.6
00250,0.6000000000000001
00251,1.0
00252,2.8000000000000003
00253,-0.4
00254,-1.0
00255,3.6
00256,-1.4000000000000001
00257,-1.6
00258,3.8000000000000003
00259,2.4
00260,-2.5999999999999996
00261,1.6
00262,-1.2000000000000002
00263,2.0
00264,-2.2
00265,3.2
00266,-0.8
00267,-0.5999999999999999
00268,5.800000000000001
00269,-0.3999999999999999
00270,0.8
00271,1.4
00272,2.6
00273,1.8
00274,2.8
00275,-0.4
00276,4.800000000000001
00277,0.6000000000000001
00278,2.8
00279,-0.8
00280,0.8
00281,1.0
00282,0.6000000000000001
00283,1.0
00284,-0.19999999999999996
00285,-0.8
00286,0.6
00287,1.2000000000000002
00288,-0.8
00289,0.6000000000000001
00290,0.4
00291,2.2
00292,2.4
00293,-2.4
00294,1.8
00295,-0.8
00296,2.0
00297,-1.0
00298,1.2000000000000002
00299,-1.8
00300,1.8
00301,1.4000000000000001
00302,1.6
00303,2.4000000000000004
00304,3.2
00305,-2.0
00306,1.0
00307,1.8
00308,-3.8
00309,1.6
00310,0.0
00311,2.4
00312,-0.4
00313,4.0
00314,3.6
00315,-0.8
00316,4.6000000000000005
00317,-5.199999999999999
00318,2.4
00319,-0.19999999999999996
00320,2.2
00321,1.8
00322,0.8
00323,6.4
00324,-2.4
00325,3.2
00326,4.4
00327,0.8000000000000002
00328,-0.8
00329,1.6
00330,0.6000000000000001
00331,2.4
00332,-0.19999999999999996
00333,2.8
00334,7.0
00335,-1.6
00336,2.8
00337,-2.0
00338,2.4
00339,-3.4
00340,4.2
00341,2.4000000000000004
00342,2.2
00343,0.0
00344,4.0
00345,1.6
00346,-0.19999999999999996
00347,-1.2000000000000002
00348,2.0
00349,1.6
00350,1.8
00351,-0.8
00352,3.0
00353,0.0
00354,1.4000000000000001
00355,1.0
00356,1.8
00357,1.4000000000000001
00358,0.8
00359,0.4
00360,4.800000000000001
00361,2.6
00362,-1.0
00363,1.4
00364,-0.4
00365,2.6
00366,0.6000000000000001
00367,0.6000000000000001
00368,3.0
00369,0.6
00370,-0.19999999999999996
00371,-0.8
00372,0.4
00373,0.8
00374,0.0
00375,2.0
00376,1.4000000000000001
00377,-0.4
00378,-2.0
00379,3.6
00380,0.0
00381,-1.6
00382,0.6
00383,0.20000000000000007
00384,4.800000000000001
00385,1.2000000000000002
00386,-2.4
00387,1.8
00388,4.2
00389,-2.4000000000000004
00390,3.0
00391,4.800000000000001
00392,-0.3999999999999999
00393,1.8
00394,-1.0
00395,2.8
00396,-2.6
00397,0.6000000000000001
00398,0.2
00399,1.2000000000000002
00400,4.2
00401,0.8
00402,3.4000000000000004
00403,0.8
00404,-0.19999999999999996
00405,-1.2
00406,-0.19999999999999996
00407,3.2
00408,2.0
00409,-3.0
00410,2.8000000000000003
00411,-0.19999999999999996
00412,-1.8000000000000003
00413,1.2000000000000002
00414,0.0
00415,4.4
00416,2.8
00417,1.8
00418,1.6
00419,1.0
00420,4.6
00421,-0.5999999999999999
00422,0.8
00423,-0.19999999999999996
00424,1.0
00425,0.0
00426,1.0
00427,-0.19999999999999996
00428,2.2
00429,-3.0
00430,2.2
00431,1.2000000000000002
00432,0.20000000000000007
00433,1.4000000000000001
00434,-1.2
00435,2.2
00436,0.20000000000000007
00437,2.6
00438,0.6
00439,1.8
00440,-0.19999999999999996
00441,4.4
