고객번호,분기_count지수
00001,-0.8
00002,1.0
00003,-1.0
00004,5.2
00006,-3.6
00007,-1.2
00008,4.2
00009,1.4
00010,-1.8000000000000003
00011,3.6
00012,0.20000000000000007
00013,2.8
00014,-0.6
00015,2.8
00016,4.4
00017,0.20000000000000007
00018,2.6
00019,2.6
00020,-4.4
00021,1.2000000000000002
00022,4.6
00023,-1.6
00024,3.4000000000000004
00025,-1.8000000000000003
00026,-2.0
00027,-0.4
00028,-1.8000000000000003
00029,1.6
00030,3.2
00031,-0.4
00032,0.2
00033,1.6
00034,1.0
00035,-0.6
00036,4.0
00037,-4.0
00038,5.4
00039,-2.0
00040,-0.4
00041,-0.8
00042,1.2000000000000002
00043,0.20000000000000007
00044,1.0
00045,-1.4000000000000001
00046,1.2000000000000002
00047,1.8
00048,-1.6
00049,-3.4
00050,-0.8
00051,4.0
00052,4.0
00053,0.20000000000000007
00054,-4.0
00055,-0.4
00056,1.0
00057,1.2000000000000002
00058,-1.8
00059,1.2000000000000002
00060,2.0
00061,6.2
00062,-0.8
00063,0.8000000000000002
00064,-3.0
00065,6.2
00066,2.0
00067,-0.6
00068,3.0
00069,5.0
00070,6.800000000000001
00071,1.0
00072,3.6
00073,-1.4000000000000001
00074,1.6
00075,0.8
00076,2.4
00077,-2.6
00078,4.0
00079,2.2
00080,2.4
00081,-1.6
00082,5.8
00083,-2.4
00084,3.4000000000000004
00085,1.2000000000000002
00086,6.6000000000000005
00087,2.2
00088,2.2
00089,3.0
00090,-1.6
00091,1.4000000000000001
00092,0.4
00093,5.800000000000001
00094,2.0
00095,-4.6
00096,7.8
00097,-3.0
00098,6.4
00099,3.6
00100,-1.6
00101,3.4000000000000004
00102,-0.19999999999999996
00103,1.8
00104,3.6
00105,-1.0
00106,0.4
00107,0.2
00108,1.6
00109,-1.2
00110,2.2
00111,1.6
00112,2.8
00113,5.0
00114,1.0
00115,-0.5999999999999999
00116,-4.4
00117,2.4
00118,1.8
00119,1.4000000000000001
00120,2.0
00121,5.2
00122,3.4000000000000004
00123,0.6000000000000001
00124,-3.0
00125,4.0
00126,1.4000000000000001
00127,1.8
00128,-0.6
00129,1.6
00130,-3.4
00131,-0.6
00132,-0.3999999999999999
00133,2.6
00134,-0.6
00135,-1.8000000000000003
00136,1.4
00137,-3.6000000000000005
00138,2.0
00139,1.6
00140,-0.3999999999999999
00141,-1.2000000000000002
00143,4.0
00144,6.4
00145,-4.4
00146,7.2
00147,3.8
00148,2.4
00149,-3.4
00150,0.4
00151,7.0
00152,-1.8000000000000003
00153,4.2
00154,1.2000000000000002
00155,-1.4000000000000001
00156,6.800000000000001
00157,-1.0
00158,-0.4
00159,1.0
00160,1.6
00161,-0.19999999999999996
00162,5.2
00163,0.0
00164,2.8
00165,-0.8
00166,-2.8
00167,5.4
00168,3.6
00169,3.8000000000000003
00170,-1.4000000000000001
00171,-2.4
00172,0.8
00173,3.8000000000000003
00175,-1.6
00176,0.0
00177,4.2
00178,1.0
00179,0.0
00180,-1.6
00181,5.0
00182,3.6
00183,-4.0
00184,1.6
00185,4.2
00186,3.4000000000000004
00187,0.8000000000000002
00188,1.2000000000000002
00189,2.4000000000000004
00190,2.0
00191,3.8000000000000003
00192,0.8000000000000002
00193,0.8
00194,3.6
00195,0.0
00196,3.0
00197,1.2000000000000002
00198,1.0
00199,-3.6
00200,4.4
00201,1.6
00202,-1.2
00203,0.4
00204,6.0
00205,4.4
00206,1.6
00207,2.0
00208,2.0
00209,-1.4
00210,1.6
00211,-1.4000000000000001
00212,-0.19999999999999996
00213,2.0
00214,6.2
00215,1.4
00216,-1.2000000000000002
00217,2.0
00218,2.0
00219,-1.2
00220,1.0
00221,-1.6
00222,-0.5999999999999999
00223,4.4
00224,-0.3999999999999999
00225,0.20000000000000007
00226,4.4
00227,0.6
00228,-4.199999999999999
00229,1.8
00230,0.19999999999999996
00231,3.0
00232,-2.0
00233,-2.4
00234,7.2
00235,5.8
00236,-3.0
00237,1.2000000000000002
00238,-1.0
00239,3.6
00240,-2.0
00241,0.8
00242,2.6
00243,0.8
00245,-1.2
00246,-2.5999999999999996
00247,-1.4000000000000001
00248,1.6
00249,2.0
00250,1.0
00251,3.6
00252,6.4
00253,0.4
00254,-2.0
00255,1.4
00256,-2.2
00257,1.2000000000000002
00258,5.4
00259,-1.0
00260,-1.4000000000000001
00261,4.4
00262,2.2
00263,5.2
00264,2.0
00265,-1.6
00266,-1.2
00267,1.0
00268,4.2
00269,2.0
00270,2.0
00271,2.8
00272,-1.0
00273,4.2
00274,0.4
00275,2.4000000000000004
00276,5.8
00277,0.2
00278,0.4
00279,-0.5999999999999999
00280,4.2
00281,0.6
00282,-1.8000000000000003
00283,6.0
00284,-4.0
00285,3.0
00286,-3.0
00287,1.6
00288,0.0
00289,5.8
00290,1.4000000000000001
00291,2.0
00292,2.6
00293,-1.6
00294,3.0
00295,-0.5999999999999999
00296,0.6000000000000001
00297,-1.8000000000000003
00298,-2.8
00299,1.0
00300,0.6
00301,3.4000000000000004
00302,0.20000000000000007
00303,1.0
00304,0.4
00305,-2.8
00306,0.8
00307,1.2000000000000002
00308,-0.19999999999999996
00309,0.6
00310,1.4000000000000001
00311,-2.6
00312,-1.4000000000000001
00313,5.4
00314,2.2
00315,5.8
00316,-4.0
00317,-4.2
00318,1.8
00319,2.8
00320,0.8
00321,-1.4000000000000001
00322,1.6
00323,5.2
00324,2.2
00325,5.0
00326,5.2
00327,2.0000000000000004
00328,-4.2
00329,-1.0
00330,3.4000000000000004
00331,6.4
00332,0.4
00333,3.2
00334,2.0
00335,-0.5999999999999999
00336,3.2
00337,-0.4
00338,0.0
00339,1.2000000000000002
00340,5.6
00341,5.6
00342,-2.8
00343,0.8
00344,2.8
00345,4.2
00346,-2.0
00347,2.2
00348,2.6
00349,2.6
00350,3.0
00351,3.6
00352,3.0
00353,0.0
00354,0.20000000000000007
00355,-1.0
00356,2.6
00357,-3.0
00358,1.0
00359,-2.6
00360,4.800000000000001
00361,4.0
00362,-3.0
00363,1.6
00364,-0.19999999999999996
00365,-4.0
00366,3.8000000000000003
00367,-3.2
