고객번호,A_sum지수,B_sum지수,C_sum지수,D_sum지수
00001,-0.8,2.0,6.4,0.0
00002,-0.6,2.0,0.0,8.0
00003,1.0,0.8,0.2,0.0
00004,0.2,7.2,1.2000000000000002,0.0
00006,1.2000000000000002,1.0,-3.6000000000000005,0.0
00007,0.2,1.2000000000000002,0.0,0.0
00008,0.2,3.2,0.0,0.0
00009,0.0,0.8,0.0,0.0
00010,0.6000000000000001,3.8000000000000003,0.0,7.0
00011,0.2,-4.800000000000001,-0.8,0.0
00012,0.4,1.2000000000000002,0.0,6.4
00013,0.0,2.0,5.2,0.0
00014,0.0,0.0,0.2,0.0
00015,0.2,1.0,-0.4,0.0
00016,0.4,6.2,0.0,0.0
00017,0.2,2.6,6.0,0.0
00018,-1.4,3.0,5.2,0.0
00019,0.0,0.8,0.8,0.0
00020,0.2,5.0,5.0,0.0
00021,6.2,1.0,0.8,0.0
00022,-0.8,0.0,0.0,0.0
00023,0.2,-2.8,-1.6,0.0
00024,6.4,1.0,0.0,0.0
00025,1.4,7.0,1.0,0.0
00026,-0.8,8.0,-4.0,1.4000000000000001
00027,-0.6,2.0,3.8000000000000003,0.0
00028,2.2,1.0,0.8,0.0
00029,-0.6,2.0,1.0,0.0
00030,1.2000000000000002,1.0,0.0,0.0
00031,-0.6,0.8,0.8,0.0
00032,0.2,2.0,0.0,0.0
00033,1.0,0.2,0.2,0.0
00034,0.0,5.0,-2.8,0.0
00035,0.2,1.2000000000000002,0.0,1.4000000000000001
00036,0.2,-3.8,2.0,0.0
00037,0.2,1.0,0.0,0.0
00038,0.0,1.2000000000000002,0.2,0.0
00039,-0.6,0.0,6.0,0.0
00040,0.2,0.2,-1.6,0.0
00041,0.0,1.2000000000000002,6.2,0.0
00042,0.20000000000000007,2.0,3.8000000000000003,0.0
00043,-3.6000000000000005,1.0,-3.0,0.0
00044,0.2,2.0,0.2,0.0
00045,0.2,1.2000000000000002,0.0,0.0
00046,-0.6,-3.0,1.0,0.0
00047,0.2,1.0,-1.6,0.0
00048,0.4,4.0,0.2,0.0
00049,-0.6,-2.4,0.0,0.0
00050,0.0,2.0,1.2000000000000002,0.0
00051,0.0,-0.6,0.0,7.2
00052,0.0,0.8,1.2000000000000002,0.0
00053,0.2,0.0,0.0,0.0
00054,-0.8,1.0,-4.0,1.2000000000000002
00055,0.0,-2.8,-0.8,0.0
00056,0.2,1.0,6.2,0.0
00057,1.0,1.4000000000000001,-0.8,0.0
00058,0.0,-3.2,0.0,0.0
00059,0.0,-3.6,-4.0,0.0
00060,1.2000000000000002,2.0,4.2,0.0
00061,-0.8,1.0,0.2,0.0
00062,1.2000000000000002,0.2,1.0,0.0
00063,0.0,5.0,0.0,0.0
00064,5.0,1.2000000000000002,0.0,0.0
00065,0.2,1.2000000000000002,1.0,0.0
00066,-0.8,2.0,1.8,0.0
00067,6.4,2.0,1.0,0.0
00068,-1.2,1.0,-4.0,0.0
00069,4.0,1.0,0.0,0.0
00070,0.2,0.8,-2.8,0.0
00071,-4.0,1.0,-1.0,0.0
00072,0.20000000000000007,1.0,4.0,0.0
00073,0.0,-4.6000000000000005,-4.0,0.0
00074,0.2,2.0,3.0,0.0
00075,0.0,-3.2,-0.8,0.0
00076,1.2000000000000002,0.2,0.4,0.0
00077,0.0,3.0,0.0,0.0
00078,0.4,1.4,6.2,0.0
00079,0.0,1.2000000000000002,-4.0,0.0
00080,1.0,1.2000000000000002,-0.8,0.0
00081,0.4,0.2,5.0,0.0
00082,0.2,1.0,4.4,0.0
