고객번호,가공식품_방문지수,신선식품_방문지수,일상용품_방문지수,의약품/의료기기_방문지수,교육/문화용품_방문지수,외식_방문지수,기타_방문지수,디지털/가전_방문지수,가구/인테리어_방문지수,의류_방문지수,전문스포츠/레저_방문지수,패션잡화_방문지수,유아동_방문지수,명품_방문지수
00001,4.4,3.4,7.6,1.8,0.0,3.6,0.0,11.0,11.600000000000001,3.6,0.0,10.8,2.6,1.8
00002,2.6,0.8,1.8,3.6,0.0,2.8000000000000003,0.0,10.8,11.600000000000001,9.0,0.0,5.4,11.8,7.2
00003,1.8,3.6,4.6,0.0,0.0,0.0,0.0,1.8,0.0,1.8,0.0,0.0,0.0,0.0
00004,3.6,2.6,1.8,3.6,0.0,8.2,0.0,0.0,5.6000000000000005,7.4,1.0,5.4,3.6,0.0
00006,4.6,5.4,3.6,0.0,1.0,4.2,0.0,0.0,11.0,7.4,1.8,10.200000000000001,0.8,5.6000000000000005
00007,1.8,0.8,5.6000000000000005,6.3999999999999995,6.3999999999999995,3.6,0.0,4.6,8.2,2.6,3.6,3.4,5.4,9.2
00008,2.8000000000000003,0.0,1.0,0.0,1.8,4.4,0.0,4.4,1.8,6.3999999999999995,0.0,7.4,5.4,3.6
00009,4.6,3.0,5.800000000000001,0.0,0.0,9.2,0.0,10.0,4.6,5.4,3.6,6.3999999999999995,0.0,8.2
00010,1.8,0.8,1.8,4.6,0.8,5.4,0.0,0.0,5.4,9.0,1.0,7.2,0.0,3.6
00011,2.6,5.2,2.6,0.8,5.4,5.4,4.4,3.4,5.0,16.6,1.8,8.8,7.0,4.4
00012,3.6,3.6,4.6,0.0,0.0,5.4,0.0,0.0,0.8,8.2,0.0,4.4,0.0,0.0
00013,2.8000000000000003,1.8,4.4,1.8,9.0,6.3999999999999995,2.6,0.0,4.8,6.2,0.8,6.2,2.8000000000000003,0.0
00014,1.8,1.8,5.2,2.6,0.0,5.6000000000000005,3.6,4.4,6.8,6.2,1.8,6.3999999999999995,1.6,2.8000000000000003
00015,1.8,0.8,2.8000000000000003,3.6,1.8,6.2,0.0,0.0,5.6000000000000005,12.0,3.4,7.2,0.0,0.0
00016,1.0,3.6,8.2,0.0,1.8,5.6000000000000005,0.0,1.8,0.0,9.0,0.0,10.200000000000001,3.6,1.8
00017,5.4,8.2,6.3999999999999995,3.6,0.0,8.2,0.0,3.8000000000000003,4.4,5.4,0.0,6.3999999999999995,0.0,10.0
00018,4.4,3.6,3.4,0.0,0.0,4.4,0.0,1.6,1.8,10.4,3.6,6.8,3.6,3.6
00019,2.6,6.2,2.8000000000000003,0.0,0.0,4.4,0.0,3.0,0.0,9.2,2.8000000000000003,3.4,0.0,5.4
00020,2.6,2.6,2.6,0.0,0.0,4.4,0.0,0.0,1.8,7.4,3.6,7.0,1.8,0.0
00021,1.8,2.0,2.8000000000000003,0.0,8.0,0.0,0.0,0.8,9.2,7.4,8.2,3.4,9.8,0.0
00022,0.8,3.4,5.4,0.0,0.0,9.8,0.0,3.6,0.0,3.6,0.0,5.4,0.0,9.6
00023,3.4,5.8,5.4,0.0,3.6,7.0,0.0,1.8,2.8000000000000003,6.3999999999999995,5.800000000000001,5.6000000000000005,1.8,10.0
00024,0.8,3.6,2.8000000000000003,0.0,0.0,3.6,0.0,0.0,5.6000000000000005,13.0,4.6,7.4,4.6,5.4
00025,5.4,1.8,6.2,0.8,0.0,4.6,0.0,0.0,0.0,11.8,0.0,9.0,0.0,11.600000000000001
00026,3.6,5.4,6.2,1.8,7.0,3.6,0.0,7.6000000000000005,8.2,1.6,3.6,9.0,2.6,6.8
00027,1.8,2.8000000000000003,12.000000000000002,0.0,0.0,4.4,0.0,0.0,1.8,4.6,0.0,8.4,5.4,7.8
00028,3.6,3.6,6.3999999999999995,0.0,1.8,3.6,0.0,0.0,0.0,6.0,0.0,4.4,0.0,0.0
00029,2.8000000000000003,2.8000000000000003,5.4,2.8000000000000003,0.0,3.6,0.0,3.6,4.2,5.4,0.0,5.4,9.8,12.6
00030,2.8000000000000003,1.0,1.8,0.0,2.6,6.3999999999999995,0.0,2.8000000000000003,7.2,2.6,0.0,6.3999999999999995,0.0,12.6
00031,1.0,1.8,3.6,0.0,0.0,4.6,0.0,1.8,3.6,7.4,0.0,11.8,1.8,0.0
00032,0.0,1.0,5.4,1.8,0.8,3.8000000000000003,0.0,0.0,0.0,5.4,1.8,10.200000000000001,2.6,0.0
00033,1.8,1.0,4.4,4.6,0.0,2.6,0.0,0.0,6.2,5.4,0.8,9.8,1.0,0.0
00034,4.4,4.4,2.6,0.0,0.0,5.2,0.0,0.0,11.200000000000001,8.2,0.0,6.0,0.0,0.0
00035,2.8000000000000003,1.8,6.2,0.0,0.0,4.6,0.0,1.8,4.6,1.0,5.4,6.3999999999999995,0.0,7.2
00036,4.6,2.8000000000000003,6.3999999999999995,1.8,0.0,5.6000000000000005,0.0,8.0,6.0,9.4,0.0,8.2,10.8,0.0
00037,3.8000000000000003,5.4,3.0,0.0,0.0,9.2,0.0,1.0,0.0,7.2,0.0,9.2,3.6,3.6
00038,1.0,1.0,2.6,1.8,10.200000000000001,4.6,0.0,4.0,11.0,9.8,5.2,8.4,6.3999999999999995,0.0
00039,3.6,2.8000000000000003,7.4,0.0,0.0,8.4,0.0,0.0,0.8,4.2,0.0,4.6,1.8,3.6
00040,3.6,3.4,2.6,0.0,0.0,6.6,0.0,12.200000000000001,3.6,4.6,7.0,11.0,7.2,5.4
00041,2.0,1.0,5.6000000000000005,3.6,0.0,5.4,0.8,1.8,1.8,10.600000000000001,0.0,9.8,0.0,5.4
00042,1.0,2.0,4.6,10.8,9.2,7.2,0.0,0.0,7.2,9.0,3.6,7.0,0.8,0.0
00043,1.8,2.8000000000000003,0.8,4.2,1.8,5.4,0.0,0.0,0.0,8.0,1.8,1.8,0.0,0.0
00044,4.6,4.6,7.2,0.0,0.0,5.4,0.0,7.2,7.2,8.2,0.0,9.8,0.0,13.4
00045,1.8,7.2,2.8000000000000003,0.0,3.6,4.6,0.0,0.0,0.8,11.600000000000001,1.8,7.8,1.8,10.200000000000001
00046,3.8000000000000003,2.6,5.4,0.0,0.0,7.4,0.0,7.2,8.0,10.0,2.0,2.0,0.0,13.4
00047,3.4,2.6,6.0,3.4,9.4,5.4,3.6,2.8000000000000003,3.6,3.6,7.0,8.8,4.800000000000001,1.8
00048,1.8,1.8,2.8000000000000003,0.0,2.0,3.6,6.2,6.2,5.800000000000001,4.4,0.8,5.4,3.6,10.200000000000001
00049,4.6,2.6,6.2,0.0,0.0,3.6,0.0,9.2,5.6000000000000005,4.4,0.0,9.0,5.4,8.8
00050,1.8,1.0,2.6,0.0,9.0,3.6,4.6,0.0,10.600000000000001,4.6,5.4,7.8,5.4,4.2
00051,0.8,4.4,3.4,2.6,2.6,8.0,1.8,3.6,11.4,12.4,0.0,2.6,7.8,0.0
00052,2.6,3.6,3.6,0.0,7.2,5.6000000000000005,0.0,5.4,5.4,6.0,0.0,9.0,6.3999999999999995,9.2
00053,4.6,2.6,8.2,0.0,0.0,2.8000000000000003,0.0,2.8000000000000003,0.0,4.4,1.8,11.4,0.0,12.6
00054,2.0,1.8,6.0,0.0,0.0,3.6,0.0,0.0,0.0,6.2,0.0,11.200000000000001,0.0,0.0
00055,0.0,3.6,4.4,0.0,0.0,1.0,0.0,0.0,3.6,5.2,2.6,1.8,0.0,0.0
00056,3.6,2.8000000000000003,10.600000000000001,1.8,3.6,6.3999999999999995,0.0,1.8,7.2,9.8,0.0,8.8,13.2,15.6
00057,1.8,3.6,6.3999999999999995,0.0,2.8000000000000003,0.0,0.0,0.0,1.8,9.0,1.8,3.6,0.0,1.8
00058,2.6,1.8,7.4,0.0,3.8000000000000003,4.4,0.0,2.6,3.6,4.4,3.6,5.4,5.4,9.8
00059,3.6,4.4,1.8,0.0,0.0,2.6,0.0,1.8,0.0,1.0,0.0,6.0,0.0,5.4
00060,2.8000000000000003,1.0,5.6000000000000005,7.4,7.2,2.8000000000000003,3.0,7.4,7.0,7.2,9.0,12.6,6.3999999999999995,0.0
00061,1.8,1.8,6.2,0.0,3.6,8.8,0.0,1.8,7.0,4.2,5.4,9.8,3.6,5.6000000000000005
00062,3.6,5.4,6.2,0.0,1.6,5.4,0.0,1.8,5.4,7.2,5.6000000000000005,11.0,6.3999999999999995,1.0
00063,3.6,1.8,5.4,0.0,0.0,6.3999999999999995,0.0,0.0,0.0,7.4,1.8,3.8000000000000003,0.0,0.0
00064,5.8,2.4000000000000004,5.2,0.0,4.4,3.6,0.0,0.0,6.3999999999999995,2.6,0.0,0.0,0.0,0.0
00065,2.6,4.4,4.6,0.0,3.0,12.6,1.0,9.6,7.2,9.0,3.6,5.2,1.8,5.4
00066,0.0,1.8,0.8,0.0,0.8,4.6,0.0,3.4,3.6,3.6,3.8000000000000003,4.4,4.4,0.0
00067,2.8000000000000003,1.0,1.8,1.8,0.0,0.0,0.0,0.0,3.6,5.4,1.8,5.4,0.0,0.0
00068,2.8000000000000003,2.8000000000000003,2.6,0.0,4.6,8.2,3.8000000000000003,8.2,1.8,11.600000000000001,0.0,2.6,15.600000000000001,9.200000000000001
00069,1.0,0.0,0.0,1.8,7.2,0.0,0.0,0.0,0.0,5.4,1.0,1.8,2.4000000000000004,0.0
00070,6.8,4.0,6.3999999999999995,0.8,0.0,12.4,0.0,0.0,0.0,4.4,1.8,3.6,1.8,5.4
00071,0.0,2.6,6.3999999999999995,0.0,3.6,11.600000000000001,0.0,0.0,1.8,2.8000000000000003,0.0,0.0,0.0,0.0
00072,3.8000000000000003,1.0,3.8000000000000003,3.4,7.8,4.4,1.0,0.0,1.8,10.8,5.4,13.4,3.8000000000000003,0.0
00073,5.2,4.4,5.2,0.8,3.4,9.2,0.0,16.4,7.8,5.2,0.0,6.3999999999999995,3.6,5.6000000000000005
00074,1.8,4.6,7.0,1.8,0.0,7.2,0.0,1.8,7.0,4.2,0.0,7.8,1.8,9.6
00075,1.0,5.2,2.6,0.0,0.0,2.6,0.0,0.0,0.0,2.6,0.0,10.0,0.0,0.0
00076,1.8,4.4,6.2,0.0,5.4,5.800000000000001,0.0,5.4,14.4,8.4,0.0,13.2,3.6,3.6
00077,1.0,1.8,10.0,0.0,8.6,3.6,0.0,0.0,0.0,5.6000000000000005,3.6,8.0,5.4,11.0
00078,4.4,1.8,5.4,0.8,0.0,4.6,0.0,7.4,5.4,4.6,3.6,1.8,0.0,9.2
00079,2.8000000000000003,3.6,1.8,0.0,5.0,2.0,1.8,0.0,1.8,5.4,6.3999999999999995,9.0,5.4,0.0
00080,0.8,1.8,5.4,0.0,0.0,2.8000000000000003,0.0,1.8,0.8,7.2,1.8,4.6,1.8,0.0
00081,4.8,1.8,4.6,0.0,0.0,6.3999999999999995,7.8,6.3999999999999995,5.0,7.0,2.8000000000000003,2.8000000000000003,6.0,7.2
00082,2.6,2.8000000000000003,3.6,3.0,3.6,4.4,1.8,1.0,10.0,7.2,1.0,5.4,6.3999999999999995,12.799999999999999
00083,5.6000000000000005,1.8,6.3999999999999995,0.0,0.0,2.0,0.0,7.4,3.6,6.6,3.6,10.200000000000001,0.0,3.6
00084,6.2,7.0,6.0,0.0,1.8,8.8,0.0,12.2,5.2,6.0,2.6,9.2,2.8000000000000003,5.4
00085,1.0,3.8000000000000003,4.6,0.0,0.0,7.4,0.0,1.0,0.0,3.6,1.0,8.0,0.0,0.0
00086,2.8000000000000003,1.8,1.8,5.4,6.2,5.6000000000000005,0.0,3.0,6.3999999999999995,9.4,5.4,5.800000000000001,6.3999999999999995,1.8
00087,4.4,5.4,4.6,0.0,0.0,7.2,2.6,10.4,3.6,11.200000000000001,0.0,3.6,9.8,3.0
00088,2.6,1.8,2.8000000000000003,0.0,1.8,6.6,0.0,6.6,5.4,4.6,10.0,5.4,2.0,0.8
00089,4.6,1.0,3.6,1.8,5.6000000000000005,6.3999999999999995,0.0,2.8000000000000003,10.8,6.2,1.8,8.2,6.3999999999999995,0.0
00090,2.6,4.8,7.2,0.0,0.0,4.6,0.0,11.8,9.0,8.2,1.8,11.600000000000001,7.2,0.0
00091,1.8,0.0,4.4,0.0,5.4,5.4,0.0,0.0,1.8,2.8000000000000003,0.0,4.8,1.8,0.0
00092,1.8,1.8,3.6,1.0,10.4,5.4,7.4,7.2,14.6,2.8000000000000003,6.3999999999999995,3.6,5.4,1.8
00093,8.2,11.8,8.2,0.0,0.0,10.0,0.0,0.0,0.0,7.2,0.0,10.600000000000001,2.6,19.8
00094,4.8,8.4,6.6,0.0,2.8000000000000003,8.6,0.0,3.6,2.6,7.800000000000001,0.0,8.6,3.6,13.2
00095,1.8,3.4,7.4,0.0,9.8,5.4,0.0,0.0,4.6,8.2,0.0,5.2,1.0,3.6
00096,3.6,1.8,5.4,0.0,0.0,5.6000000000000005,0.0,1.8,0.0,14.4,3.8000000000000003,7.0,0.0,3.6
00097,1.8,3.6,4.4,1.8,7.2,7.2,0.0,0.8,9.0,7.2,8.6,4.4,5.4,11.4
00098,0.0,4.4,5.2,0.0,5.4,10.0,0.0,0.8,3.6,3.6,1.8,4.2,1.0,7.2
00099,3.6,3.6,6.3999999999999995,0.0,5.4,3.6,2.8000000000000003,5.4,16.2,5.4,3.6,9.8,2.8000000000000003,5.4
00100,3.6,1.8,4.4,0.0,0.0,3.8000000000000003,0.0,6.3999999999999995,7.2,10.0,0.0,7.2,6.2,5.4
00101,3.6,4.6,5.0,0.0,0.0,7.2,0.0,0.0,0.0,3.6,0.0,6.0,0.0,0.0
00102,3.6,2.6,2.6,1.8,0.0,7.2,0.0,7.2,2.6,6.3999999999999995,1.8,6.0,0.0,11.4
