고객번호,의류_중_방문지수
00001,4.800000000000001
00002,-0.19999999999999996
00004,1.8
00006,-0.6000000000000001
00007,0.19999999999999996
00008,1.4000000000000001
00009,0.6000000000000001
00010,1.6
00011,3.2
00013,0.8
00014,-1.0000000000000002
00015,1.8
00016,0.0
00018,0.4
00019,1.0
00020,0.8
00023,1.4000000000000001
00024,0.4
00026,-2.0
00027,0.8
00029,3.8000000000000007
00030,1.8
00031,0.4
00034,-0.6000000000000001
00035,0.8
00036,0.4
00038,0.4
00040,4.4
00041,0.8
00044,1.8
00045,3.8000000000000007
00046,0.0
00047,2.2
00049,0.0
00050,2.4000000000000004
00051,-1.2000000000000002
00052,-0.3999999999999999
00053,0.4
00054,0.4
00056,-0.3999999999999999
00057,0.4
00058,0.8
00059,0.0
00060,1.4000000000000001
00061,-0.6000000000000001
00062,2.4000000000000004
00065,1.2000000000000002
00066,-1.4000000000000004
00068,0.4
00070,0.4
00073,-2.8000000000000007
00074,-0.3999999999999999
00076,3.6
00078,2.8000000000000003
00081,3.8000000000000007
00082,1.0
00083,1.2000000000000002
00084,1.4000000000000001
00085,0.0
00086,1.8
00087,3.4000000000000004
00089,-0.6000000000000003
00090,0.4
00092,2.4000000000000004
00093,-0.8
00094,2.4000000000000004
00095,0.4
00096,0.0
00097,1.0
00098,0.8
00099,4.2
00100,4.0
00102,2.0
00103,-0.8
00105,1.2000000000000002
00106,5.2
00107,1.8
00108,0.4
00110,1.2000000000000002
00112,3.8000000000000007
00113,1.8
00114,2.4000000000000004
00115,0.4
00118,-1.2000000000000002
00119,1.2000000000000002
00120,-1.0000000000000002
00121,1.0
00122,2.8000000000000003
00124,4.6000000000000005
00125,0.4
00126,1.0
00127,0.4
00130,2.8000000000000003
00131,4.2
00132,0.4
00133,0.8
00134,1.2000000000000002
00136,4.0
00137,0.4
00138,4.6000000000000005
00139,0.4
00145,0.8
00146,2.4000000000000004
00147,1.4000000000000001
00148,0.4
00150,0.0
00151,4.0
00152,1.2000000000000002
00153,2.0
00154,0.4
00155,5.6000000000000005
00156,0.19999999999999996
00157,3.2
00158,0.0
00159,-0.3999999999999999
00160,0.4
00161,3.8
00162,1.6
00163,0.0
00164,1.2000000000000002
00165,1.8
00166,0.8
00167,0.4
00168,2.8000000000000003
00171,2.4000000000000004
00172,1.4000000000000001
00177,0.0
00178,-0.3999999999999999
00179,3.8000000000000007
00180,2.0
00181,0.0
00182,0.8
00184,1.2000000000000002
00186,2.0
00188,0.0
00189,1.8
00190,1.4000000000000001
00191,1.6
00192,0.4
00194,2.4000000000000004
00196,1.8
00197,0.19999999999999996
00198,3.6
00199,1.6
00200,1.0
00201,2.0
00202,2.2
00204,2.4000000000000004
00205,1.0
00206,1.8
00208,2.0
00209,0.19999999999999996
00210,1.0
00212,-0.3999999999999999
00214,1.0
00215,0.8
00216,0.8
00217,0.8
00218,4.0
00219,1.0
00221,0.4
00222,-0.3999999999999999
00223,-0.3999999999999999
00224,2.4000000000000004
00225,1.2000000000000002
00226,3.4000000000000004
00228,0.0
00229,0.8
00230,0.6000000000000001
00231,0.8
00232,1.2000000000000002
00233,-0.8
00236,0.0
00237,0.0
00239,1.6
00240,1.4000000000000001
00241,3.8000000000000007
00242,0.4
