고객번호,패션잡화_상_구매지수
00001,6.800000000000001
00002,-1.2000000000000006
00004,-3.6000000000000005
00006,2.4000000000000004
00007,-3.8000000000000007
00008,6.000000000000001
00009,7.000000000000001
00010,6.000000000000001
00011,4.0
00013,2.4000000000000004
00014,2.4000000000000004
00015,5.2
00016,2.0
00017,0.4
00018,-2.4000000000000004
00019,2.4000000000000004
00020,6.000000000000001
00021,7.0
00022,10.8
00023,0.4
00024,2.4000000000000004
00025,8.8
00026,8.8
00027,2.4000000000000004
00028,2.4000000000000004
00029,0.4
00030,3.4000000000000004
00031,-3.6000000000000005
00032,2.0
00033,5.0
00034,2.8000000000000003
00035,-3.4000000000000004
00036,7.800000000000001
00037,2.8000000000000003
00038,8.0
00039,0.0
00040,-0.5999999999999996
00042,2.0
00044,0.8000000000000003
00045,-3.8000000000000007
00046,2.8000000000000003
00047,-1.2000000000000006
00048,-3.2000000000000006
00049,2.4000000000000004
00050,8.4
00051,8.4
00053,5.000000000000001
00054,1.0
00055,0.0
00056,3.4000000000000004
00058,2.0
00059,3.8000000000000007
00061,-3.6000000000000005
00062,2.4000000000000004
00063,6.000000000000001
00065,2.8000000000000003
00067,2.0
00068,-0.19999999999999996
00070,2.8000000000000003
00072,2.4000000000000004
00073,-0.6000000000000001
00074,1.8
00076,2.4000000000000004
00077,3.2000000000000006
00078,7.000000000000001
00080,0.0
00081,10.200000000000001
00082,-4.2
00083,-3.2000000000000006
00084,0.19999999999999996
00085,6.000000000000001
00086,2.8000000000000003
00087,-1.6000000000000005
00088,2.8000000000000003
00090,5.2
00091,0.0
00092,8.4
00093,1.8
00094,2.8000000000000003
00095,-0.7999999999999998
00096,2.4000000000000004
00097,4.6000000000000005
00098,-1.2000000000000006
00099,0.4
00100,7.4
00102,0.8
00105,4.800000000000001
00106,2.4000000000000004
00107,4.800000000000001
00108,4.4
00110,8.4
00112,3.4000000000000004
00113,2.8000000000000003
00114,5.2
00115,11.200000000000001
00116,-3.6000000000000005
00118,-3.4000000000000004
00119,5.6000000000000005
00120,0.8
00121,6.000000000000001
00122,2.4000000000000004
00124,2.8000000000000003
00126,6.000000000000001
00127,2.0
00130,2.8000000000000003
00131,2.4000000000000004
00132,6.000000000000001
00133,7.0
00134,0.4
00135,2.4000000000000004
00136,8.4
00137,-1.8000000000000003
00138,2.4000000000000004
00139,4.800000000000001
00140,-0.5999999999999996
00143,5.0
00144,2.4000000000000004
00145,8.4
00146,-1.8000000000000003
00147,9.200000000000001
00149,5.2
00150,-0.19999999999999973
00151,-1.4000000000000004
00152,10.8
00153,2.0
00155,2.8000000000000003
00156,4.800000000000001
00157,2.0
00159,-3.6000000000000005
00160,5.8
00161,2.2
00162,7.800000000000001
00163,2.0
00164,2.8000000000000003
00165,3.2
00166,-2.2
00167,-1.4000000000000004
00168,8.8
00169,6.000000000000001
00171,10.8
00175,9.8
00176,5.0
00177,1.8
00178,-1.8000000000000003
00179,2.4000000000000004
00181,3.4000000000000004
00182,8.8
00184,8.4
00185,2.4000000000000004
00186,-4.2
00187,2.2
00188,0.0
00189,-3.6000000000000005
00190,9.0
00191,6.4
00192,8.8
00194,8.4
00196,7.4
00197,7.4
00198,0.0
00200,-2.5999999999999996
00201,-2.8000000000000007
00202,6.4
00204,2.8000000000000003
00205,8.4
00208,-0.6000000000000001
00209,9.200000000000001
00211,0.0
00212,9.4
00213,6.000000000000001
00214,-3.6000000000000005
00215,8.0
00216,2.4000000000000004
00218,-0.6000000000000001
00219,-0.6000000000000001
00220,0.0
00221,2.4000000000000004
00222,-0.19999999999999996
