고객번호,일상용품_중_구매지수
00001,2.0
00002,6.000000000000001
00003,2.0
00004,8.0
00006,4.2
00007,8.0
00008,2.0
00010,7.0
00012,-3.0
00013,3.0
00014,-1.0
00015,1.4000000000000004
00017,4.4
00018,1.6
00019,5.0
00020,2.0
00021,4.4
00023,2.4000000000000004
00024,2.0
00025,4.0
00026,2.0
00028,-0.5999999999999996
00029,4.0
00030,2.0
00032,3.4000000000000004
00033,3.0
00035,2.8000000000000003
00036,-1.0
00038,0.20000000000000018
00039,2.4000000000000004
00040,2.8000000000000003
00041,3.6
00042,1.4000000000000001
00043,2.8000000000000003
00045,7.0
00047,-1.2000000000000006
00048,2.4000000000000004
00049,2.0
00050,-0.5999999999999996
00051,2.0
00055,1.0
00057,5.8
00060,4.0
00061,5.0
00062,2.0
00064,4.0
00065,2.0
00066,-0.7999999999999998
00067,0.19999999999999996
00068,1.6
00069,-0.3999999999999999
00071,-1.0
00072,5.4
00073,-2.4000000000000004
00074,-1.4
00075,2.0
00076,3.8
00077,7.4
00078,6.0
00079,-0.5999999999999996
00080,2.0
00081,2.4000000000000004
00082,3.4000000000000004
00083,1.6
00084,0.7999999999999998
00085,6.0
00086,4.0
00088,-1.6000000000000005
00089,5.4
00090,2.0
00091,-3.0
00092,4.4
00094,2.0
00095,7.0
00097,2.0
00098,-1.4
00099,4.0
00100,4.0
00101,2.0
00102,2.8000000000000003
00103,0.0
00104,2.4000000000000004
00105,9.0
00106,4.0
00107,-0.3999999999999999
00108,4.800000000000001
00109,2.6000000000000005
00110,8.600000000000001
00111,3.6
00112,3.2
00113,2.8000000000000003
00114,2.0
00115,0.0
00116,1.6
00117,2.0
00121,0.0
00122,8.4
00123,-1.0
00125,-3.0
00126,3.4000000000000004
00127,2.4000000000000004
00128,3.6
00130,0.0
00131,8.0
00132,-1.6
00133,1.0
00136,5.0
00137,2.4000000000000004
00138,2.0
00139,6.4
00140,0.0
00141,4.0
00143,7.600000000000001
00144,8.0
00145,2.4000000000000004
00147,2.4000000000000004
00148,5.0
00150,2.4000000000000004
00151,1.6
00152,-1.4
00153,1.6
00154,2.0
00155,-3.0
00157,2.0
00158,2.4000000000000004
00159,1.0
00160,1.6
00162,2.4000000000000004
00163,1.6
00164,10.0
00165,1.6
00166,9.0
00167,0.0
00168,4.0
00169,5.2
00170,3.4000000000000004
00171,3.6
00172,4.0
00173,2.0
00175,3.4000000000000004
00177,2.4000000000000004
00178,3.6
00179,9.0
00181,0.0
00182,6.6
00183,2.0
00184,-2.5999999999999996
00185,8.4
00186,7.0
00187,5.0
00188,-0.7999999999999998
00189,6.000000000000001
00191,-3.6000000000000005
00192,6.4
00193,-0.5999999999999996
00194,3.2
00195,0.0
00196,1.4000000000000001
00197,0.6000000000000001
00198,4.800000000000001
00199,4.4
00200,6.4
00201,2.0
00202,2.0
00203,1.6
00204,2.4000000000000004
00205,3.0
00206,3.6
00207,4.4
00209,4.4
00210,1.8
00212,5.0
00213,1.2000000000000002
00214,7.4
00215,-0.5999999999999996
00216,-0.3999999999999999
00218,2.4000000000000004
00219,2.4000000000000004
00220,1.8
00221,2.0
00222,0.0
00223,6.800000000000001
00225,-3.0
00226,7.0
00227,2.0
00228,1.8
00229,2.0
00230,2.4000000000000004
00231,4.800000000000001
00232,3.6
00233,2.0
00234,-0.5999999999999996
00235,5.2
00236,1.6
00237,5.0
00239,8.0
00242,3.0
00243,2.0
00245,4.0
00247,4.4
00248,3.8
00249,2.0
00252,2.0
00253,2.0
00254,2.4000000000000004
00256,2.8000000000000003
00257,3.0
00258,4.800000000000001
00259,2.4000000000000004
00260,-1.4
00261,2.0
00262,2.0
00263,-0.5999999999999996
00264,4.0
00266,2.0
00267,2.4000000000000004
00268,2.0
00269,1.4000000000000001
00270,7.200000000000001
00271,2.4000000000000004
00272,2.4000000000000004
00273,4.4
00274,5.0
00275,1.6000000000000005
00276,4.4
00277,0.3999999999999999
00280,0.0
00281,-3.0
00282,4.0
00283,2.4000000000000004
00284,2.6
00285,4.0
00286,5.4
00287,4.800000000000001
00288,5.0
00289,1.6
00290,2.4000000000000004
00291,6.4
00293,7.0
00295,6.000000000000001
00296,2.4000000000000004
00297,2.0
00298,4.800000000000001
00299,-0.5999999999999996
00300,-0.8
00301,2.4000000000000004
00302,-3.6000000000000005
00303,7.0
00305,10.8
00306,-3.0
00307,6.2
00308,7.0
00309,-3.0
00310,3.6
00312,3.6
00313,-1.0
00314,-2.5999999999999996
00315,2.0
00317,-1.0
00318,6.000000000000001
00319,2.0
00320,2.0
00321,-1.0
00322,-3.0
00323,6.000000000000001
00324,-2.2
00325,2.0
00326,0.0
00327,-3.0
00330,8.0
00331,2.0
00332,4.0
00333,2.4000000000000004
00334,-3.0
00335,3.0
00336,-1.6000000000000005
00337,2.0
00338,0.6000000000000001
00339,2.4000000000000004
00340,7.6000000000000005
00341,2.0
00342,2.0
00343,2.0
00344,2.0
00346,5.0
00347,0.8
00348,5.0
00349,3.0
00351,-0.5999999999999996
00352,2.4000000000000004
00353,6.4
00354,5.8
00355,5.0
00356,7.4
00357,2.0
00358,2.0
00359,3.0
00360,1.4000000000000001
00361,9.0
00362,-1.0
00364,6.4
00365,2.4000000000000004
00366,-2.4000000000000004
00367,-1.7999999999999998
00368,2.8000000000000003
00369,2.4000000000000004
00370,2.4000000000000004
00371,3.8
00372,1.0
00373,4.0
00374,2.0
00375,3.0
00376,2.0
00377,-1.0
00378,2.0
00379,6.000000000000001
00381,2.0
00382,2.0
00383,2.0
00384,3.8
00385,0.3999999999999999
00386,-4.2
00387,3.2
00388,4.0
00389,-0.19999999999999996
00390,-1.7999999999999998
00391,3.4000000000000004
00393,-1.0
00394,10.0
00395,5.8
00396,2.4000000000000004
00397,0.4
00400,-3.0
00402,2.0
00403,2.0
00404,2.8000000000000003
00405,2.0
00406,5.2
00409,1.0
00410,1.8
00411,-3.0
00413,-1.0
00414,2.0
00415,-0.19999999999999996
00416,-1.6000000000000005
00417,0.6000000000000005
00418,1.8
00419,7.4
00420,-0.3999999999999999
00421,1.4000000000000001
00422,7.0
00425,3.4000000000000004
00426,2.0
00428,0.0
00429,4.800000000000001
00430,2.0
00431,3.0
00432,-0.19999999999999973
00433,8.4
00434,3.4000000000000004
00436,2.0
00438,2.0
00439,3.0
00440,2.0
00441,5.2
00442,6.800000000000001
00443,5.0
00444,0.0
00445,-2.4000000000000004
00446,0.8
00447,5.0
00448,-1.0
00449,9.0
00450,-0.19999999999999973
00451,3.6
00452,2.0
00453,4.0
00454,7.0
00455,4.4
00456,1.0
00457,-3.0
00458,-2.5999999999999996
00459,-2.2
00461,2.4000000000000004
00462,-3.0
00464,0.4
00465,4.0
00466,-2.5999999999999996
00467,3.8000000000000007
00468,2.4000000000000004
00469,2.0
00470,3.4000000000000004
00472,2.0
00473,-1.0
00474,-3.0
00475,3.8000000000000007
00476,2.0
00477,7.4
00478,8.4
00479,6.4
00480,5.4
00481,3.6
00482,1.4
00485,2.4000000000000004
00487,1.0
00488,2.0
00490,2.0
00491,-3.0
00492,2.0
00493,-1.0
00494,4.0
00495,-2.4000000000000004
00496,2.0
00497,3.0
00498,3.0
00499,3.4000000000000004
00500,4.0
00501,2.4000000000000004
00502,7.0
00503,4.4
00504,7.800000000000001
00505,-2.5999999999999996
00506,5.0
00507,0.0
00508,-1.2000000000000006
00510,3.6
00511,0.6000000000000001
