고객번호,패션잡화_상_방문지수
00001,5.6000000000000005
00002,1.0
00004,-0.6000000000000001
00006,3.8000000000000007
00007,-0.8
00008,5.0
00009,2.4000000000000004
00010,0.4
00011,0.19999999999999973
00013,0.4
00014,1.2000000000000002
00015,2.0
00016,1.4000000000000001
00017,5.2
00018,-0.7999999999999998
00019,0.4
00020,0.8
00021,0.8
00022,1.2000000000000002
00023,1.8
00024,1.2000000000000002
00025,2.0
00026,5.2
00027,4.2
00028,0.4
00029,3.6
00030,4.6000000000000005
00031,1.8
00032,2.8000000000000003
00033,0.4
00034,1.2000000000000002
00035,5.0
00036,1.8
00037,5.0
00038,3.4000000000000004
00039,2.0
00040,0.19999999999999996
00042,0.4
00044,-0.8
00045,-0.6000000000000003
00046,1.8
00047,-0.19999999999999996
00048,0.6000000000000001
00049,2.2
00050,1.2000000000000002
00051,1.2000000000000002
00053,-0.20000000000000018
00054,0.19999999999999996
00055,1.0
00056,1.4000000000000001
00058,0.4
00059,-1.0000000000000002
00061,-0.6000000000000001
00062,1.8
00063,0.8
00065,0.8
00067,0.4
00068,0.4
00070,0.19999999999999996
00072,0.8
00073,-1.4000000000000004
00074,0.19999999999999973
00076,0.4
00077,0.0
00078,2.6
00080,0.0
00081,3.2
00082,1.8
00083,4.6000000000000005
00084,3.0
00085,0.8
00086,0.8
00087,0.8
00088,2.2
00090,1.0
00091,1.0
00092,2.8000000000000003
00093,1.4000000000000001
00094,1.6
00095,1.8
00096,0.4
00097,0.6000000000000001
00098,-0.19999999999999996
00099,2.6
00100,1.4000000000000001
00102,-0.3999999999999999
00105,0.8
00106,1.4000000000000001
00107,2.4000000000000004
00108,1.2000000000000002
00110,2.8000000000000003
00112,2.8000000000000003
00113,2.2
00114,1.6
00115,2.4000000000000004
00116,-0.6000000000000001
00118,-0.6000000000000003
00119,4.0
00120,5.2
00121,1.4000000000000001
00122,3.4000000000000004
00124,0.3999999999999999
00126,1.2000000000000002
00127,0.4
00130,1.2000000000000002
00131,0.8
00132,1.0
00133,0.8
00134,4.2
00135,0.4
00136,2.4000000000000004
00137,1.6
00138,0.4
00139,2.2
00140,0.6000000000000001
00143,0.4
00144,0.4
00145,2.2
00146,-1.0000000000000002
00147,1.6
00149,0.19999999999999996
00150,-0.8
00151,-2.0
00152,7.200000000000001
00153,0.4
00155,0.4
00156,5.0
00157,2.4000000000000004
00159,-0.19999999999999996
00160,1.4000000000000001
00161,-0.6000000000000003
00162,6.2
00163,1.4000000000000001
00164,1.0
00165,3.0
00166,1.6
00167,-0.6000000000000003
00168,3.0
00169,0.4
00171,5.6000000000000005
00175,2.8000000000000003
00176,0.8
00177,0.3999999999999999
00178,2.8000000000000003
00179,-0.8
00181,0.6000000000000001
00182,3.2
00184,2.0
00185,0.4
00186,0.8
00187,1.0
00188,1.0
00189,-1.4000000000000004
00190,2.4000000000000004
00191,4.800000000000001
00192,2.6
00194,1.6
00196,3.6
00197,4.6000000000000005
00198,2.0
00200,-0.6000000000000001
00201,2.4000000000000004
00202,2.8000000000000003
00204,4.2
00205,1.2000000000000002
00208,-0.6000000000000003
00209,2.8000000000000003
00211,2.0
00212,1.6
00213,2.4000000000000004
00214,-0.6000000000000001
00215,1.8
00216,0.4
00218,3.4000000000000004
00219,0.6000000000000001
00220,2.0
00221,0.8
00222,5.2
00223,2.8000000000000003
00224,1.2000000000000002
00225,1.2000000000000002
00228,0.0
00229,4.2
00230,-0.3999999999999999
00232,0.4
00233,1.4000000000000001
00234,0.8
00235,0.4
00237,1.0
00238,0.8
00239,1.8
00240,1.4000000000000001
00241,2.4000000000000004
00242,0.4
00245,1.0
00246,3.2
00247,1.4000000000000001
00248,4.800000000000001
00249,0.6000000000000001
00250,2.4000000000000004
00251,5.6000000000000005
00252,0.8
00253,-0.6000000000000001
00254,0.4
00255,2.6
00256,2.2
00257,0.0
00258,3.4000000000000004
00259,0.3999999999999999
00260,0.0
00261,0.6000000000000001
00262,3.4000000000000004
00265,1.0
00266,2.2
00267,1.6
00268,0.0
00269,1.2000000000000002
00270,0.4
00271,3.2
00273,-0.8
00275,2.0
00276,1.2000000000000002
00277,0.3999999999999999
00279,0.8
00280,2.0
00281,2.0
00282,0.19999999999999996
00283,4.0
00286,1.2000000000000002
00288,0.8
00289,0.4
00292,4.800000000000001
00293,1.2000000000000002
00294,5.2
00295,1.4000000000000001
00296,1.6
00297,1.8
00298,5.0
00299,0.8
00300,2.0
00301,1.6
00302,-0.6000000000000003
00303,1.4000000000000001
00304,0.4
00305,6.6
00306,3.8
00307,-0.3999999999999999
00308,1.2000000000000002
00309,0.4
00310,1.6
00311,3.8000000000000007
00312,0.4
00313,2.8000000000000003
00314,1.4000000000000001
00315,5.2
00316,4.4
00317,3.8000000000000007
00318,2.0
00319,1.2000000000000002
00320,0.19999999999999996
00321,3.8000000000000007
00322,3.8000000000000007
00323,1.0
00324,-1.4000000000000004
00325,5.0
00326,-0.19999999999999996
00327,1.8
00328,4.6000000000000005
00329,2.2
00331,0.4
00332,1.8
00333,1.0
00334,1.6
00335,1.2000000000000002
00336,-0.6000000000000001
00337,0.3999999999999999
00338,0.0
00339,0.8
00340,-0.3999999999999999
00341,2.0
00343,3.6
00344,1.2000000000000002
