수주번호,거래처코드,제품코드,"영업등록구분(계획, 추가)",수주량,수주단가,수주금액,수주예정일자,수주일자,납기예정일자,납기일자,생산계획확정여부,자재계획확정여부,판매수량,진행현황,적재창고위치,적재창고위치명,긴급여부,비고
580F21022209,2001102.0,PEMA033101400,계획,15000.0,1000.0,15000000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,15000.0,완료,20000.0,태안,N,
580F21022215,2001200.0,PEMA023098200,계획,20000.0,1001.0,20020000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,20000.0,완료,20000.0,태안,N,
AE21022240,2001300.0,SSA073046500,계획,2000.0,1002.0,2004000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,2000.0,완료,20000.0,태안,N,
CSA521022218,2001400.0,PEMA043099800,계획,10000.0,1003.0,10030000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
CSA521022232,2001500.0,PEMA013120000,계획,10000.0,1004.0,10040000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
CSA521022242,2001600.0,PEMA013085300,계획,10000.0,1005.0,10050000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022211,2001700.0,PEMA023100800,계획,10000.0,1006.0,10060000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022212,2001800.0,PEMA023100800,계획,10000.0,1007.0,10070000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022216,2002000.0,PEMA013131100,계획,10000.0,1008.0,10080000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022223,2002100.0,PEMA013000210,계획,7000.0,1009.0,7063000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022224,2002200.0,PEMA063041501,계획,10000.0,1010.0,10100000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022225,2002300.0,PEMA013121910,계획,5000.0,1011.0,5055000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022226,2002400.0,PEMA013078018,계획,10000.0,1012.0,10120000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022227,2002500.0,PEMA013060901,계획,10000.0,1013.0,10130000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022229,2002600.0,PEMA013046900,계획,10000.0,1014.0,10140000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022231,2002700.0,PEMA013058613,계획,5000.0,1015.0,5075000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022233,2002800.0,PEMA013125500,계획,10000.0,1016.0,10160000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022236,2002900.0,PEMA023046501,계획,10000.0,1017.0,10170000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1021022237,2003000.0,PEMA033046500,계획,5000.0,1018.0,5090000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000.0,완료,20000.0,태안,N,
HR1021022241,2003100.0,PEMA223048300,계획,7000.0,1019.0,7133000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000.0,완료,20000.0,태안,N,
HR1021022243,2003200.0,PEMA013105210,계획,9000.0,1020.0,9180000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,9000.0,완료,20000.0,태안,N,
HR1521022213,2003300.0,PEMA023080800,계획,10000.0,1021.0,10210000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,10000.0,완료,20000.0,태안,N,
HR1521022217,2003400.0,PEMA023092101,계획,7000.0,1022.0,7154000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,7000.0,완료,20000.0,태안,N,
HR1521022219,2003500.0,PEMA033030500,계획,12000.0,1023.0,12276000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,12000.0,완료,20000.0,태안,N,
HR1521022239,2003600.0,PEMA053046500,계획,5000.0,1024.0,5120000.0,2021-02-22,2021-02-22,2021-02-25,2021-02-25,Y,Y,5000.0,완료,20000.0,태안,N,
