,SOLDDATE,CUSTID,PRODNAME,PRODCODE,REGION_U,TEMP,HUM,CONSTRUCTION,CONSTRUCTION_RATE,QUANT
0,2019-01-01,2007500,PEMA-PR1000,PEMA013129802,경상남도,-1.567711268,-0.561320426,-0.797753588,-0.561656728,7000.0
1,2019-01-01,2004500,PEMA-PR2000,PEMA023024804,충청남도,-1.630875188,-0.013167354,-0.797753588,-0.561656728,4500.0
2,2019-01-01,2005100,PEMA-HR1000,PEMA013105210,대구광역시,-1.504547348,-1.010929124,-0.797753588,-0.561656728,5000.0
3,2019-01-01,2007600,PEMA-HR1000,PEMA043030401,인천,-1.904585507,-0.499730193,-0.797753588,-0.561656728,4500.0
4,2019-01-01,2003900,PEMA-HR1000,PEMA353048300,충청북도,-1.725621068,-0.259528285,-0.797753588,-0.561656728,5000.0
5,2019-01-01,2001700,PEMA-HR1000,PEMA023024801,경기도남부,-1.904585507,-0.056280517,-0.797753588,-0.561656728,5500.0
6,2019-01-01,2006612,PEMA-HR1000,PEMA033041500,경기도남부,-1.904585507,-0.056280517,-0.797753588,-0.561656728,5500.0
7,2019-01-01,2005000,PEMA-HR1000,PEMA013032302,경기도남부,-1.904585507,-0.056280517,-0.797753588,-0.561656728,5500.0
8,2019-01-01,2004500,PEMA-HR1000,PEMA013072100,경기도남부,-1.904585507,-0.056280517,-0.797753588,-0.561656728,5500.0
9,2019-01-01,2007302,PEMA-HR1000,PEMA033046500,서울,-1.967749427,-0.998611078,-0.797753588,-0.561656728,5000.0
10,2019-01-01,2003300,CSA5000,PEMA013131200,인천,-1.904585507,-0.499730193,-0.797753588,-0.561656728,5000.0
11,2019-01-01,2001800,PEMA-HR1000,PEMA033046500,서울,-1.967749427,-0.998611078,-0.797753588,-0.561656728,5000.0
12,2019-01-01,2004104,PEMA-HR1000,PEMA023109700,경상북도,-1.946694787,-0.487412146,-0.797753588,-0.561656728,4500.0
13,2019-01-01,2007100,PEMA-500FR,PEMA023058600,서울,-1.967749427,-0.998611078,-0.797753588,-0.561656728,6500.0
14,2019-01-01,2003300,PEMA-SN400,TSN4012056000,경기도남부,-1.904585507,-0.056280517,-0.797753588,-0.561656728,4000.0
15,2019-01-01,2002600,PEMA-HR1000,PEMA033090900,전라북도,-1.557183948,0.719756415,-0.797753588,-0.561656728,5500.0
16,2019-01-01,2004300,PEMA-HR1500,PEMA023026300,전라북도,-1.557183948,0.719756415,-0.797753588,-0.561656728,5000.0
17,2019-01-01,2002000,PEMA-HR1500,PEMA413022500,경상남도,-1.567711268,-0.561320426,-0.797753588,-0.561656728,4500.0
18,2019-01-01,2006606,PEMA-HR1500,PEMA063048100,전라남도,-1.441383428,-0.025485401,-0.797753588,-0.561656728,4500.0
19,2019-01-01,2003700,CSA4000,PEMA053030401,인천,-1.904585507,-0.499730193,-0.797753588,-0.561656728,4000.0
20,2019-01-01,2006100,PEMA-HR1500,PEMA053056800,울산광역시,-1.430856108,-1.269608102,-0.797753588,-0.561656728,4000.0
21,2019-01-01,2006609,CSA4000,PEMA143027400,부산광역시,-1.336110229,-1.466696847,-0.797753588,-0.561656728,3500.0
22,2019-01-01,2002400,PEMA-500FR,PEMA023058600,서울,-1.967749427,-0.998611078,-0.797753588,-0.561656728,6500.0
23,2019-01-01,2006500,PEMA-HR1500,PEMA033002600,부산광역시,-1.336110229,-1.466696847,-0.797753588,-0.561656728,4000.0
