"생산작업지시구분(생산:A,생산제외:D)","사업단위(평택:20000,태안:60000등)",작업지시타입(일반:WO/재투입:WR),작업공정정보(PCW11/PCW12),생산작업요청일자,장소정보,LOT번호,분할순번,제품코드,제품BOM차수,제품명,"생산작업지시순번(일련번호(1,2,3,4…))",LOT생산요청총중량ⓐ,LOT실수량ⓑ,LOT실중량ⓒ,작업지시및주문비고사항1,작업지시및주문비고사항2,시방적요,생산단위,작업지시구분(D:내수/E:수출),생산제조일자,비고
A,20000,WO,PCW12,2021-02-22,3,580F21022209,0,PEMA033101400,25,PEMA-580FX 하나(금산),2,15000,1,15000,580FX,,당일,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,580F21022215,0,PEMA023098200,65,PEMA-580FX 세림켐텍,1,20000,1,20000,580FX,,,KG,D,2021-02-24,
A,20000,WO,PCW12,2021-02-22,3,AE21022240,0,SSA073046500,287,AE 신일(송파),14,2000,1,2000,AE제,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,CSA521022218,0,PEMA043099800,44,CSA5000 영진(경주),1,10000,1,10000,pc소포제 3캔,,충 수수료,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,CSA521022232,0,PEMA013120000,15,CSA5000 상신(성주),6,10000,1,10000,전과동일,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,CSA521022242,0,PEMA013085300,353,CSA5000 흥국(미사리),1,10000,1,10000,pc소포제3캔상차  입고샘플시험실전달,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022211,0,PEMA023100800,67,PEMA-HR1000 대종(경주),1,10000,1,10000,AE제 0%타입,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022212,0,PEMA023100800,66,PEMA-HR1000 대종(경주),2,10000,1,10000,AE제5%타입,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022216,0,PEMA013131100,3,PEMA-HR1000 황원(고성),1,10000,1,10000,공기량 1%하향(6%),,정광운사장,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022223,0,PEMA013000210,122,PEMA-HR1000 가야(인천),1,7000,1,7000,2번탱크 7t  11시 ae.1.5%,,pc소포제2캔상차,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022224,0,PEMA063041501,443,PEMA-HR1000 성진(인천),3,10000,1,10000,pc소포제 2통 보내주세요,,,KG,D,2021-02-22,
A,20000,WO,PCW12,2021-02-22,3,HR1021022225,0,PEMA013121910,8,PEMA-HR1000 하주(동해),2,5000,1,5000,"삼척항
도착30분전통화
010-9344-1432",,시간정확히,KG,D,2021-02-22,
