원자재코드,"생산작업지시구분(생산:A,생산제외:D)",작업지시타입(일반:WO/재투입:WR),"사업단위(평택:20000,태안:60000등)",생산작업요청일자,LOT번호,분할순번,제품코드,제품BOM차수,원자재투입순번,원자재명,원자재탱크번호,투입지시중량,투입지시비율,투입지시오차비율,투입지시단위,시방원재료적요,추가투입량(생산자판단),정지중량(유속흐름제어),스텝그룹넘버,비고
SR11002,A,WO,20000,2021-02-22,580F21022209,0,PEMA033101400,25,1,사용수,30,450,3,0,KG,,0,60,1,
SR35218,A,WO,20000,2021-02-22,580F21022209,0,PEMA033101400,25,2,WRE-580FX(55%),16,13095,87.3,0,KG,,0,15,1,
SR35904,A,WO,20000,2021-02-22,580F21022209,0,PEMA033101400,25,3,Urea-20%,4,1455,9.7,0,KG,,0,40,1,
SR11002,A,WO,20000,2021-02-22,580F21022215,0,PEMA023098200,65,1,사용수,30,1800,9,0,KG,,0,20,1,
SR35218,A,WO,20000,2021-02-22,580F21022215,0,PEMA023098200,65,2,WRE-580FX(55%),22,18200,91,0,KG,,0,10,1,
SR15500,A,WO,20000,2021-02-22,AE21022240,0,SSA073046500,287,1,공기연행제,6,2000,100,0,KG,CJ !!,0,20,1,
SR11002,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,1,사용수,30,6640,66.4,0,KG,재활용수800kg,15,60,1,
SR13801,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,3,액상리그닌,0,5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,6,RA-300S,1,275,2.75,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,4,WRE-770,18,1180,11.8,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,7,PCA3000,10,400,4,0,KG,마지막투입,0,30,1,
SR35904,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,5,Urea-20%,4,1490,14.9,0,KG,,0,40,1,
SR68222,A,WO,20000,2021-02-22,CSA521022218,0,PEMA043099800,44,2,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,1,사용수,30,6835,68.35,0,KG,재활용수800kg,15,60,1,
SR13801,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,3,액상리그닌,0,5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,6,RA-300S,1,600,6,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,4,WRE-770,18,1400,14,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,7,PCA3000,10,300,3,0,KG,마지막투입,0,20,1,
SR35904,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,5,Urea-20%,4,850,8.5,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-22,CSA521022232,0,PEMA013120000,15,2,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,1,사용수,30,5050,50.5,0,KG,재활용수800kg적용,20,60,1,
SR13801,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,2,액상리그닌,0,10,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,6,RA-300S,1,1430,14.3,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,4,WRE-770,18,600,6,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,7,PCA3000,10,200,2,0,KG,마지막투입,0,20,1,
SR35904,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,5,Urea-20%,4,2700,27,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-22,CSA521022242,0,PEMA013085300,353,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,1,사용수,30,6173,61.73,0,KG,재활용수금지,17,45,1,
SR13801,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,2,액상리그닌,3,7,0.07,0,KG,,0,0,1,
SR35224,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,4,WRE-770,18,1210,12.1,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,5,WRE-550T,21,440,4.4,0,KG,,0,15,1,
SR35903,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,7,PCA3000,10,650,6.5,0,KG,마지막투입,0,25,1,
SR35904,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,6,Urea-20%,4,1510,15.1,0,KG,,0,35,1,
SR68222,A,WO,20000,2021-02-22,HR1021022211,0,PEMA023100800,67,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,1,사용수,30,5773,57.73,0,KG,재활용수800KG,17,45,1,
SR13801,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,2,액상리그닌,3,7,0.07,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,7,RA-300S,1,500,5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,4,WRE-770,18,1110,11.1,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,5,WRE-550T,21,440,4.4,0,KG,,0,15,1,
SR35903,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,8,PCA3000,10,650,6.5,0,KG,마지막투입,0,25,1,
SR35904,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,6,Urea-20%,4,1510,15.1,0,KG,,0,35,1,
SR68222,A,WO,20000,2021-02-22,HR1021022212,0,PEMA023100800,66,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,1,사용수,30,7547,75.47,0,KG,재활용수800kg,12,45,1,
SR13801,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,2,액상리그닌,0,5,0.05,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,6,RA-300S,1,21,0.21,0,KG,,0,5,1,
SR35218,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,4,WRE-580FX(55%),16,795,7.95,0,KG,,0,15,1,
SR35228,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,5,SRE-200SD-T,14,1625,16.25,0,KG,,0,10,1,
SR38117,A,WO,20000,2021-02-22,HR1021022216,0,PEMA013131100,3,3,PC소포제,0,7,0.07,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,1,사용수,30,4676,66.8,0,KG,재활용수560kg적용,14,60,1,
SR13801,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,2,액상리그닌,0,7,0.1,0,KG,,0,0,1,
SR16002,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,4,글루콘산소다,2,140,2,0,KG,,0,40,1,
SR16600,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,7,RA-300S,1,105,1.5,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,5,WRE-770,18,805,11.5,0,KG,,0,20,1,
SR35903,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,8,PCA3000,10,420,6,0,KG,마지막투입,0,20,1,
SR35904,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,6,Urea-20%,4,840,12,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-22,HR1021022223,0,PEMA013000210,122,3,소포제(MR-130),0,7,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,1,사용수,30,5950,59.5,0,KG,재활용수800kg,20,60,1,
SR13801,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,2,액상리그닌,0,10,0.1,0,KG,,0,0,1,
SR16600,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,7,RA-300S,1,340,3.4,0,KG,,0,5,1,
SR35224,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,4,WRE-770,18,1490,14.9,0,KG,,0,20,1,
SR35225,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,5,WRE-550T,21,200,2,0,KG,,0,15,1,
SR35903,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,8,PCA3000,10,400,4,0,KG,마지막투입,0,20,1,
SR35904,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,6,Urea-20%,4,1600,16,0,KG,,0,25,1,
SR68222,A,WO,20000,2021-02-22,HR1021022224,0,PEMA063041501,443,3,소포제(MR-130),0,10,0.1,0,KG,,0,0,1,
SR11002,A,WO,20000,2021-02-22,HR1021022225,0,PEMA013121910,8,1,사용수,30,3676.5,73.53,0,KG,재활용수400KG,8.5,55,1,
