제품명,SR11002,SR35218,SR35904,SR15500,SR13801,SR16600,SR35224,SR35903,SR68222,SR35225,SR35228,SR38117,SR16002,SR35758,SR35210,SR34364,SR35500,SR35556,SR18520,SR35217,SR35905,SR35755,SR34307,SR35760,SR35761,SR35765,SR34311,SR35211,TSN4012039104,SR35221,SR16003,PEMA023017400,TSN4012057700,SR47093,SSA043031400
AE,0.277,0.0,0.0,0.688,0.0,0.034999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE-580FX,0.0,0.8549706635815222,0.14502933641847782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSA4000,0.7082632419266147,0.028728749999999997,0.08051806038792242,0.0,0.006634984003199359,0.0374186900119976,0.06334788042391522,0.04007410017996401,0.0009149800039992002,0.007217499999999999,0.0021999999999999997,0.0001,0.013749700059988,0.010075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000307125,0.0004499880023995201,0.0,0.0,0.0,0.0
CSA5000,0.6676112236480807,0.0019300985280151948,0.10048622422280883,0.0,0.0026112526992145796,0.038594015357476245,0.09958213591868842,0.035794953592995664,0.0010902442829988925,0.011082131230076299,0.003205878894767784,7.623456790123457e-05,0.018145987652637065,0.002687472914498797,0.000740648161373772,0.0,0.005009007105425358,0.0010188350870640236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031612580834803057,0.0,0.004631987850772555,0.0005573855103663604,0.0014583333333333332,0.0,0.0,0.0005246913580246914
CSA5000F,0.6951499999999999,0.0,0.0865,0.0,0.00075,0.019,0.12,0.0525,0.0008500000000000001,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0
PEMA-500FR,0.059278802475229105,0.5453737656146996,0.0,0.0,0.0015211840218942465,0.0,0.0,0.0,0.0,0.33565282491788373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05817342297029329,0.0,0.0,0.0,0.0,0.0
PEMA-580FX,0.07737352504959301,0.8642496075821805,0.016166666666666666,0.0,0.0014198672793435294,0.0,0.037665541741661666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031247916805546296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEMA-CR1000,0.6531433978819352,0.055185621441834844,0.0,0.0,0.0009999795947517702,0.2094210214867264,0.03,0.025,0.0011071224518946273,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014285714285714287,0.0,0.0,0.0,0.0
PEMA-CSA5000,0.6601666666666667,0.0,0.11,0.0,0.0005,0.0155,0.136,0.06,0.001,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016666666666666666,0.0,0.0,0.0,0.0
PEMA-HR1000,0.643701582927905,0.01112036137343735,0.08481735806695191,0.00010734822142571543,0.0016181146136702064,0.02654046600212253,0.1112103441009127,0.03241903704088196,0.0010227488079306703,0.024737680265759364,0.01977250147855129,0.00014783323774328734,0.02050344061941464,0.0012123113595323722,0.0026316964285714286,0.0,0.002835725239527953,0.0012942370129870129,0.0,0.0009399350649350648,3.571071499985717e-06,0.0,0.0,0.0,0.0,0.0,0.0007588393035678579,0.0090017780615363,0.0,0.0031764490275942997,0.0003976228163982848,0.0,0.0,0.0,2.9017857142857146e-05
