SOLDDATE,TEMP,HUM,REGION_U
2018-01-01,-1.3,39.1,서울
2018-01-02,-1.8,42.0,서울
2018-01-03,-4.7,42.3,서울
2018-01-04,-4.7,43.0,서울
2018-01-05,-3.0,48.4,서울
2018-01-06,-2.8,45.8,서울
2018-01-07,-0.8,42.1,서울
2018-01-08,1.3,51.9,서울
2018-01-09,-4.2,59.4,서울
2018-01-10,-7.5,52.0,서울
2018-01-11,-11.1,49.8,서울
2018-01-12,-10.2,35.4,서울
2018-01-13,-4.4,67.3,서울
2018-01-14,0.6,64.1,서울
2018-01-15,4.7,63.9,서울
2018-01-16,3.5,59.1,서울
2018-01-17,4.5,64.1,서울
2018-01-18,2.1,59.6,서울
2018-01-19,1.0,43.0,서울
2018-01-20,2.2,57.6,서울
2018-01-21,0.4,36.6,서울
2018-01-22,0.2,56.5,서울
2018-01-23,-11.7,42.0,서울
2018-01-24,-14.2,31.6,서울
2018-01-25,-14.0,32.6,서울
2018-01-26,-14.8,34.9,서울
2018-01-27,-9.9,37.4,서울
2018-01-28,-6.3,36.0,서울
2018-01-29,-8.5,35.0,서울
2018-01-30,-5.3,62.0,서울
2018-01-31,-2.6,54.5,서울
2018-02-01,-4.0,44.1,서울
2018-02-02,-2.4,51.1,서울
2018-02-03,-7.3,47.0,서울
2018-02-04,-9.5,40.9,서울
2018-02-05,-9.4,37.8,서울
2018-02-06,-10.1,36.5,서울
2018-02-07,-8.0,39.8,서울
2018-02-08,-4.4,43.3,서울
2018-02-09,0.4,43.9,서울
2018-02-10,-0.5,47.4,서울
2018-02-11,-6.1,42.5,서울
2018-02-12,-5.8,40.8,서울
2018-02-13,-0.8,54.5,서울
2018-02-14,3.5,51.0,서울
2018-02-15,-0.7,28.0,서울
2018-02-16,-1.1,40.1,서울
2018-02-17,-3.0,25.6,서울
2018-02-18,-0.4,26.9,서울
2018-02-19,1.8,48.6,서울
2018-02-20,0.9,41.0,서울
2018-02-21,-0.9,31.5,서울
2018-02-22,1.3,59.0,서울
2018-02-23,4.2,81.1,서울
2018-02-24,2.4,49.4,서울
2018-02-25,1.9,40.6,서울
2018-02-26,3.1,43.1,서울
2018-02-27,4.2,48.8,서울
2018-02-28,4.6,73.3,서울
2018-03-01,-0.2,61.9,서울
2018-03-02,-0.7,34.0,서울
2018-03-03,7.9,38.1,서울
2018-03-04,9.8,89.1,서울
2018-03-05,5.5,67.5,서울
2018-03-06,4.5,46.8,서울
2018-03-07,6.4,54.0,서울
2018-03-08,4.6,76.0,서울
2018-03-09,4.5,63.3,서울
2018-03-10,4.6,65.8,서울
2018-03-11,6.4,51.3,서울
2018-03-12,8.0,45.8,서울
2018-03-13,12.4,60.5,서울
2018-03-14,17.0,58.8,서울
2018-03-15,12.4,92.1,서울
2018-03-16,7.1,46.9,서울
2018-03-17,6.6,48.0,서울
2018-03-18,8.2,55.9,서울
2018-03-19,8.0,64.5,서울
2018-03-20,4.7,39.9,서울
2018-03-21,2.1,64.1,서울
2018-03-22,4.9,61.5,서울
2018-03-23,6.1,55.3,서울
2018-03-24,7.6,61.9,서울
2018-03-25,9.6,65.6,서울
2018-03-26,11.0,64.5,서울
2018-03-27,13.3,61.1,서울
2018-03-28,14.0,66.4,서울
2018-03-29,15.4,66.3,서울
2018-03-30,14.8,55.6,서울
