BLD_NM,GRND_FLR,HEIGHT,height2,geometry,within
종암에스케이아파트,27.0,73.0,94.5,"POLYGON ((127.0358791072156 37.60164102636325, 127.03601883580733 37.60161395610977, 127.03599082446723 37.601526208530615, 127.03602132437867 37.60138726800804, 127.03604019503129 37.601299047222554, 127.03622900942807 37.60114186037145, 127.03651310484418 37.60108249178832, 127.0366839929824 37.60109666752685, 127.0366983220558 37.6009849413311, 127.03655563138753 37.60097101853158, 127.03648859318658 37.60097247998487, 127.03637037817656 37.600991714902285, 127.03621683826827 37.601024916321684, 127.03615049182167 37.60105304648454, 127.03595204359313 37.60119212625981, 127.03592420551858 37.60123421930498, 127.0358731953824 37.60136884105794, 127.03584380986788 37.601469129039145, 127.03584655959312 37.60153859404455, 127.0358791072156 37.60164102636325))",True
종암에스케이아파트,27.0,73.0,94.5,"POLYGON ((127.03680076932862 37.60090832717367, 127.0369308983403 37.60093955232549, 127.03697840645076 37.60082736564241, 127.03703499566487 37.600761396650306, 127.03709679836193 37.60070487737412, 127.03716421261092 37.60078008914224, 127.03728829267286 37.60071292834923, 127.03723253721358 37.60062735181578, 127.03734847965727 37.60059361990172, 127.03750384070115 37.60058258064314, 127.03749802056352 37.60048942073897, 127.0374151308588 37.60049449148268, 127.03732896040299 37.6005063205387, 127.03722875505409 37.60053274970896, 127.03714508363835 37.600560975771515, 127.03689568056761 37.600246517489055, 127.03678076600082 37.60029800703581, 127.03690881574073 37.600460226809155, 127.0368905786562 37.6004728460427, 127.0369206159436 37.600509155676825, 127.03694812841732 37.600498596906895, 127.03704115011513 37.600606146361, 127.03698636043285 37.60064589620213, 127.03690802960236 37.60071314207919, 127.0368634394318 37.60076973719211, 127.03682214310503 37.60084732421361, 127.03680076932862 37.60090832717367))",True
종암에스케이아파트,27.0,73.0,94.5,"POLYGON ((127.03604739622979 37.60166449291508, 127.03593055742301 37.60172390182707, 127.03600431957474 37.601813347927745, 127.03608599168085 37.60186558106076, 127.03620073718201 37.60190717282251, 127.03638047795539 37.60195964718984, 127.0366028860051 37.6019576802176, 127.03667988562378 37.60194594452479, 127.0369091613677 37.60185938162232, 127.03699167837343 37.60178160200633, 127.03690184053363 37.60170459491029, 127.03680991795972 37.601768772431306, 127.03658346828718 37.60184434230837, 127.03638959932111 37.601849715542315, 127.03625549103793 37.601811832704456, 127.0361276151231 37.60175790137654, 127.03604739622979 37.60166449291508))",True
종암에스케이아파트,27.0,73.0,94.5,"POLYGON ((127.03798390860949 37.60110599470768, 127.03799698255897 37.601187610741036, 127.03797732783926 37.60128871614304, 127.03794623500742 37.601388554684185, 127.03788342254532 37.60146425664214, 127.03780543580682 37.601540593919786, 127.03770353750035 37.60158125954355, 127.03761556005878 37.60160571213521, 127.03738659428258 37.60162695503878, 127.03725567549668 37.60160474046427, 127.03723285360867 37.60171574849921, 127.03736660528752 37.60174138597426, 127.03762818425233 37.601718060875974, 127.03785791304622 37.60163536120675, 127.0379240281404 37.60159749953994, 127.03806245568921 37.601458885548446, 127.03809956031422 37.60137966862083, 127.03813053333833 37.601266855917736, 127.03813842754303 37.601200090610725, 127.03812240714628 37.60109125680267, 127.03798390860949 37.60110599470768))",True
종암에스케이아파트,27.0,73.0,94.5,"POLYGON ((127.0368846289007 37.60101335672867, 127.03695736637823 37.60109027888413, 127.03704297300413 37.6013200939775, 127.03702638305238 37.60143920895109, 127.03701816830717 37.601548500684586, 127.03696318952171 37.60164466112275, 127.03709287647595 37.601695969139506, 127.03714288676372 37.60160603593527, 127.03715882827176 37.6015522424264, 127.0371820519131 37.60135753294039, 127.037177377734 37.60129203287181, 127.03714720531353 37.60118698733693, 127.03710457100502 37.60107059316101, 127.03708281418619 37.601040236582094, 127.03700722686776 37.60094772834933, 127.0368846289007 37.60101335672867))",True
종암에스케이아파트,27.0,73.0,94.5,"POLYGON ((127.03779550912486 37.600710521094975, 127.03786348055375 37.600765721452916, 127.03789894921155 37.60081544480506, 127.03796536387445 37.600928948211994, 127.03797716721299 37.60098273326889, 127.03798183913212 37.601042205731765, 127.03811681512488 37.60102620754469, 127.03810760264098 37.60094467141397, 127.03808401701303 37.60088043861408, 127.03801068095734 37.60073918712691, 127.03796672029155 37.6006917188885, 127.03789205416697 37.600632096824356, 127.03779550912486 37.600710521094975))",True
하월곡동 46-73 판매시설 (코웨이주식회사),41.0,140.75,143.5,"POLYGON ((127.0405206513122 37.60129318292714, 127.04033404903196 37.601550213858275, 127.0397906189935 37.60203035404632, 127.03976606003313 37.602059193466445, 127.03976313976827 37.60208406154648, 127.03977005755615 37.6021035205399, 127.03978093927098 37.60212378913277, 127.03991687690832 37.60221312251167, 127.04101903249376 37.602135796845026, 127.04106523234188 37.602129474493495, 127.04109579972088 37.60211387724059, 127.04112625136034 37.60209359490644, 127.0411340523274 37.60206944594135, 127.0410303102905 37.60183369343073, 127.04073371253972 37.601610528715774, 127.04089106555584 37.60150839493845, 127.0405206513122 37.60129318292714))",True
동일하이빌 뉴시티,36.0,119.95,126.0,"POLYGON ((127.03109232034085 37.60427903144051, 127.03112119683674 37.60436141907726, 127.03112817220627 37.60435986763726, 127.03113895413499 37.604390606464285, 127.0311689957978 37.60438394065892, 127.03117859865193 37.604411328122445, 127.03119620447985 37.604429730775, 127.03117006196358 37.604445162170066, 127.03116807930036 37.60444302733895, 127.031109929433 37.60447736036483, 127.03111192342006 37.604479495194056, 127.0310721718386 37.60450307486264, 127.03108273090935 37.60451438856176, 127.0310836253517 37.60451386576769, 127.03114636806113 37.60458111740717, 127.031145473622 37.604581649211504, 127.03115610069169 37.60459303496541, 127.03128375648393 37.60451765365607, 127.03136647861966 37.60453447213428, 127.03136271214922 37.60454610477394, 127.03147330670016 37.60456872746525, 127.03152073214139 37.60442193631977, 127.03135401954248 37.604387840340245, 127.03135968620128 37.60437033281248, 127.03135034405511 37.60434370212317, 127.03138038568007 37.60433703626395, 127.03136961498437 37.60430629745591, 127.03137659034357 37.604304746001226, 127.03134771359161 37.60422236743609, 127.03109232034085 37.60427903144051))",True
현대아파트,27.0,74.5,94.5,"POLYGON ((127.06294158804688 37.61971074866555, 127.06297832082724 37.619613684950714, 127.0625110907189 37.619497529697774, 127.062477651244 37.619591789519326, 127.06294158804688 37.61971074866555))",True
현대아파트,27.0,74.5,94.5,"POLYGON ((127.06219203162642 37.61803169983368, 127.06265403410302 37.61813849790228, 127.06269098645933 37.61803342441993, 127.06222501649953 37.61792203353368, 127.06219203162642 37.61803169983368))",True
현대아파트,27.0,74.5,94.5,"POLYGON ((127.06234837317963 37.61955970023666, 127.06238781116677 37.61944551668172, 127.06215589971835 37.61938509919646, 127.06212448722049 37.61947917768233, 127.06210160359205 37.61947522511823, 127.0620576417408 37.61959850178942, 127.0621829398199 37.619625466858224, 127.06220169445717 37.61956625379808, 127.06230558319754 37.61959151788079, 127.06231823718664 37.61955196733511, 127.06234837317963 37.61955970023666))",True
현대아파트,27.0,74.5,94.5,"POLYGON ((127.06174893671636 37.61913501524204, 127.06166736623763 37.619114064000286, 127.06163346219101 37.61920922480626, 127.06170358903789 37.61922576710364, 127.06167828146611 37.619292002066004, 127.06173944677961 37.619306026164594, 127.06172600785156 37.61934171184461, 127.06196256454233 37.619404209060875, 127.0620009944973 37.61930345976578, 127.06179354577412 37.61925193972331, 127.0618303815277 37.619140559726524, 127.06175198465486 37.619122219764584, 127.06174893671636 37.61913501524204))",True
현대아파트,26.0,71.7,91.0,"POLYGON ((127.06278354411364 37.61887029720623, 127.0627783553665 37.618882823527954, 127.06288133749828 37.6189084479698, 127.06289353480513 37.61887879937051, 127.06296084190187 37.618896153270505, 127.06294931646111 37.61893012623304, 127.0630154768591 37.618944147070955, 127.06305004619395 37.618847634046716, 127.06295308160381 37.6188256105413, 127.06295826416456 37.61880560607723, 127.06292269108864 37.6187973355711, 127.06291941312298 37.61880562629678, 127.06282357279296 37.61878702582562, 127.06283137913312 37.61877584961255, 127.06273021052758 37.6187514855585, 127.06273710046473 37.61872778619831, 127.06270798676552 37.618723206296465, 127.06270369180142 37.61873447077914, 127.06260093606458 37.61870830547593, 127.0625612662076 37.618815092186644, 127.06265858439039 37.6188402782723, 127.062670002503 37.61881341412903, 127.06273797673829 37.61882950643805, 127.06272882312247 37.61885527922696, 127.06278354411364 37.61887029720623))",True
현대아파트,27.0,74.6,94.5,"POLYGON ((127.06236206851405 37.61900495054277, 127.06241463527215 37.61887842577649, 127.06222962429962 37.61882491275961, 127.06207522734503 37.619229000718306, 127.06220314695567 37.619262892961544, 127.06230002582483 37.619040030651284, 127.06231850427805 37.61904533691747, 127.06233567369063 37.61900099983386, 127.06236206851405 37.61900495054277))",True
