,article,target
0,데이터그래픽 처리 향상 신제품 경향신문 LG전자모델들이 LG그램 신제품을 사용하고 있다 LG전자 제공 LG전자가 LG그램 노트북 가운데 처음으로 고성능 외장 그래픽카드를 탑재한 신제품을 출시한다고 일 밝혔다 앞선 세대 대비 데이터 처리 속도가  빨라졌다 LG그램 신모델은 기존 그램 시리즈의 장점인 가벼운 무게를 유지하면서도 성능을 높인 게 특징이다 새롭게 출시되는 LG그램은 형 디스플레이에 외장 그래픽카드와 와트시Wh 대용량 배터리를 갖췄으며 무게는 g이다 형 대화면을 탑재한 LG그램의 무게는 g이다 엔비디아의 고성능 노트북용 외장 그래픽카드를 탑재해 고화질 영상이미지를 편집할 때도 최적의 환경을 제공한다 두 모델은 화면비  해상도 의 고해상도 디스플레이를 탑재하고 패널에는 빛 반사와 눈부심을 방지하는 안티글레어AntiGlare를 적용했다 또 인텔의 최신 세대 프로세서를 탑재해 기존 세대 프로세서와 비교해 데이터 처리 속도가 약  빨라졌다 최신 세대 저장장치SSD와 기존 제품 대비 성능이  향상된 최신 저전력 메모리를 탑재했다 카메라로 사용자의 얼굴과 시선을 감지한 후 인공지능AI 분석을 기반으로 제공하는 다양한 편의 기능도 처음 적용됐다 예를 들어 사용자가 자리를 비우면 화면을 잠그고 사용자의 뒤에 다른 사람이 있으면 작업 중인 화면을 흐리게 만들거나 경고 메시지를 보여준다 멀티 태스킹 작업을 위해 별도의 모니터를 연결할 경우 두 개의 화면 중 사용자가 보고 있는 화면으로 마우스 포인터나 작업 중인 창을 자동으로 옮겨주기도 한다 화이트 블랙 차콜 등 가지 색상으로 출시된다 국내 출하가는 LG그램은 만만원 LG그램은 만만원이다 LG전자는 일부터 다음달 일까지 신제품 예약 판매를 진행한다,3
1,뱅크샐러드 검사 대  경쟁률 SKT 유전자 분석 구독 서비스 건강 마이데이터 바탕으로 한 디지털 헬스케어 분야 진출 노려 분석 결과로 나온 상위 가지 능력을 알려주는 앱 화면 뱅크샐러드 앱 캡처 핀테크 통신 등 건강과는 관계없어 보이는 정보기술IT 기업들이 잇따라 유전자 검사 서비스에 뛰어들고 있다 고객 신청을 받아 유전자검사기관에 직접 검사를 의뢰하는 DTC 유전자 검사가 대표적이다 그중 금융 애플리케이션앱 뱅크샐러드에서 제공하는 유전자 검사는 신청자 가운데 세대 비중이  평균 경쟁률이 대 에 달할 정도로 인기다 최근 세 번의 시도 끝에 신청해 검사를 진행해봤다 뱅크샐러드의 유전자 검사는 앱에서 매일 오전 시 선착순으로 신청할 수 있다 지난해 월 베타 서비스를 오픈한 후 개월의 서비스 안정화 기간을 거쳐 정식 오픈했다 직접 업체에 유전자 검사를 의뢰하려면 만만원의 비용이 든다 하지만 뱅크샐러드에선 무료다 뱅크샐러드는 하루 명이던 신청 인원을 지난 월 명까지 늘렸다 지난 일까지 만명이 이 서비스를 신청했다 뱅크샐러드 애플리케이션에서 유전자검사를 신청하면 집으로 유전자 검사 키트가 배송된다 키트에 침을 담아 보내면 유전자검사기관에 의뢰해 검사를 진행한다 검사는 배송된 유전자 검사키트를 활용해 침을 채취한 후 반송하는 식으로 이뤄진다 키트를 열면 사용법을 적은 설명서와 검체를 넣을 통 보존액이 담겨있다 안내에 따라 레몬의 신맛을 떠올리며 침을 모은 후 키트에 담았다 분석은 유전자검사기관인 마크로젠에서 담당한다 유전자 분석결과는 개월여 만에 받았다 주 정도 걸리던 게 연말 검사물량 증가 검사인원 확대 등으로 늦어진다는 안내를 받았다 결과는 앱에서 확인할 수 있다 가장 먼저 타고난 능력 가지를 일러스트와 쉬운 말로 풀어낸 이미지 카드를 확인할 수 있다 상위 가지 능력은 맥주 대신 탄산수알코올 의존성 낮음 뒤통수에 수면 버튼불면증 가능성 낮음 젊은 뇌비타민 B 농도 높음였다 특히 알코올 의존성의 경우 상위  수준으로 중독 가능성이 낮다고 나왔다 반대로 불리한 인자도 확인할 수 있다 근육 발달 능력과 단거리 질주 능력 발목 부상 위험도 등은 하위 에 자리했다 평소 발목을 쉽게 다치고 심지어 골절로 수술한 적도 있는데 여기에 유전자의 영향이 끼어들었을 수 있다는 사실을 알게 됐다 운동을 더 열심히 해야겠다는 생각에 헬스장 퍼스널 트레이닝PT 예약을 잡았다 비타민 C 농도와 아연의 농도가 낮다는 결과를 보고 영양제를 검색하기도 했다 이밖에 전체 검사항목 개의 결과를 모두 확인할 수 있다 뱅크샐러드를 비롯해 IT 기업들이 유전자 검사 서비스에 적극적인 것은 건강 마이데이터를 활용해 다양한 디지털 헬스케어 분야로 사업을 확장할 수 있어서다 SK텔레콤은 유전자 분석을 기반으로 하는 구독형 헬스케어 서비스 케어에이트 디엔에이를 내놨다 LG유플러스는 소비자 직접 의뢰DTC 유전자 검사 서비스 업체와 헬스 빅데이터 시니어케어 등의 신규 서비스를 개발 중이다 뱅크샐러드는 유전자 검사 외에 건강검진 기록 예방접종 내역 등을 건강 탭에서 함께 보여준다 향후 건강 마이데이터를 대중화하겠다는 목표다 뱅크샐러드는 유전자에는 많은 건강 데이터가 담겨있어 개인 생애주기를 이해하고 향후 발생 확률이 높은 질병을 예측진단할 수 있다 건강 마이데이터를 활용해 개인별 맞춤 건강 관리와 건강한 생활 습관 형성을 돕고자 한다고 설명했다,3
2,가입자 증가 정체로 수익하락 우려 계정도용 차단하는 테스트도 진행 여러 명이 하나의 계정을 공유해 넷플릭스에서 저렴하게 영상을 보는 일이 앞으로 어려워질 전망이다 넷플릭스가 한 집에 사는 가족 외에 계정 공유 시 요금을 추가하는 방안을 추진한다 일 업계에 따르면 넷플릭스는 칠레 코스타리카 페루 등에서 가족 외에 계정을 공유할 경우 추가 요금을 부과하는 방식을 시범 운영한다 스탠다드 및 프리미엄 요금제 가입자는 함께 살지 않는 사람 명까지 계정에 추가할 수 있다 이 경우 추가 인원은 각각 아이디 패스워드 개인 프로필 등을 부여 받는다 인원 추가 가격은 달러약 원이다 아니면 공유 계정에 있던 자신의 프로필을 새로운 계정으로 옮길 수도 있다 그동안 누적된 시청정보 등을 그대로 옮길 수 있지만 새 계정을 만드는 것이어서 요금을 부과한다 넷플릭스의 계정 공유 단속은 이번이 처음은 아니다 IT매체 더 버지에 따르면 넷플릭스는 지난해 승인되지 않은 사용자가 다른 사람의 계정을 도용하지 못하도록 계정 확인 도구를 적용하는 테스트도 진행했다 넷플릭스가 계정 공유를 막으려고 하는 건 가입자 증가가 정체하면서 수익 하락을 우려하기 때문이다 넷플릭스는 가족 이외 사람들과 계정을 공유하는 것은 훌륭한 TV 프로그램과 영화에 투자하는 넷플릭스의 능력에 영향을 끼친다면서 추가 요금 부과 이유를 설명했다 넷플릭스의 스탠다드 요금제는 최대 명 프리미엄 요금제는 최대 명까지 동시 접속할 수 있다 사용자들은 이용 요금을 아끼기 위해 명이 요금을 나눠내고 계정을 공유해 사용하기도 한다 가입자가 계속 늘어날 때엔 넷플릭스로서도 큰 문제가 안 된다 하지만 가입자 증가 속도가 줄면서 더 이상 계정 공유를 방치할 수 없다고 판단한 것으로 보인다 특히 구독료 외에 추가 재원 확보가 어려운 넷플릭스의 수익 구조를 감안하면 지속적인 콘텐츠 투자를 위해서는 요금 인상이나 계정 공유 금지 등으로 수익을 확보할 수밖에 없다,3
3,항우연 사업단 정부사업 착수 태양전지로 일 이상 장기체공 임무장비  탑재 가능이 목표 산불 등 재난감시에 상용화 계획 한국항공우주연구원이 성층권 비행에 성공한 고고도 장기체공 태양광 무인기EAV모습 항우연 제공 우리나라가 세계 최고 성능을 지닌 성층권 드론 개발에 뛰어 들었다 대기가 안정적인 성층권에서 일 이상 장기 체공하며 임무장비  이상을 탑재해 산불 등을 상시 감시할 수 있는 태양광 드론을 개발하는 게 목표다 일 과학기술정보통신부에 따르면 한국항공우주연구원의 성층권드론기술개발사업단을 상시 재난 감시용 성층권 드론기술개발사업의 대상 기관으로 선정했다 이 사업은 올해부터 년까지 총 사업비 억원을 투입해 일 이상 연속 비행 임무장비  이상 탑재 가능한 세계에서 가장 우수한 성층권 태양광 드론 시제기 제작과 핵심 기술 확보에 중점을 둔다 현재 세계 최고 성능의 성층권 드론은 일 연속 비행 임무장비  탑재가 가능한 수준이다 고도  구간에 있는 성층권은 수직 대류 현상이 거의 없어 구름이나 기상 변화가 일어나지 않아 장기 체공 항공기 운항에 최적의 운용 환경을 갖추고 있다 성층권 드론은 대기가 안정적인 성층권에서 장기간 체공할 수 있어 인공위성처럼 높은 고도에서 지상을 상시 감시할 수 있다 또한 도입운용과 유지 비용이 적고 최근 이슈가 되고 있는 우주쓰레기 문제도 발생하지 않아 새로운 드론 분야로 각광받으면서 시장 성장 가능성이 매우 큰 분야다 항우연 사업단은 상반기까지 체계종합설계 비행체 기술개발 추진장치 개발시험 핵심기술 연구 등 성층권 드론 개발을 위한 개 연구과제별 주관연구기관을 선정해 연구에 본격 착수할 계획이다 사업단이 개발하는 성층권 드론은 낮에는 태양전지로 밤에는 배터리로 전력을 생산해 일 이상 연속 비행이 가능하도록 배터리와 태양전지 하이브리드 전기동력시스템이 탑재된다 사업단은 시제기 제작뿐 아니라 상용화양산체계 구축 다양한 임무장비 개발 등을 추진할 방침이다 이와 관련 주요국을 중심으로 성층권 드론 시장 선점을 위한 기술 개발이 치열하게 벌어지고 있다 유럽항공방위우주산업EADS의 제피르Zephyr S 일본 햅스 모바일의 썬그라이더 영국 BAE시스템의 페이사Phasa  중국의 모닝스타 등 다수의 성층권 드론이 개발 상용화되고 있다 한국의 경우 항우연이 다목적 성층권 드론EAV을 개발 고도 까지 올라가 시간 연속 비행에 성공한 바 있다 이창윤 과기정통부 기초원천연구정책관은 세계 최고 성능을 목표로 하는 매우 도전적인 사업이지만 국내 최고의 비행체 관련 기술과 인력 시설을 보유한 항우연 사업단이 성공적으로 개발할 수 있을 것이라며 앞으로 성층권 드론이 이상 기후와 산불 감시는 물론 해양오염 감시해수변화 실시간 정밀 기상 관측 해양 국경 감시 등 국가 재난대응 임무에 활용할 수 있도록 상용화 지원을 아끼지 않겠다고 말했다 과학기술정보통신부는  이상의 임무장비를 탑재하고 성층권에서 일 이상 장기 체공이 가능한 세계 최고 성능의 태양광 드론 개발에 착수했다 과기정통부 제공,3
4,머크앤드컴퍼니MSD가 개발한 신종 코로나바이러스 감염증코로나 알약 치료제 라게브리오 연합뉴스 정부가 최근 국내 코로나 유행이 거세진 상황에 맞춰 머크MSD의 코로나 먹는 치료제 라게브리오성분명 몰누피라비르의 긴급사용 승인을 검토 중이다 식품의약품안전처는 코로나 환자가 폭증함에 따라 팍스로비드와 렘데시비르를 사용하기 어려운 고위험 경증중등증 환자들에 대한 추가 선택지로 머크의 라게브리오 긴급사용승인을 신중히 검토하고 있다고 지난 일 밝혔다 머크는 지난해 월 식품의약품안전처에 라게브리오의 긴급사용승인을 신청했으나 아직 승인이 이뤄지지 않은 상태다 해외 임상 자료 등에 따르면 고위험 경증중등증 환자의 입원사망 예방 효과가  수준에 그치는 것으로 알려졌다 그러나 최근 코로나 유행이 정점에 들어가고 확진 규모가 커지면서 팍스로비드만으로는 치료제 물량이 부족할 수 있다는 지적이 나오고 있다 이에 따라 정부가 다시 라게브리오의 긴급사용 검토에 나선 것이다 먹는 코로나 치료제 라게브리오와 팍스로비드는 고위험 경증중등증 환자가 중증으로 악화하는 것을 막아주지만 대상 환자의 범위와 기준이 약간 다르다 이에 따라 입원사망 예방 효과가 인 팍스로비드를 주 치료제로 사용하고 팍스로비드 처방이 불가능한 환자 등에는 라게브리오를 보완적으로 쓰는 방안 등이 논의 중인 것으로 전해지고 있다 한편 이미 다른 국가들에서는 몰누피라비르를 처방하고 있다 지난 일현지시간 세계보건기구WHO는 영국의학저널BMJ을 통해 몰누피라비르에 대한 권고 옵션을 포함하는 코로나 치료 가이드라인 개정판을 발표하기도 했다 정부는 MSD의 먹는 치료제 만명분의 선구매 계약을 완료한 상황이다,3
5,IT전문매체 폰아레나는 삼성전자의 갤럭시S 울트라 애플의 아이폰 프로로 카메라 줌 성능을 비교하는 실험을 진행했다 사진은 배 줌으로 시계탑을 촬영한 사진 폰아레나 홈페이지 헤럴드경제 김현일 기자 스마트폰 카메라 줌 어디까지 가능하나 IT전문매체 폰아레나가 최근 삼성전자와 애플 샤오미 구글이 내놓은 최신 스마트폰의 카메라 줌 성능을 비교하기 위해 진행한 실험 결과를 공개했다 글로벌 스마트폰 업체들의 카메라 성능이 갈수록 고도화하고 있는 가운데 직접 평가에 나선 것이다 폰아레나에 따르면 이번 실험은 삼성전자의 갤럭시S 울트라 애플의 아이폰 프로 샤오미의 샤오미 프로 구글의 픽셀 프로로 이뤄졌다 각각 배부터 시작해 배 배 줌을 당겨 야외 시계탑을 찍는 방식으로 진행됐다 폰아레나는 배 줌에선 갤럭시S 울트라와 픽셀 프로의 사진이 가장 우수한 화질을 보였다고 평가했다 아이폰 프로는 노출이 부족해 상대적으로 어둡게 표현됐으나 시곗바늘이나 시계판 숫자 등은 비교적 선명한 모습이다 샤오미 프로의 경우 빛 조절이나 선명도 면에서 낮은 점수를 줬다 삼성전자의 갤럭시S 울트라 애플의 아이폰 프로 샤오미의 샤오미 프로 구글의 픽셀 프로로 배 줌을 당겨 시계탑을 촬영한 사진 폰아레나 홈페이지 기종별 성능의 차이는 배 줌 단계에서 뚜렷하게 나타나기 시작했다 폰아레나는 샤오미 프로에 대해 더 이상 개선된 점은 없으나 그나마 준수한 색감을 유지했다고 평가했다 아이폰 프로의 사진은 시계와 벽돌타일 등 디테일한 부분들이 잘 드러났지만 갤럭시S 울트라와 픽셀 프로에는 못 미친다고 평가했다 실제로 배 줌을 지원하는 망원 카메라를 탑재한 갤럭시S 울트라는 아이폰 프로에 비해 밝고 선명한 색감을 보였으며 시계탑 상단의 구조물도 보다 뚜렷하게 담아냈다 픽셀 프로의 사진은 색감이 실제 모습과 가장 흡사하게 나타났다고 평가했다 삼성전자의 갤럭시S 울트라로 배 줌을 당겨 시계탑을 촬영한 사진 폰아레나 홈페이지 구글의 픽셀 프로로 배 줌을 당겨 시계탑을 촬영한 사진 폰아레나 홈페이지 샤오미의 샤오미 프로로 배 줌을 당겨 시계탑을 촬영한 사진 폰아레나 홈페이지 배 줌을 당기자 샤오미 프로의 흐릿한 이미지는 더욱 심해졌다 픽셀 프로는 여전히 선명하게 피사체를 담아냈다 그러나 폰아레나는 갤럭시S 울트라가 픽셀 프로를 앞선다고 평가했다 아이폰 프로는 배까지만 줌을 당길 수 있어 실험에서 제외했다고 설명했다 폰아레나는 야간에도 야외 조각상을 대상으로 같은 실험을 진행했는데 낮에 찍을 때와는 다소 다른 결과가 나왔다고 밝혔다 삼성전자의 갤럭시S 울트라 애플의 아이폰 프로 샤오미의 샤오미 프로 구글의 픽셀 프로로 야간에 배 줌을 당겨 촬영한 사진 폰아레나 홈페이지 배 줌을 당겨 찍었을 때 아이폰 프로와 픽셀 프로에서는 조각상이 비교적 선명하게 보였다 갤럭시S 울트라는 아이폰프로와 픽셀 프로에 비해 노란 가로등 불빛의 반사가 강하게 표현됐으며 조각상은 흐릿하게 보였다 배 줌에서 아이폰프로는 조각상을 비교적 뚜렷하게 담아낸 모습이다 갤럭시S 울트라의 사진은 피사체가 다소 흐릿하게 보였다 폰아레나는 픽셀 프로의 경우 노출이 부족했지만 실제 모습에 가장 가깝고 자연스럽게 표현했다고 평가했다,3
6,코로나 환자를 옮기고 있는 의료진연합뉴스 서울경제 오미크론 변이에 따른 코로나 확산세가 정점을 지나고 있는 것으로 파악됐다 일 오후 시까지 전국에서 만 명이 코로나에 확진됐다 이는 전날 같은 시간 집계치인 만 명보다 만 명 적은 수치다 주 전인 지난 일 동시간대 집계치만명와 비교하면 만명 적고 주 전인 일천명보다도 명 적다 오미크론 변이 확산으로 한때 신규 확진자가 한주 단위로 더블링확진자가 배씩 증가 되면서 폭증하기도 했으나 최근에는 증가세가 둔화하더니 주 전과 비교해 감소하기 시작했다 정부는 국내 코로나 유행 정점 구간이 현재 정점을 지나고 있으며 다음 주 중반에는 감소세로 전환할 것으로 내다봤다 오후 시 기준 신규 확진자는 수도권에서 만명 비수도권에서 만명이 나왔다 지역별로는 서울 만명 경기 만명 인천 만명 경남 명 경북 명 부산 명 광주 명 충남 명 전남 명 강원 명 대구 명 전북 명 대전 명 울산 명 충북 명 제주 명 세종 명 등이다 지난 일부터 이날까지 일일 확진자 수는 만명만명만명만명만명만명만명이며 주간 일평균 확진자는 만명으로 만명이 넘는다,3
7,PE 선점 웨메이드 사업 가속도 넷마블 자체 블록체인 경쟁 합류 넷게임즈넥슨지티는 사명 변경 NC카카오게임즈 이사회 선임건 국내 게임 업체들이 본격적인 정기 주주총회 시즌에 들어간다 게임사들은 이번 주총에서 사내외 이사 선임과 사명 변경은 물론 미래 먹거리로 부상한 블록체인 등을 사업 목적에 추가하며 사업 방향성을 확정한다 일 금융감독원 전자공시시스템을 보면 이달 말 주요 게임사들의 주총이 잇따라 예정돼 있다 오는 일 네오위즈를 시작으로 일에는 넥슨의 국내 상장 계열사인 넷게임즈와 넥슨지티 일 카카오게임즈가 주총을 개최한다 일에는 넷마블 일에는 엔씨소프트 펄어비스 일에는 크래프톤 위메이드 등이 주총을 소집한다 게임사들은 주총을 통해 블록체인 등 신사업 기반을 다지는 데 주력할 것으로 보인다 실제 주총 안건을 살펴보면 네오위즈 더블유게임즈 컴투스 크래프톤 등은 정관 변경을 통해 블록체인 관련 사업을 사업 목적에 추가한다 최근 게임 업계에서는 돈 버는 게임인 PEPlay to Earn 게임이 화두로 떠오르고 있다 이에 게임사들은 블록체인 관련 생태계를 구성해 경쟁력을 확보하겠다는 구상이다 현재 국내에서는 위메이드를 중심으로 넷마블 카카오게임즈 컴투스 등이 시장 선점에 박차를 가하고 있다 위메이드는 블록체인 플랫폼 위믹스와 미르 글로벌 버전의 흥행을 바탕으로 사업을 전개 중이다 넷마블은 지난 일 자체 블록체인 생태계 MBX와 MBX 월렛 서비스를 정식 출시하며 PE 게임 경쟁 대열에 합류했다 특히 넷마블은 일 주총에서 서울지방변호사회 제대 회장과 대한변호사협회 제대 협회장을 역임한 이찬희 법무법인 율촌 상임고문을 사외이사로 선임할 예정이다 블록체인 사업 추진은 물론 각종 게임 산업 현안과 맞물려 규제 리스크를 관리하려는 차원으로 해석된다 사명 변경도 주요 안건으로 다룬다 넷게임즈와 넥슨지티는 일 주총에서 합병 법인인 넥슨게임즈로 사명을 변경한다 앞서 넷게임즈와 넥슨지티는 개발 역량 시너지 극대화와 글로벌 경쟁력 강화를 목표로 양사 합병을 결정하고 임시 주총에서 합병 안건을 승인한 바 있다 선데이토즈는 오는 일 정기 주총에서 위메이드플레이로 사명을 바꾼다 회사 관계자는 위메이드플레이는 최대주주인 위메이드가 주도하고 있는 블록체인 사업을 비롯해 다양한 신사업을 통한 성장 의지를 담고 있다고 설명했다 이 밖에 이사회 선임과 배당금 지급도 눈에 띈다 엔씨소프트는 주당 배당금을 원으로 설정하고 박병무 VIG파트너스 대표 기타비상무이사 선임 건 백상훈 BnH 세무법인 대표 감사위원회 위원 선임 건 정교화 넷플릭스 법무정책총괄 사외이사 선임 건을 의결한다 카카오게임즈는 발행할 주식의 총수를 기존 억주에서 억주로 변경하고 조계현조혁민 사내이사의 선임 건 김기홍 기타비상무이사 선임 건 오명전최영근 사외이사 선임 건 등을 의결할 전망이다 펄어비스는 오는 일 주총에서 허진영 COO최고운영책임자를 신임 대표로 선임하고 본점 소재지를 기존 안양시에서 과천시로 변경한다,3
8,애플tv 오리지널 드라마 파친코가 오는 일 전세계 공개된다 사진은 주연을 맡은 배우 이민호 예고편 갈무리 헤럴드경제김민지 기자 첫 에피소드를 보고 아 역시 애플이다라고 생각했다배우 윤여정 애플의 오리지널 드라마 파친코가 오는 일 공개된다 제작비는 무려 억원 제작 기간만 년여가 걸린 역대급 대작이다 한미일 합작 대형 글로벌 프로젝트로 일각에선 역시 애플이라 스케일이 다르다는 평가가 나온다 애플tv는 지난해 한국 출시 후 이렇다 할 성적을 내지 못하고 있다 쩐의 전쟁이 한창인 국내 OTT동영상 스트리밍 서비스 시장에서 막대한 자본력을 바탕으로 반전에 나섰다 하지만 폐쇄적인 운영체제OS라는 높은 진입장벽이 장애물로 작용하고 있다 애플tv 오리지널 드라마 파친코 예고편 갈무리 애플 OTT 플랫폼 애플tv이하 애플tv는 오는 일 자사 오리지널 드라마 파친코를 공개한다 제작 당시부터 역대급 스케일로 화제가 된 파친코는 배우 윤여정 이민호 김민하 등이 출연한다 글로벌 기업 애플의 오리지널 콘텐츠란 이름에 걸맞게 한미일 공동 제작으로 진행됐다 제작 기간만 년이 넘고 총 부작으로 회당 제작비가 억원 이상으로 알려졌다 도합 억원에 달하는 제작비는 쩐의 전쟁이 한창인 국내 OTT 시장에서도 손꼽히는 규모다 대표적인 토종 OTT 웨이브의 한해 콘텐츠 투자비 억원 보다도 많다 지난해 개 가량의 오리지널 시리즈를 선보인 넷플릭스의 국내 콘텐츠 투자액 억원과 비교하면 약  수준이다 K드라마 열풍의 선두주자 급인 오징어게임 제작비는 약 억원으로 알려졌다 애플 파친코 작품 하나 제작비가 웬만한 국내 콘텐츠 개 제작비와 맞먹는 것이다 지난해 공개된 애플tv 첫 한국 오리지널 시리즈 닥터 브레인 애플 제공 애플tv는 지난해 국내에서 야심차게 출범했다 그러나 안드로이드 사용자가  이상인 국내 스마트폰 시장에서 제한된 운영체제 때문에 고전 중이다 현재 안드로이드 이용자는 앱마켓을 통한 애플tv 설치가 불가능하고 인터넷 웹 사이트를 통해서만 이용할 수 있다 월 원이라는 상대적으로 저렴한 가격에도 넷플릭스 토종 OTT 사 디즈니플러스에 밀리고 있는 이유다 지난해 처음으로 선보인 국내 오리지널 드라마 닥터브레인도 큰 화제를 끌지 못했다 이런 상황에서 막대한 자금력을 바탕으로 제작한 오리지널 콘텐츠로 한국을 포함한 글로벌 이용자를 확보하겠다는 전략이다 파친코주연을 맡은 윤여정 배우는 최근 인터뷰에서 첫 에피소드를 보고 아 역시 애플이다라고 생각했다고 밝혀 기대감을 증폭시켰다 향후 한국 콘텐츠 투자 확대를 밝힌 애플이 높은 진입 장벽이란 한계를 극복하고 국내 OTT 시장에서 성과를 낼 수 있을지 주목된다,3
9,일찍 퇴근하기는 다 틀린 것 같습니다 지난 월일 제대 대통령 선거 개표방송을 진행하던 아나운서의 멘트다 역대 대선은 늘 그랬다 개표가 시작되고 서너시간이 지나야 당선자 윤곽이 드러났다 이번 대선처럼 초접전인 경우에는 개표 상황을 끝까지 지켜볼 수밖에 없다 현행 개표 과정은 사람이 먼저 표를 분류하면 기계가 확인하고 이를 다시 사람이 여러 단계에 걸쳐 확인한다 총 번의 과정을 걸쳐서 최종 집계된다 인공지능과 무인자동차 같은 첨단 기술이 실현되는 지금 왜 우리는 여전히 종이 투표용지를 수북이 쌓아놓고 사람이 직접 분류하고 있을까 전자정부 선도 국가인 에스토니아는 년에 일찌감치 전자투표 시스템을 도입했다 물론 종이 투표와 함께 유권자가 선택할 수 있는 방식 중 하나였다 당시 전국민의 만 전자투표를 이용했다고 한다 그동안 에스토니아는 투표 절차와 시스템을 꾸준히 보완해 왔다 특히 해킹으로부터의 위험을 해결하고자 블록체인 기술을 적용했다 에스토니아 전자투표는 선거일 일 전부터 일 전까지 실시한다 국외에 거주하는 재외동포와 젊은 유권자 중심으로 꾸준히 사용자가 늘면서 지금은 국민의  정도가 참여하고 있고 휴대전화로도 투표할 수 있다 심지어 전자투표 기간에는 종료 시점 전까지 후보자도 바꿀 수 있다 국내에서도 전자투표 시도가 없는 건 아니다 년 중앙선거관리위원회는 케이보팅KVoting 시스템을 만들었다 정당 경선부터 협동조합 학생회장 선거 등 민간 영역에서는 활발히 사용하고 있다 그러나 공직선거에는 아직 도입되지 않고 있다 가장 큰 이유는 보안 문제다 유권자 개인을 인증하는 기술과 투표 결과에 대한 기밀성을 유지하는 보안 기술에 대한 안정성과 신뢰성이 확보되지 못했기 때문이다 전자투표는 비용 절감 효율성 편리성 등 여러 장점을 지녔다 무엇보다 거동이 불편한 노인이나 장애인 등 투표장에 방문하지 못하는 사람들도 손쉽게 투표에 참여할 수 있다 투표는 민주주의를 구현하는 가장 중요한 수단이다 민주주의는 모든 주권자가 평등하게 표를 행사할 수 있어야 한다 소외받는 사람 없이 모든 국민이 투표에 참여할 수 있는 환경을 만들어주는 것은 국가의 의무이기도 하다 전면 도입이 어렵다면 작은 단위에서 전자투표 실험을 먼저 시작해보면 어떨까 기술에 대한 안정성과 신뢰성을 확보하고 무엇보다도 대다수의 국민이 전자투표 시스템이 믿을 만하구나라는 사회적 합의를 이루는 과정과 시간이 우리에겐 필요하다 년 뒤엔 개표 방송을 지켜보느라 새벽잠을 설치지 않고 대 노모나 이동이 불편한 장애인 재외동포도 편하게 투표할 수 있는 새로운 선택지가 있는 대선을 기대해 본다 강현숙  서울여성가족재단 여성경제사업본부 본부 강현숙 본부장은 여년 동안 소프트웨어와 인터넷기업 시민단체 정책과 공공 부문에서 정보기술 전문가로 활동해왔습니다 강현숙의 한뼘 기술은 주 간격으로 정보기술이 가져올 혁신과 과제를 다룹니다,3
