,article,target
0,병원서 치료 받은 자매 생명에는 지장 없어 사진은 기사와 직접 관련 없습니다 게티이미지뱅크 경북 구미에서 반려견과 산책하던 대 자매가 대형견들의 공격을 받아 다쳤다 함께 있던 애완견은 현장에서 죽었다 일 구미경찰서와 소방당국 등에 따르면 이날 오후 시분쯤 구미시 고아읍 예강리 접성산 산책로에서 대 A씨와 동생 B씨가 반려견 한마리를 데리고 산책하던 중 대형견 세마리로부터 공격을 받았다 자매는 허벅지와 손 등을 물려 병원 치료를 받았으며 생명에는 지장이 없는 것으로 전해졌다 다만 애완견은 대형견에 물려 즉사했다 이들 자매를 공격한 대형견은 인근 농장에서 울타리 밑으로 탈출한 러시아산 셰퍼트 코카시안 오부차카와 영국산 리트리버로 알려졌다 경찰 관계자는 뉴시스에 견주와 피해 여성은 같은 마을 주민들이라며 사고 직후 합의한 것으로 안다고 전했다,2
1,드라마 파친코 일 공개 앞둔 배우 윤여정 경향신문 윤여정은 파친코에서 일본에 수십년을 산 한국인 선자를 연기했다 애플tv플러스 제공 일제강점기 여성 선자 역 맡아 대 걸친 이민자 가족 아픔 다뤄 재일동포 생각하는 계기 됐으면 난 너무 힘들게 살고 힘들게 촬영하기 때문에 다른 순간엔 웃고 쉬고 싶어요 그 장면을 찍을 때만 진지하면 되지 나중에 감독이랑 막 진지하게 토론하고 그런 거 너무 스투핏stupid 연기는 토론이 아니라 유 저스트 두 잇 데어You just do it there그냥 거기서 하는 것  어떤 사람은 그래서 날 싫어하고 어떤 사람들은 그래서 날 좋아하고 그게 세상이죠 뭐 애플tv플러스의 새 오리지널 드라마 파친코 공개를 앞두고 지난 일 진행된 비대면 인터뷰에서 배우 윤여정은 영어와 한국어를 섞어서 답변했다 나 왜 자꾸 영어 쓰니 하면서도 여기 와서 계속 영어를 써서 그렇다고 설명했다 윤여정은 현재 미국 로스앤젤레스LA에서 파친코 관련 일정을 소화 중이다 오는 일 공개되는 파친코는 일제강점기 한국을 떠나 일본 미국을 오가야 했던 여성 선자를 중심으로 대에 걸친 가족 이야기를 그린다 윤여정은 부산 영도 출신이지만 일본에 산 지 년이 넘은 할머니 선자를 연기했다 손자 솔로몬 백 역할을 맡은 한국계 미국인 배우 진 하Jin Ha와 주로 호흡을 맞췄다 선자는 말도 통하지 않는 이국땅에서 가족을 부양하기 위해 궂은일을 마다하지 않는 인물이다 냄새난다는 조롱과 비난을 들으면서도 김치를 만들어 파는 것도 그중 하나다 윤여정은 이에 대해 원래 막 살아남으려고 일을 할 때는 힘든 일인지 아닌지 모른다 다른 선택지가 없고 그것밖에는 할 수 있는 일이 없으니까라며 남편도 곁에 없고 일본말도 할 줄 모르는 여자선자가 할 수 있는 일은 김치 만드는 일밖에 없을 것이라고 해석했다고 했다 미국에서 이민 생활을 하며 비슷한 경험을 한 적은 없는가라는 질문에는 사실 나는 인종차별을 느끼지 못했다고 답했다 그는 도와주는 이들은 다 미국인이었고 내가 당시 직장에 다닌 것도 아니라 몰랐다며 그런데 우리 아들 딱 진하극중 손자로 나온 인물 나이 친구들이 그런 걸 많이 느낀다고 하더라 한국말 못하니까 한국에 와도 이상하고 미국에서도 생긴 게 이러니까 이러고차별받고 참 국제고아라고 생각했다 그래서 이런 프로젝트 할 때 참여하려는 마음이 생긴다 다 우리 아들 같은데 뭔가 만든다고 하면 내가 도와줘야지 하는이라고 말했다 그러면서 미나리도 그래서 한 거다 그 말도 안 되는 돈개런티을 받고서  나 그거 안 해도 됐거든 사람 마음은 돈으로 사는 게 아니다라고 덧붙였다 작품이 일본에 사는 이민자 가족을 다룬 만큼 재일동포의 삶에 대해 생각해보는 계기가 됐으면 한다고 윤여정은 전했다 그는 그전에는 자이니치재일동포를 이르는 말라는 말이 낮잡아 보는 말인가 싶었다 그런데 알고 보니 자랑스러운 말이라고 하더라 일본 사람이 되지 않고 한국인으로 산다는 자부심이 있었다며 어렸을 때 조총련이라 하길래 북한과 관계된 줄로만 알았는데 당시 자이니치가 한국말을 배우려면 조총련 학교를 갈 수밖에 없었다고 한다 촬영하면서 가슴이 아팠고 많이 배웠다고 했다 부산 사투리 연기는 별다른 도움 없이 연기했다고 한다 그는 그것만이 내 세상 때 사투리를 배우는 데 집중하느라고 연기를 망쳤다 어차피 원어민처럼 할 수는 없다며 선자는 대 때 일본에 와 이미 수십 년을 이곳에서 살았으니 말을 잊어버려 이상한 억양이 됐을 거라고 해석했다 사투리 코치가 알려주려고 할 때 내버려 두라고 했다 늙은 배우이기 때문에 그런 말도 할 수 있다고 했다 미나리를 비롯해 한국 콘텐츠가 윤여정을 중심으로 돌아가는 것에 대한 소감을 부탁하자 처음에 파친코를 찍을 때는 여러분들이 저한테 관심 없을 때였다 그땐 아카데미 여우조연상을 받기 전이다 한국 콘텐츠가 나를 위주로 돌아간다고 생각하지 않는다 난 바보가 아니다라며 농담했다 아카데미상 수상 이후 달라진 건 없다고도 했다 그는 똑같은 친구랑 놀고 똑같은 집에 살고 있다 하나 감사한 건 만약 진하와 같이 젊은 나이에 수상했으면 둥둥 떠다녔을 수 있을 것 같다 나이에 감사해보긴 처음이라며 받는 순간에는 기쁘지만 상이 나를 변화시키지는 않는다 나로 살다 죽을 것이다 봉준호감독가 아카데미에 노크를 했고 미나리가 우여곡절 끝에 올라가 상을 받을 수 있었다 그냥 운이었다고 말했다,2
2,최근 오미크론이 정점 구간에 달하면서 하루 사망자가 명에 이르고 있다 전문가들은 앞으로 주 동안 사망자가 많게는 하루 명대에 달하는 데스밸리death valley죽음의 계곡 구간에 접어든 것으로 보고 있다 중앙방역대책본부에 따르면 일 코로나 사망자는 명으로 지난 일 명 이후 역대 둘째로 많았다 사망자 수는 지난 일 명 일 명 등 나흘 연속 명 이상이다 코로나 확진자는 이르면 이번 주 정점을 찍을 전망이지만 문제는 주 뒤 중환자와 사망자가 폭증하면서 의료 체계에 큰 부하가 걸린다는 점이다 정재훈 가천대 예방의학과 교수는 사망자가 나타나는 중환자 정점은 월 말에서 월 초에 도달할 것으로 예상된다며 정부가 확보한 중환자 병상이 개 있다 하더라도 실제 중환자가 명 정도면 병상은 사실상 포화 상태일 것이라고 했다 엄중식 가천대 교수도 확산에 이은 사망자 정점을 월 말월 초로 예측하면서 일일 사망자가 명도 나올 수 있다고 했다 전문가들은 앞으로 주 동안 먹는 코로나 치료제 공급이 원활하지 않을 경우 의료 대란으로 이어질 수 있다고 경고한다 식품의약품안전처는 미 화이자사의 먹는 치료제 팍스로비드 공급 물량 부족과 관련 미 제약사 머크의 먹는 치료제 몰누피라비르의 사용을 긴급 승인하는 방안을 검토 중이다 일 서울의 호흡기 전담클리닉 앞에서 신종 코로나바이러스 감염증코로나 검사를 받기 위한 시민들이 긴 줄을 서고 있다 뉴스 최근 세 이상 확진자 급증도 우려스러운 대목이다 일 확진자 만명 가운데 세 이상만명은 에 달했다 세 이상 확진자 비율이 를 넘은 것은 작년 월 일 이후 거의 개월 만이다 이 비율은 지난 월 한때 까지 내려갔다가 계속 증가해 지난 일  일  등을 나타냈다 현재 세 이상 차 백신부스터샷 접종률은 에 달하지만 상당수 접종은 작년 월 이뤄져 감염 예방 효능이 반감된 상태다,2
3,지난 일 여러 온라인 커뮤니티에 빽보이피자 후기글과 함께 올라온 글 온라인커뮤니티 지난해 백종원이 론칭한 저가 피자 브랜드의 제품 크기가 콜라 ml와 비슷한 것을 두고 아쉽다 생각보다 너무 작다는 반응이 나왔다 일각에서는 가격이 저렴한 편이라 인가구에게 괜찮다는 의견도 나왔다 지난 일 여러 온라인 커뮤니티에는 더본코리아가 지난해 월 론칭한 포장배달 전문 저가 피자 브랜드 빽보이피자의 제품을 사먹어 봤다는 소비자들의 후기글이 올라왔다 빽보이피자는 인 가구가 밀집된 서울 관악구에 매장을 열고 시범 사업 중이다 후기를 남긴 작성자는 매장에서 먹는 것은 불가능하다며 현장에서 주문했더니 분만에 빨리 나왔다라고 했다 이러한 후기보다 온라인에서 화제가 된 것은 후기에 첨부된 사진이었다 사진을 보면 피자는 ml 콜라와 비슷한 크기였다 ml 콜라 페트병의 높이는 약 cm다 이를 두고 네티즌들은 아쉬움을 드러냈다 크기가 생각보다 작아서 놀랐다 손바닥만 하다 프랜차이즈 피자 미디엄 사이즈보다 작아 보인다라는 반응을 남겼다 반면 일부는 피자 가격이 만원대라는 점을 언급하며 인가구가 먹기에는 좋아 보인다 토핑 양이 다른 곳과 달리 많다고 남기기도 했다 빽보이피자의 가격은 만원부터 만원까지 있으며 사이즈는 하나다 배달 플랫폼 후기에서도 같은 제품을 두고 다양한 반응을 찾아 볼 수 있다 쿠팡이츠 후기를 보면 피자 퀄리티가 아쉽다 다른 피자보다 가격은 저렴하지만 양이 부족하다 스파게티랑 먹어야 인분인 것 같다는 게시물이 있다 별점 점과 함께 진짜 맛있다 이 가격에 이 정도 양이면 만족한다는 의견도 있었다,2
4,동영상 뉴스 앵커 봄이 왔나 했는데 엊그제 강원도에는 폭설이 내렸죠 이후에도 꽃샘추위가 이어지고 있고요 그래도 남녘에는 활짝 핀 매화가 절정을 넘어가고 있습니다 오점곤 기자가 취재했습니다 기자 봄하면 무조건 떠오르는 곳 섬진강을 사이에 두고 지리산 봉우리와 매화 꽃밭이 나란히 펼쳐져 있습니다 가뭄에 꽃샘추위에 예년보다는 주일가량 늦게 피어난 매화 그래서 반가운 마음은 더 큽니다 홍설아이명석  전남 순천광양  꽃도 꽃인데 생각보다 사람도 많고 오랜만에 좀 걷기도 하고 활기차고 좋은 것 같아요 전날 내린 봄비에 흠뻑 젖어 눈처럼 하얀 청매화 그 사이사이로 살짝 얼굴을 내민 붉은 홍매화 여기에 원색의 옷을 두른 사람꽃이 더해지면서 섬진강 옆 봄의 정취는 더 다채롭습니다 김규나  초등 년 대구 수성구  엄마 아빠랑 캠핑하고 나서 매화 보러 왔어요 보니까 어떤가요 색깔이랑 재미있고 신기하기도 했어요 오랜만에 꽃구경에 나선 사람들 물결로 도로는 주차장이나 다름 없습니다 하지만 평생 매화와 매실 연구라는 오로지 한우물만 파온 농사꾼에게 사람과 꽃이 어우러진 오늘의 봄 풍경은 하늘이 준 축복입니다 홍쌍리  매실 농원 대표 전남 광양  계단 계단 올라갈 때마다 매화꽃향기는 내 딸이지 매실 향기는 내 아들이지 아침 이슬아 너는 내 보석이지 이틀 전 내린 눈이 그대로 남아 있을 정도로 아직 남쪽의 바람결은 차갑습니다 저 멀리 산꼭대기에는 지금 하얀 눈이 쌓여 있는데요 올해는 꽃샘추위 때문에 계절 시계의 똑딱거림이 조금은 늦춰진 것 같습니다 그럼에도 불구하고 봄은 이렇게 선명하게 지금 우리 곁에 와 있습니다 YTN 오점곤입니다  당신의 제보가 뉴스가 됩니다 카카오톡 YTN 검색해 채널 추가 전화  메일 socialytncokr,2
5,동영상 뉴스 앵커 경북 경주에서 산 절개지가 무너져 도로를 덮쳤습니다 당시 도로에는 휴일을 맞아 노점상과 등산객들이 많아 대형 사고로 이어질 뻔했습니다 허성준 기자가 보도합니다 기자 어른 몸 크기의 바위가 도로에 쏟아져 있습니다 낙석 방지용 철제 울타리는 종잇장처럼 구겨졌고 바위 사이로 파라솔과 매대가 보입니다 소방대원들이 중장비로 돌무더기를 들추며 인명 피해가 있는지 확인합니다 경북 경주시 문무대왕면의 한 야산에서 산사태가 난 건 낮 시 분쯤입니다 이귀숙  목격자  무너지기 전에 돌이 한두 개 떨어지는 소리가 나더라고요 언니 돌 떨어진다라고 소리치더라고요 아무것도 못 하고 도망 나왔어요 이 사고로 대 여성 한 명이 다쳐 병원으로 옮겨졌습니다 사고가 난 도로변에는 등산객과 관광객에게 지역 특산물을 파는 노점이 열리고 있었습니다 휴일을 맞아 상인은 물론 장을 보는 시민들이 많아 하마터면 큰 사고로 이어질 수 있는 아찔한 순간이었습니다 사고 장소는 평소에도 산사태가 우려돼 절개지 보강공사를 위한 설계가 진행 중이었습니다 서성교  경상북도 남부건설사업소장  경사가 굉장히 급하고 암질 상태도 균열이 심하고 해서 이번 비와 해빙기가 맞물려 발생한 것으로 파악하고 있습니다 경찰은 도로에 쏟아진 바위 등을 치우는 대로 정확한 사고 경위 등을 조사할 예정입니다 YTN 허성준입니다  당신의 제보가 뉴스가 됩니다 카카오톡 YTN 검색해 채널 추가 전화  메일 socialytncokr,2
6,동영상 뉴스 앵커 오미크론 대유행에 신규 확진자와 사망자가 크게 늘면서 관련 시설들도 점차 한계를 드러내고 있습니다 약국에선 감기약이 동나서 구하기 쉽지 않고 화장장 예약을 잡기도 어려워서 불가피하게 장례 일정을 연장하는 사례가 잇따르고 있습니다 김혜린 기자가 보도합니다 기자 서울 신정동에 있는 약국입니다 기침 가래 발열 등 코로나 증상 관련 약을 찾는 손님들이 끊이질 않습니다 확진자가 급증한 최근 한 달 사이 감기약을 찾는 손님이 배가량 늘면서 약국도 약 구하기가 난항입니다 의약품 도매사이트에는 해열제 감기약 등에 대부분 품절 표시가 떠 있습니다 김성태  약사  직거래든 약품 도매든 약이 없는 상황이어서 주문하는 데 어려움을 겪고 있습니다 처방전을 받는 분들이 많이 늘어났는데 일반 의약품뿐만 아니라 전문 의약품도 많이 부족한 상황이고요 다른 약국도 상황은 마찬가지입니다 야근까지 하며 약 공급처를 수소문해봤지만 감기약 진열대 한쪽이 텅 비어버렸습니다 약을 사려는 손님들도 빈손으로 되돌아가기 일쑤입니다 기침 가래약 있나요 그건 지금 저희에게 없습니다 강한호  약사  약을 추가로 주문은 지금 할 수가 없습니다 오지를 않습니다 처방전에 따른 조제약 등은 성분이 같은 거를 가져다가 대체 조제를 하는데 그게 하루 이틀 일이 아니고 그마저도 약이 없어서 발을 동동 구르고 있습니다 약국 개업한 지 년인데 이런 상황은 처음이고 코로나 사망자가 급증하면서 화장장도 비상입니다 인천에 있는 이 화장시설은 이달 초부터 화장로를 최대한 가동해 하루 백 건 정도 화장을 진행하고 있지만 이미 일간 예약이 가득 찬 상태입니다 한상숙  인천시설공단 가족공원사업단 사업관리팀장  화장 건수를 건 정도 늘린 상황이에요 직원들이 피로감이 계속 누적이 되고 있어서 언제까지 지속할지는 모르겠지만 많이 힘들어하는 상황입니다 화장시설 예약이 어려워지면서 장례 풍경도 바뀌고 있습니다 관행처럼 치르던 일장이 점차 사라지고 그간 보기 드물었던 일장이나 일장이 대부분을 차지하게 된 겁니다 화장장 방문 유족  저희 같은 경우는 이틀 대기하다가 탈상만 일 하고 시신을 냉동고에 이틀 보관했다가 오늘 화장하러 온 거죠 오미크론 대유행 속에 확진자와 사망자 급증세가 꺾이지 않는 한 현장의 과부하로 인한 시민들의 불편은 당분간 계속될 것으로 보입니다 YTN 김혜린입니다  당신의 제보가 뉴스가 됩니다 카카오톡 YTN 검색해 채널 추가 전화  메일 socialytncokr,2
7,신종 코로나바이러스 감염증코로나 확진자가 폭증하면서 약국에서는 코로나 상비약으로 알려진 해열제 종합감기약 주문에 어려움을 겪고 있다 특히 오미크론의 특성상 재택치료자가 대부분이라 약품 부족이 현실화되고 있다 뉴스 코로나 신규 확진자가 주말 새 이틀 연속 감소세를 보였으나 스텔스 오미크론 변이 확산세가 심상치 않다 일 신규 확진자는 만명 일 만명으로 전주 같은 날 대비 최대 만여 명 줄었다 일 확진자 수는 전날 선별진료소 검사자가 만여 명 정도로 전날보다  이상 감소하면서 더 떨어질 전망이다 다만 오미크론보다 전파력이 더 높은 하위 변이 스텔스 오미크론이 세력을 넓히고 있다 스텔스 오미크론 점유율은 월 셋째 주 에 머물렀으나 월 둘째 주에는 까지 높아졌다 일 발표하는 월 셋째 주 검출률에선 더 높을 것으로 예상된다 당초 오미크론 유행은 일 사이 정점에 달한 뒤 진정 국면에 접어들 것으로 분석됐지만 지난 일 확진자 수가 예측을 뛰어넘는 만명대에 달하면서 전문가들 사이에선 스텔스 오미크론 때문이라는 분석도 나왔다 유럽 주요국도 확진자 수가 최근 반등하면서 스텔스 오미크론이 배경으로 꼽혔다 Q 스텔스 오미크론은 언제 등장했나 년 월 기존 오미크론과 같은 시점에 모습을 드러냈다 당시 함께 출현했던 여러 변이 중 기존 오미크론이 가장 먼저 빠른 속도로 전 세계로 퍼져나갔고 지난겨울 내내 지배종으로 군림했다 처음엔 기존 오미크론이 스텔스 오미크론보다 배가량 흔했으나 올 초부터 새로 확진되는 이들 사이에서 스텔스 종이 뚜렷하게 많이 관찰되기 시작했다 Q 스텔스 오미크론이 더 쉽게 감염되나 그렇다 기존 오미크론보다 감염력이  이상 높은 것으로 알려져 있다 스텔스 오미크론 돌기 단백질엔 기존 오미크론에 없는 돌연변이가 개 더 있기 때문으로 추정된다 Q 스텔스 오미크론이 새 유행을 일으킬까 알 수 없다 유럽에서 유행 감소 추세가 반등하는 이유에 대해 이 변이가 원인으로 지목되고 있긴 하나 다른 복합적인 요인들을 고려해야 한다 유럽 각국에선 최근 집합금지마스크 착용 등 방역 지침을 해제했고 작년 초 차 접종을 마친 이들이 아직까지 부스터샷을 맞지 않아 면역력이 떨어져 있을 거라는 분석도 나온다 유럽은 부스터샷 접종률이  정도로 인 우리보다 낮다 Q 백신이 효과가 있을까 부스터샷까지 접종을 마치면 여전히 중증으로 악화하는 걸 막는 데 효과가 있다 미영 연구 결과 모두 백신이 스텔스 오미크론 예방 효과를 입증했고 카타르 연구 결과에선 감염 예방 효과  입원 예방  정도로 보고 있다 Q 기존 오미크론에 감염된 적이 있다면 스텔스 오미크론에 재감염될 확률이 적을까 WHO는 기존 오미크론 감염으로 형성된 항체가 스텔스 오미크론 감염을 확실히 막아준다고 발표했다 미국처럼 오미크론 대유행을 겪은 나라들은 면역력이 확실히 높아져 있어 스텔스 오미크론 유행이 덜할 것으로 예측된다 Q 감염 증상은 더 심각할까 영국덴마크 연구에서는 스텔스 오미크론에 감염될 경우 기존 오미크론보다 입원 위험이 더 크지 않다고 나왔다 국내에서도 백신 접종 시 예방 효과가 있고 재감염률도 높지 않다는 의견이다 반면 일본에서 햄스터를 상대로 실험을 했더니 스텔스가 더 위험하다는 결과가 나왔다 다만 동물 실험이라 인체에 미치는 영향은 다를 수 있다 Q 치료제가 효과 있을까 먹는 치료제인 팍스로비드와 몰누피라비르 주사제인 렘데시비르 모두 스텔스 오미크론에 효과가 있다 단 확진 판정을 받고 바로 투여해야 효과가 높다 Q PCR 검사로 발견하기 어렵다는데 이 변이가 그동안 스텔스 오미크론이라 불렸던 건 델타 변이가 지배종이던 시기 PCR 검사에서 검출이 어려웠기 때문이다 PCR 검사는 개 유전자를 사용해 코로나 바이러스를 감지하는데 델타는 개 유전자에 양성 반응을 보인다 기존 오미크론은 개 유전자에 양성 개 유전자에 음성 반응을 보여 델타와 확연히 구별된다 하지만 스텔스 오미크론은 델타와 마찬가지로 개 유전자에 양성 반응을 보여 델타와 잘 구분되지 않았다 델타 변이가 자취를 감춘 지금은 PCR 검사를 통해 스텔스 오미크론을 명확히 검출하는 게 가능하다 일 이상원 중앙방역대책본부 역학조사분석단장은 월 첫째 주 스텔스 오미크론은 전 세계 코로나 바이러스의 약  점유율을 보이고 있다며 이 새로운 변이는 점차 증가할 것이나 지나치게 우려할 필요는 없다고 말했다 박인숙 울산의대 서울아산병원 명예교수는 전파력이 더 높은 스텔스 오미크론이 증가한다면 우리나라에서 코로나 대유행 정점에 언제 도달할지 더 예측하기 어려운 상황이 될 것이라고 말했다,2
8,동영상 뉴스 앵커 김오수 검찰총장이 사실상 임기 내 자진 사퇴는 없다는 뜻을 밝히면서 정권교체기 검찰 수장의 거취 문제는 표면적으로 일단락된 모습입니다 하지만 검찰 내부에선 윤석열 당선인 취임 뒤 단행될 검찰 인사를 두고 또 한 번 갈등이 재연될 거란 비관적인 전망도 나오고 있습니다 나혜인 기자입니다 기자 법과 원칙에 따라 임무를 충실히 수행하겠다는 말로 임기 완주 의사를 드러낸 김오수 검찰총장 술렁이던 검찰 내부도 김 총장의 입장 표명을 기점으로 잠잠해진 모습입니다 내부 게시판에는 검찰 조직이 새로운 환경에서 정치적 중립을 지키기 위해 무엇을 해야 하는지 토론해보자는 글이 올라오기도 했지만 큰 반향은 없는 상황입니다 하지만 예고된 갈등이 잠시 유예된 것일 뿐 해소된 건 아니라는 평가도 적지 않습니다 총장 거취뿐 아니라 윤석열 당선인이 조국 사태 이후 지금 여권과 충돌하는 과정에서 갈라진 검찰 내 세력 다툼이 언제든 재연될 수 있다는 겁니다 윤 당선인은 선거 기간 여러 차례 현 정부 검찰 인사의 부당성을 강조했습니다 여권 인사들을 수사하던 검사들이 줄줄이 비정상적으로 좌천됐다며 한동훈 검사장의 서울중앙지검장 임명 가능성을 시사하기도 했습니다 윤석열  대통령 당선인 지난달  그냥 모든 게 다 무너진 겁니다 내 편이면 다 오케이고 자기들 맘에 들지 않는 수사를 했다고 학살 인사를 해버리고 이에 이른바 윤석열 특수통 사단이 주요 보직에 복귀할 거란 전망에 무게가 실리는데 이번 정부에서 요직에 오른 간부들의 반발 가능성도 예상됩니다 한직으로 밀려나기 전에 스스로 물러날 수 있다는 관측도 있지만 정권이 검찰을 장악하려는 시도로 규정하고 끝까지 자리를 지키겠다는 목소리도 있습니다 이런 상황에서 김 총장이 임기를 지킨다 한들 조직 장악력을 고려하면 갈등을 제대로 수습할 수 있겠느냐는 냉소적인 전망도 여전합니다 검찰 내부에선 그동안 김 총장이 인사나 공수처와의 갈등 국면에서 조직을 위해 한 일이 뭐냐는 비판이 공공연하게 나오고 있습니다 이렇다 보니 정권마다 검찰 인사를 둘러싼 잡음이 반복되는 건 바람직하지 않다는 의견에는 모두 공감하면서도 당선인 취임 뒤 내부 갈등은 불 보듯 뻔한 일이라는 비관적 전망이 확산하고 있습니다 YTN 나혜인입니다  당신의 제보가 뉴스가 됩니다 카카오톡 YTN 검색해 채널 추가 전화  메일 socialytncokr,2
9,앵커 그제 새벽 승용차 대가 미터가 넘는 절벽에서 떨어져 명이 숨지고 명이 다치는 사고가 발생했습니다 하지만 사고 현장은 추락 사고가 발생할 우려가 크지 않은 곳이라 사고 원인에 대한 궁금증이 커지고 있습니다 김동은 기잡니다 리포트 파도가 밀려오는 바닷가에서 소방과 해경의 다급한 구조 작업이 진행됩니다 밧줄 밧줄 미터가 넘는 절벽 아래로 명이 탄 승용차가 추락한 겁니다 이 사고로 대 운전자가 다쳐 병원에서 치료를 받고 있고 운전자의 어머니인 대 여성은 병원으로 옮겨졌지만 숨졌습니다 당시 운전자가 직접 차에서 나와 신고한 것으로 알려졌습니다 현장에는 당시 사고 흔적이 고스란히 남아있습니다 높은 파도에 인양되지 못한 차량은 형체를 알아 볼 수 없을 정도로 찌그러졌습니다 김동은 기자 당시 차량은 이곳을 지나 안전 난간을 들이받고 미터가 넘는 절벽 밑으로 그대로 떨어졌습니다 문제는 사고 원인입니다 이곳 해안도로와 절벽 사이는 산책로가 마련돼 있을 정도로 어느정도 거리가 있는데다 당시 운전자는 술을 마시지도 않은 상태였기 때문입니다 단순 부주의보다 복합적인 원인이 있을 수 있다는 얘깁니다 하지만 당시 운전자가 병원 치료중이고 현장에 CCTV가 없어 사고 원인 조사는 속도를 내지 못하고 있습니다 영상취재 윤인수 화면제공 제주해양경찰서 경찰은 운전자 A씨의 치료가 마무리되면 급발진과 고의성 여부 등 다양한 가능성에 대한 조사를 벌일 예정입니다 JIBS 김동은입니다,2
