,아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워
0,(여자)아이들,주세요,123.046875,408480,4450.751971597178,2145.944159997805,0.34049085
1,10cm,그러나,172.265625,369168,4796.969876211387,2088.306644376903,0.21275961
2,2NE1,Fire,123.046875,542012,6079.712957420096,2738.2150654745374,0.24686098
3,2NE1,살아 봤으면 해,184.5703125,509662,5021.371111968243,2468.225558804168,0.24714084
4,4minute,거울아 거울아,129.19921875,571112,6847.045294232611,2970.3186185975587,0.27582172
5,5mg,Coffee House,117.45383522727272,261638,6300.285884292063,2740.7441651613053,0.27648082
6,8Eight,사랑을 잃고 난 노래하네,123.046875,700490,6627.410826853688,3105.82352923784,0.24375069
7,aespa,Next Level,107.666015625,564108,4912.920423200956,2450.8638159649217,0.28576216
8,As One,비 개인 후 비 (Feat. 키디비),99.38401442307692,398008,5326.528559169649,2396.453292616417,0.2638707
9,B.A.P,비밀연애 (Feat. 송지은),123.046875,630798,6238.810999766063,2965.653153599263,0.2038336
10,BE'O(비오),Counting Stars (Feat. Beenzino),117.45383522727272,301280,4716.889942140508,2268.855505769461,0.19400878
11,BLACKPINK,뚜두뚜두 [DDU-DU DDU-DU],143.5546875,738022,6648.68084216065,3351.013033433004,0.24723402
12,BMK,꽃 피는 봄이 오면,129.19921875,508368,4276.920547653634,1986.9149585231733,0.2630444
13,BOBBY,연결고리#힙합,135.99917763157896,553448,4792.196483866079,2377.64847440556,0.22790268
14,CHEEZE,꼬일대로,123.046875,375176,5306.563246512567,2283.4126381651317,0.28087524
15,Cosmic Boy,"Can I Love？ (Feat. 유라(youra), Meego)",80.74951171875,331584,3452.894063350726,1752.0469552965196,0.11984208
16,DAY6,예뻤어,83.35433467741936,606922,4580.792430003595,2221.1384728412067,0.28665546
17,DJ AKI,Second First Date (Feat. Ritha K) (Bonus Track From Jazz Set),95.703125,356866,4766.157519638801,2200.887495949594,0.23636918
18,DJ DOC,겨울 이야기,123.046875,655924,6843.140194231492,3119.972650747097,0.19681622
19,EXO,Gravity,117.45383522727272,620382,6653.988751611342,2932.1798479799445,0.30118728
20,EXO,으르렁 [Growl],89.10290948275862,573340,5686.380434201953,2654.119948997879,0.29137102
21,Eyedi,& New,112.34714673913044,467010,4536.436939614332,2188.6061359685664,0.2682226
22,f(x),4 Walls,129.19921875,492168,5897.031119995595,2734.605341141343,0.275036
23,f(x),미행 [그림자：Shadow],117.45383522727272,602110,6620.776951681273,3021.193190611632,0.23838632
24,F.T Island,바래,143.5546875,567582,5509.538994692728,2557.916334471672,0.28711262
25,G-DRAGON,그XX,117.45383522727272,440998,4884.019347108594,2372.3866927594686,0.2228171
26,G-DRAGON,"불 붙여봐라 (Feat. 타블로, 도끼)",99.38401442307692,422728,4663.884472963312,2314.6499366224534,0.20902789
27,GD & TOP,Oh Yeah (Feat. 박봄),129.19921875,452590,5792.927909658431,2739.0178346332445,0.3180804
28,Glen Check,`84,117.45383522727272,597496,4766.398720349987,2533.396538054245,0.2110012
29,Gloomy 30's,바꿔 (추노 OST),135.99917763157896,635564,5043.330936174695,2387.54483279774,0.27092078
30,god,거짓말,135.99917763157896,752198,6972.921101138155,3271.272019061569,0.18036872
31,god,촛불 하나,103.359375,407546,5931.060825861623,2542.3234289940588,0.2045167
32,GroovyRoom,"Tell me (Feat. Sik-K, 기리보이)",99.38401442307692,341078,4306.8109027894725,2054.634709255852,0.3080048
33,GroovyRoom,"어디쯤에 (Feat. 수란, pH. 1)",95.703125,316206,4772.235505020773,2138.89686027274,0.32049838
34,H.O.T.,Outside Castle [The Castle Outsiders],143.5546875,690620,4720.331087723087,2176.069286026413,0.17407495
35,House Rulez,Do It (Feat. 이윤정),129.19921875,651812,5954.391523823359,2781.46158584987,0.22188719
36,House Rulez,집 (Feat. 유미),129.19921875,571562,4842.255408313262,2399.7761080832765,0.17111836
37,HYNN(박혜원),시든 꽃에 물을 주듯,66.25600961538461,431546,4744.47740949066,2241.7235877467424,0.15820159
38,iKON,사랑을 했다 (LOVE SCENARIO),117.45383522727272,480430,5067.491991906381,2462.6072625150773,0.23676373
39,iKON,취향저격,95.703125,306134,4402.05543999154,2081.902838570212,0.3041505
